Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ACLBSL,43.16,"1,570.00","1,615.00","1,570.00","1,581.00","1,592.82","2,650.00","1,580.00","4,220,975.00",70,1.00,45.00,0.06,2.87,-0.75,"1,610.18","1,478.90","1,938.00",691.00,09_01_2021
ACLBSL,57.96,"1,575.00","1,630.00","1,575.00","1,575.10","1,578.69","2,440.00","1,600.00","3,852,010.70",37,-24.90,55.00,-1.56,3.49,-0.23,"1,574.69","1,585.05","1,938.00",752.00,11_03_2021
ACLBSL,56.39,"1,575.00","1,630.00","1,575.00","1,575.10","1,578.69","2,440.00","1,600.00","3,852,010.70",37,-24.90,55.00,-1.56,3.49,-0.23,"1,574.69","1,585.05","1,938.00",752.00,11_05_2021
ACLBSL,56.39,"1,575.00","1,630.00","1,575.00","1,575.10","1,578.69","2,440.00","1,600.00","3,852,010.70",37,-24.90,55.00,-1.56,3.49,-0.23,"1,574.69","1,585.05","1,938.00",752.00,11_06_2021
ACLBSL,56.39,"1,575.00","1,630.00","1,575.00","1,575.10","1,578.69","2,440.00","1,600.00","3,852,010.70",37,-24.90,55.00,-1.56,3.49,-0.23,"1,574.69","1,585.05","1,938.00",752.00,11_07_2021
ACLBSL,57.18,"1,570.00","1,589.00","1,540.00","1,540.00","1,564.65","1,528.00","1,575.10","2,390,780.00",41,-35.10,49.00,-2.23,3.18,-1.60,"1,573.84","1,584.70","1,938.00",752.00,11_08_2021
ACLBSL,49.61,"1,540.00","1,570.00","1,450.40","1,465.00","1,471.20","2,826.00","1,540.00","4,157,614.80",74,-75.00,119.60,-4.87,8.25,-0.42,"1,572.61","1,583.05","1,938.00",752.00,11_09_2021
ACLBSL,48.19,"1,540.00","1,570.00","1,450.40","1,465.00","1,471.20","2,826.00","1,540.00","4,157,614.80",74,-75.00,119.60,-4.87,8.25,-0.42,"1,572.61","1,583.05","1,938.00",752.00,11_10_2021
ACLBSL,46.14,"1,465.00","1,494.00","1,380.00","1,445.00","1,419.70","1,437.00","1,465.00","2,040,112.70",59,-20.00,114.00,-1.37,8.26,1.75,"1,571.16","1,580.76","1,938.00",752.00,11_11_2021
ACLBSL,42.43,"1,465.00","1,494.00","1,380.00","1,445.00","1,419.70","1,437.00","1,465.00","2,040,112.70",59,-20.00,114.00,-1.37,8.26,1.75,"1,571.16","1,580.76","1,938.00",752.00,11_12_2021
ACLBSL,42.43,"1,465.00","1,494.00","1,380.00","1,445.00","1,419.70","1,437.00","1,465.00","2,040,112.70",59,-20.00,114.00,-1.37,8.26,1.75,"1,571.16","1,580.76","1,938.00",752.00,11_13_2021
ACLBSL,40.38,"1,470.00","1,470.00","1,418.20","1,430.00","1,430.21","1,080.00","1,445.00","1,544,632.00",34,-15.00,51.80,-1.04,3.65,-0.02,"1,569.45","1,578.75","1,938.00",752.00,11_14_2021
ACLBSL,40.39,"1,441.00","1,448.00","1,424.10","1,448.00","1,437.69","2,338.00","1,430.00","3,361,312.00",40,18.00,23.90,1.26,1.68,0.71,"1,568.03","1,576.99","1,938.00",752.00,11_15_2021
ACLBSL,45.19,"1,476.00","1,476.00","1,425.00","1,438.10","1,447.40","1,102.00","1,448.00","1,595,039.20",45,-9.90,51.00,-0.68,3.58,-0.65,"1,566.43","1,575.64","1,938.00",752.00,11_16_2021
ACLBSL,40.75,"1,466.80","1,490.00","1,433.00","1,453.90","1,448.71","2,445.00","1,438.10","3,542,107.20",50,15.80,57.00,1.10,3.98,0.36,"1,564.57","1,574.86","1,938.00",752.00,11_17_2021
ACLBSL,61.92,"1,482.90","1,510.00","1,414.00","1,431.00","1,442.42","1,321.00","1,453.90","1,905,442.00",37,-22.90,96.00,-1.58,6.79,-0.80,"1,562.50","1,573.06","1,938.00",752.00,11_18_2021
ACLBSL,56.33,"1,482.90","1,510.00","1,414.00","1,431.00","1,442.42","1,321.00","1,453.90","1,905,442.00",37,-22.90,96.00,-1.58,6.79,-0.80,"1,562.50","1,573.06","1,938.00",752.00,11_19_2021
ACLBSL,56.33,"1,482.90","1,510.00","1,414.00","1,431.00","1,442.42","1,321.00","1,453.90","1,905,442.00",37,-22.90,96.00,-1.58,6.79,-0.80,"1,562.50","1,573.06","1,938.00",752.00,11_20_2021
ACLBSL,51.63,"1,432.00","1,432.00","1,415.00","1,421.00","1,426.04",570.00,"1,431.00","812,841.50",32,-10.00,17.00,-0.70,1.20,-0.35,"1,559.51","1,571.24","1,938.00",752.00,11_21_2021
ACLBSL,36.14,"1,421.00","1,430.00","1,405.00","1,430.00","1,418.95",965.00,"1,421.00","1,369,285.50",39,9.00,25.00,0.63,1.78,0.77,"1,556.42","1,569.66","1,938.00",752.00,11_22_2021
ACLBSL,38.67,"1,420.00","1,422.00","1,405.10","1,411.00","1,416.28",783.00,"1,430.00","1,108,945.00",24,-19.00,16.90,-1.33,1.20,-0.37,"1,553.19","1,568.09","1,938.00",752.00,11_23_2021
ACLBSL,38.21,"1,400.00","1,425.00","1,400.00","1,424.90","1,404.79","2,059.00","1,411.00","2,892,455.10",61,13.90,25.00,0.99,1.79,1.41,"1,550.40","1,566.79","1,938.00",752.00,11_24_2021
ACLBSL,44.14,"1,453.00","1,453.00","1,396.50","1,400.00","1,406.58",768.00,"1,424.90","1,080,251.00",38,-24.90,56.50,-1.75,4.05,-0.47,"1,547.65","1,565.21","1,938.00",752.00,11_25_2021
ACLBSL,49.20,"1,453.00","1,453.00","1,396.50","1,400.00","1,406.58",768.00,"1,424.90","1,080,251.00",38,-24.90,56.50,-1.75,4.05,-0.47,"1,547.65","1,565.21","1,938.00",752.00,11_26_2021
ACLBSL,49.20,"1,453.00","1,453.00","1,396.50","1,400.00","1,406.58",768.00,"1,424.90","1,080,251.00",38,-24.90,56.50,-1.75,4.05,-0.47,"1,547.65","1,565.21","1,938.00",752.00,11_27_2021
ACLBSL,46.30,"1,398.00","1,398.00","1,347.00","1,360.00","1,365.78","1,014.00","1,400.00","1,384,905.00",47,-40.00,51.00,-2.86,3.79,-0.43,"1,544.73","1,563.35","1,938.00",752.00,11_28_2021
ACLBSL,43.41,"1,385.00","1,385.00","1,340.10","1,360.00","1,351.37","1,861.00","1,360.00","2,514,906.00",37,0.00,44.90,0.00,3.35,0.63,"1,542.45","1,561.91","1,938.00",752.00,11_29_2021
ACLBSL,47.04,"1,360.00","1,386.00","1,333.00","1,381.00","1,363.70",911.00,"1,360.00","1,242,330.00",26,21.00,53.00,1.54,3.98,1.25,"1,540.59","1,560.83","1,938.00",752.00,11_30_2021
ACLBSL,43.25,"1,360.00","1,375.00","1,360.00","1,362.00","1,362.43",200.00,"1,381.00","272,485.00",14,-19.00,15.00,-1.38,1.10,-0.03,"1,538.65","1,560.09","1,938.00",752.00,12_01_2021
ACLBSL,42.56,"1,350.00","1,350.00","1,320.00","1,330.00","1,328.66","1,594.00","1,362.00","2,117,891.00",45,-32.00,30.00,-2.35,2.27,0.10,"1,536.43","1,558.90","1,938.00",752.00,12_02_2021
ACLBSL,49.88,"1,350.00","1,350.00","1,320.00","1,330.00","1,328.66","1,594.00","1,362.00","2,117,891.00",45,-32.00,30.00,-2.35,2.27,0.10,"1,536.43","1,558.90","1,938.00",752.00,12_03_2021
ACLBSL,49.88,"1,350.00","1,350.00","1,320.00","1,330.00","1,328.66","1,594.00","1,362.00","2,117,891.00",45,-32.00,30.00,-2.35,2.27,0.10,"1,536.43","1,558.90","1,938.00",752.00,12_04_2021
ACLBSL,48.98,"1,305.00","1,330.00","1,280.00","1,290.00","1,300.06","1,799.00","1,330.00","2,338,800.00",63,-40.00,50.00,-3.01,3.91,-0.78,"1,533.79","1,557.79","1,938.00",752.00,12_05_2021
ACLBSL,45.46,"1,290.00","1,326.00","1,221.00","1,326.00","1,285.75","1,550.00","1,290.00","1,992,907.10",60,36.00,105.00,2.79,8.60,3.04,"1,531.25","1,557.02","1,938.00",752.00,12_06_2021
