Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ADBL,45.09,544.00,554.00,538.00,548.50,546.77,"93,937.00",544.00,"51,361,611.70",858,4.50,16.00,0.83,2.97,0.32,477.79,473.82,620.00,398.00,09_01_2021
ADBL,47.51,539.00,549.00,533.00,542.90,543.33,"103,451.00",528.50,"56,207,790.50",611,14.40,16.00,2.72,3.00,-0.08,508.96,485.06,620.00,398.00,11_03_2021
ADBL,58.00,539.00,549.00,533.00,542.90,543.33,"103,451.00",528.50,"56,207,790.50",611,14.40,16.00,2.72,3.00,-0.08,508.96,485.06,620.00,398.00,11_05_2021
ADBL,58.00,539.00,549.00,533.00,542.90,543.33,"103,451.00",528.50,"56,207,790.50",611,14.40,16.00,2.72,3.00,-0.08,508.96,485.06,620.00,398.00,11_06_2021
ADBL,58.00,539.00,549.00,533.00,542.90,543.33,"103,451.00",528.50,"56,207,790.50",611,14.40,16.00,2.72,3.00,-0.08,508.96,485.06,620.00,398.00,11_07_2021
ADBL,58.78,543.00,544.00,528.00,528.00,533.04,"27,478.00",542.90,"14,646,766.00",301,-14.90,16.00,-2.74,3.03,-0.95,509.88,485.49,620.00,398.00,11_08_2021
ADBL,49.47,528.10,530.00,512.00,515.00,518.11,"53,120.00",528.00,"27,522,253.70",346,-13.00,18.00,-2.46,3.52,-0.60,510.68,485.85,620.00,398.00,11_09_2021
ADBL,46.88,528.10,530.00,512.00,515.00,518.11,"53,120.00",528.00,"27,522,253.70",346,-13.00,18.00,-2.46,3.52,-0.60,510.68,485.85,620.00,398.00,11_10_2021
ADBL,44.83,512.00,520.00,500.00,507.00,507.92,"68,078.00",515.00,"34,578,001.70",382,-8.00,20.00,-1.55,4.00,-0.18,511.41,486.10,620.00,398.00,11_11_2021
ADBL,46.01,512.00,520.00,500.00,507.00,507.92,"68,078.00",515.00,"34,578,001.70",382,-8.00,20.00,-1.55,4.00,-0.18,511.41,486.10,620.00,398.00,11_12_2021
ADBL,46.01,512.00,520.00,500.00,507.00,507.92,"68,078.00",515.00,"34,578,001.70",382,-8.00,20.00,-1.55,4.00,-0.18,511.41,486.10,620.00,398.00,11_13_2021
ADBL,43.96,503.00,510.00,497.00,508.90,506.29,"36,575.00",507.00,"18,517,638.80",289,1.90,13.00,0.37,2.62,0.51,512.14,486.41,620.00,398.00,11_14_2021
ADBL,42.00,510.00,514.90,506.00,506.50,507.87,"27,116.00",508.90,"13,771,404.20",247,-2.40,8.90,-0.47,1.76,-0.27,512.87,486.69,620.00,398.00,11_15_2021
ADBL,41.22,507.00,513.00,500.00,508.00,507.27,"48,725.00",506.50,"24,716,496.20",336,1.50,13.00,0.30,2.60,0.14,513.61,487.00,620.00,398.00,11_16_2021
ADBL,43.19,518.00,518.00,508.20,512.90,513.21,"47,611.00",508.00,"24,434,353.50",262,4.90,9.80,0.96,1.93,-0.06,514.34,487.36,620.00,398.00,11_17_2021
ADBL,59.86,503.10,511.00,503.10,508.20,507.70,"19,692.00",512.90,"9,997,711.70",197,-4.70,7.90,-0.92,1.57,0.10,515.01,487.65,620.00,398.00,11_18_2021
ADBL,43.20,503.10,511.00,503.10,508.20,507.70,"19,692.00",512.90,"9,997,711.70",197,-4.70,7.90,-0.92,1.57,0.10,515.01,487.65,620.00,398.00,11_19_2021
ADBL,43.20,503.10,511.00,503.10,508.20,507.70,"19,692.00",512.90,"9,997,711.70",197,-4.70,7.90,-0.92,1.57,0.10,515.01,487.65,620.00,398.00,11_20_2021
ADBL,38.50,508.00,510.00,502.50,504.00,505.34,"39,307.00",508.20,"19,863,586.70",250,-4.20,7.50,-0.83,1.49,-0.27,515.60,487.89,620.00,398.00,11_21_2021
ADBL,40.17,504.00,509.00,503.00,504.20,504.97,"20,171.00",504.00,"10,185,826.00",178,0.20,6.00,0.04,1.19,-0.15,516.18,488.09,620.00,398.00,11_22_2021
ADBL,37.78,500.00,505.00,495.00,497.10,500.49,"36,868.00",504.20,"18,451,920.90",266,-7.10,10.00,-1.41,2.02,-0.68,516.68,488.23,620.00,398.00,11_23_2021
ADBL,40.88,497.00,498.90,495.10,495.90,496.37,"36,718.00",497.10,"18,225,695.90",243,-1.20,3.80,-0.24,0.77,-0.09,517.11,488.36,620.00,398.00,11_24_2021
ADBL,42.54,496.00,499.50,491.00,495.00,495.77,"40,312.00",495.90,"19,985,326.70",224,-0.90,8.50,-0.18,1.73,-0.15,517.46,488.53,620.00,398.00,11_25_2021
ADBL,46.45,496.00,499.50,491.00,495.00,495.77,"40,312.00",495.90,"19,985,326.70",224,-0.90,8.50,-0.18,1.73,-0.15,517.46,488.53,620.00,398.00,11_26_2021
ADBL,46.45,496.00,499.50,491.00,495.00,495.77,"40,312.00",495.90,"19,985,326.70",224,-0.90,8.50,-0.18,1.73,-0.15,517.46,488.53,620.00,398.00,11_27_2021
ADBL,43.55,491.00,495.00,470.00,476.00,481.42,"64,115.00",495.00,"30,866,245.70",505,-19.00,25.00,-3.84,5.32,-1.14,517.71,488.65,620.00,398.00,11_28_2021
ADBL,44.41,471.00,483.00,469.00,477.50,477.09,"25,152.00",476.00,"11,999,793.10",229,1.50,14.00,0.32,2.99,0.09,517.99,488.75,620.00,398.00,11_29_2021
ADBL,44.46,474.00,480.00,468.00,473.00,471.98,"35,963.00",477.50,"16,973,702.70",280,-4.50,12.00,-0.94,2.56,0.22,518.20,488.85,620.00,398.00,11_30_2021
ADBL,44.37,472.00,475.00,470.00,473.00,472.08,"28,814.00",473.00,"13,602,652.90",192,0.00,5.00,0.00,1.06,0.19,518.46,489.03,620.00,398.00,12_01_2021
ADBL,43.57,475.00,476.90,467.00,467.00,470.95,"37,874.00",473.00,"17,836,807.30",264,-6.00,9.90,-1.27,2.12,-0.85,518.71,489.15,620.00,398.00,12_02_2021
ADBL,47.58,475.00,476.90,467.00,467.00,470.95,"37,874.00",473.00,"17,836,807.30",264,-6.00,9.90,-1.27,2.12,-0.85,518.71,489.15,620.00,398.00,12_03_2021
ADBL,47.58,475.00,476.90,467.00,467.00,470.95,"37,874.00",473.00,"17,836,807.30",264,-6.00,9.90,-1.27,2.12,-0.85,518.71,489.15,620.00,398.00,12_04_2021
ADBL,46.68,461.00,465.00,444.00,446.00,449.95,"68,193.00",467.00,"30,683,279.50",462,-21.00,21.00,-4.50,4.73,-0.89,518.76,489.21,620.00,398.00,12_05_2021
ADBL,43.56,446.00,459.00,430.00,451.00,438.48,"68,814.00",446.00,"30,173,810.40",438,5.00,29.00,1.12,6.74,2.78,518.77,489.34,620.00,398.00,12_06_2021
ADBL,47.70,452.10,456.90,448.00,448.00,451.03,"28,400.00",451.00,"12,809,128.00",253,-3.00,8.90,-0.67,1.99,-0.68,518.62,489.42,620.00,398.00,12_07_2021
ADBL,41.74,445.00,445.00,437.00,441.00,440.30,"27,135.00",448.00,"11,947,566.30",215,-7.00,8.00,-1.56,1.83,0.16,518.48,489.48,620.00,398.00,12_08_2021
ADBL,39.43,440.00,440.00,410.00,439.00,434.33,"40,348.00",441.00,"17,524,497.10",254,-2.00,30.00,-0.45,7.32,1.06,518.28,489.55,620.00,398.00,12_09_2021
ADBL,44.76,440.00,440.00,410.00,439.00,434.33,"40,348.00",441.00,"17,524,497.10",254,-2.00,30.00,-0.45,7.32,1.06,518.28,489.55,620.00,398.00,12_10_2021
ADBL,44.76,440.00,440.00,410.00,439.00,434.33,"40,348.00",441.00,"17,524,497.10",254,-2.00,30.00,-0.45,7.32,1.06,518.28,489.55,620.00,398.00,12_11_2021
ADBL,44.11,437.00,438.80,421.00,421.00,427.34,"32,738.00",439.00,"13,990,157.70",322,-18.00,17.80,-4.10,4.23,-1.51,517.93,489.52,620.00,398.00,12_12_2021
ADBL,36.57,421.00,421.70,406.10,421.00,413.65,"50,626.00",421.00,"20,941,548.70",352,0.00,15.60,0.00,3.84,1.75,517.63,489.54,620.00,398.00,12_13_2021
