Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ADLB,0.00,256.80,256.80,256.80,256.80,256.80,10.00,256.80,"2,568.00",1,0.00,0.00,0.00,0.00,0.00,-,-,256.80,256.80,07_22_2022
ADLB,40.49,256.80,256.80,256.80,256.80,256.80,10.00,256.80,"2,568.00",1,0.00,0.00,0.00,0.00,0.00,-,-,256.80,256.80,07_23_2022
ADLB,43.64,256.80,256.80,256.80,256.80,251.80,10.00,256.80,"2,518.00",2,0.00,0.00,0.00,0.00,1.95,-,-,256.80,256.80,07_26_2022
ADLB,43.22,261.90,261.90,261.90,261.90,261.90,10.00,256.80,"2,619.00",1,5.10,0.00,1.99,0.00,0.00,-,-,261.90,256.80,07_29_2022
ADLB,50.44,261.90,261.90,261.90,261.90,261.90,10.00,256.80,"2,619.00",1,5.10,0.00,1.99,0.00,0.00,-,-,261.90,256.80,07_30_2022
ADLB,50.42,267.10,267.10,267.10,267.10,267.10,10.00,261.90,"2,671.00",1,5.20,0.00,1.99,0.00,0.00,-,-,267.10,256.80,08_08_2022
ADLB,49.67,267.10,267.10,267.10,267.10,272.30,10.00,267.10,"2,723.00",2,0.00,0.00,0.00,0.00,-1.95,-,-,267.10,256.80,08_11_2022
ADLB,48.08,267.10,267.10,267.10,267.10,272.30,10.00,267.10,"2,723.00",2,0.00,0.00,0.00,0.00,-1.95,-,-,267.10,256.80,08_12_2022
ADLB,48.08,267.10,267.10,267.10,267.10,272.30,10.00,267.10,"2,723.00",2,0.00,0.00,0.00,0.00,-1.95,-,-,267.10,256.80,08_13_2022
ADLB,50.21,267.10,267.10,267.10,267.10,272.40,2.00,267.10,544.80,2,0.00,0.00,0.00,0.00,-1.98,-,-,267.10,256.80,08_16_2022
ADLB,41.60,272.40,272.40,272.40,272.40,268.42,20.00,267.10,"5,368.30",3,5.30,0.00,1.98,0.00,1.46,-,-,272.40,256.80,08_17_2022
ADLB,47.41,277.80,277.80,277.80,277.80,277.80,10.00,272.40,"2,778.00",1,5.40,0.00,1.98,0.00,0.00,-,-,277.80,256.80,08_28_2022
ADLB,39.78,283.30,283.30,283.30,283.30,279.55,20.00,277.80,"5,590.90",4,5.50,0.00,1.98,0.00,1.33,-,-,283.30,256.80,09_01_2022
ADLB,43.37,283.30,283.30,283.30,283.30,279.14,10.00,283.30,"2,791.40",2,0.00,0.00,0.00,0.00,1.47,-,-,283.30,256.80,09_11_2022
ADLB,39.27,288.90,288.90,288.90,288.90,288.90,10.00,283.30,"2,889.00",1,5.60,0.00,1.98,0.00,0.00,-,-,288.90,256.80,09_12_2022
ADLB,37.59,294.60,294.60,294.60,294.60,297.50,20.00,288.90,"5,950.00",3,5.70,0.00,1.97,0.00,-0.98,-,-,294.60,256.80,09_13_2022
ADLB,40.09,300.40,300.40,300.40,300.40,300.40,10.00,294.60,"3,004.00",1,5.80,0.00,1.97,0.00,0.00,-,-,300.40,256.80,09_18_2022
ADLB,33.84,300.40,300.40,300.40,300.40,300.40,10.00,294.60,"3,004.00",1,5.80,0.00,1.97,0.00,0.00,-,-,300.40,256.80,09_19_2022
ADLB,34.22,306.40,306.40,306.40,306.40,306.40,10.00,300.40,"3,064.00",1,6.00,0.00,2.00,0.00,0.00,-,-,306.40,256.80,09_20_2022
ADLB,36.16,312.50,312.50,312.50,312.50,312.50,10.00,306.40,"3,125.00",1,6.10,0.00,1.99,0.00,0.00,-,-,312.50,256.80,09_21_2022
ADLB,34.15,312.50,318.70,312.50,318.70,315.60,20.00,312.50,"6,312.00",2,6.20,6.20,1.98,1.98,0.97,-,-,318.70,256.80,09_25_2022
ADLB,36.76,312.50,318.70,312.50,318.70,315.60,20.00,312.50,"6,312.00",2,6.20,6.20,1.98,1.98,0.97,-,-,318.70,256.80,09_26_2022
ADLB,45.43,325.00,325.00,325.00,325.00,325.00,10.00,318.70,"3,250.00",1,6.30,0.00,1.98,0.00,0.00,-,-,325.00,256.80,12_01_2022
ADLB,40.11,325.00,325.00,325.00,325.00,325.00,10.00,318.70,"3,250.00",1,6.30,0.00,1.98,0.00,0.00,-,-,325.00,256.80,12_02_2022
ADLB,40.11,325.00,325.00,325.00,325.00,325.00,10.00,318.70,"3,250.00",1,6.30,0.00,1.98,0.00,0.00,-,-,325.00,256.80,12_03_2022
ADLB,41.44,331.50,331.50,331.50,331.50,331.50,10.00,325.00,"3,315.00",1,6.50,0.00,2.00,0.00,0.00,-,-,331.50,256.80,12_04_2022
ADLB,41.33,338.10,338.10,338.10,338.10,338.10,10.00,331.50,"3,381.00",1,6.60,0.00,1.99,0.00,0.00,-,-,338.10,256.80,12_07_2022
ADLB,37.73,338.10,338.10,338.10,338.10,338.10,10.00,331.50,"3,381.00",1,6.60,0.00,1.99,0.00,0.00,-,-,338.10,256.80,12_08_2022
ADLB,37.73,338.10,338.10,338.10,338.10,338.10,10.00,331.50,"3,381.00",1,6.60,0.00,1.99,0.00,0.00,-,-,338.10,256.80,12_09_2022
ADLB,37.73,338.10,338.10,338.10,338.10,338.10,10.00,331.50,"3,381.00",1,6.60,0.00,1.99,0.00,0.00,-,-,338.10,256.80,12_10_2022
ADLB,39.14,344.80,358.60,344.80,358.60,351.67,30.00,338.10,"10,550.00",3,20.50,13.80,6.06,4.00,1.93,-,-,358.60,256.80,12_11_2022
ADLB,45.08,365.70,380.40,365.70,380.40,373.03,30.00,358.60,"11,191.00",3,21.80,14.70,6.08,4.02,1.94,-,-,380.40,256.80,12_12_2022
ADLB,46.34,388.00,388.00,388.00,388.00,388.00,10.00,380.40,"3,880.00",1,7.60,0.00,2.00,0.00,0.00,-,-,388.00,256.80,12_13_2022
ADLB,37.83,395.70,395.70,395.70,395.70,395.70,10.00,388.00,"3,957.00",1,7.70,0.00,1.98,0.00,0.00,-,-,395.70,256.80,12_15_2022
ADLB,37.60,395.70,395.70,395.70,395.70,395.70,10.00,388.00,"3,957.00",1,7.70,0.00,1.98,0.00,0.00,-,-,395.70,256.80,12_16_2022
ADLB,37.60,395.70,395.70,395.70,395.70,395.70,10.00,388.00,"3,957.00",1,7.70,0.00,1.98,0.00,0.00,-,-,395.70,256.80,12_17_2022
ADLB,37.37,403.60,403.60,403.60,403.60,403.60,10.00,395.70,"4,036.00",1,7.90,0.00,2.00,0.00,0.00,-,-,403.60,256.80,12_18_2022
ADLB,35.91,411.60,411.60,411.60,411.60,411.60,10.00,403.60,"4,116.00",1,8.00,0.00,1.98,0.00,0.00,-,-,411.60,256.80,12_19_2022
ADLB,35.38,419.80,419.80,419.80,419.80,419.80,10.00,411.60,"4,198.00",1,8.20,0.00,1.99,0.00,0.00,-,-,419.80,256.80,12_21_2022
ADLB,33.74,428.10,454.20,428.10,454.20,441.05,40.00,419.80,"17,642.00",4,34.40,26.10,8.19,6.10,2.90,-,-,454.20,256.80,12_22_2022
ADLB,38.83,428.10,454.20,428.10,454.20,441.05,40.00,419.80,"17,642.00",4,34.40,26.10,8.19,6.10,2.90,-,-,454.20,256.80,12_23_2022
ADLB,38.83,428.10,454.20,428.10,454.20,441.05,40.00,419.80,"17,642.00",4,34.40,26.10,8.19,6.10,2.90,-,-,454.20,256.80,12_24_2022
ADLB,38.83,428.10,454.20,428.10,454.20,441.05,40.00,419.80,"17,642.00",4,34.40,26.10,8.19,6.10,2.90,-,-,454.20,256.80,12_25_2022
ADLB,40.60,463.20,463.20,463.20,463.20,463.20,10.00,454.20,"4,632.00",1,9.00,0.00,1.98,0.00,0.00,-,-,463.20,256.80,12_27_2022
ADLB,39.93,472.40,472.40,472.40,472.40,472.40,10.00,463.20,"4,724.00",1,9.20,0.00,1.99,0.00,0.00,-,-,472.40,256.80,12_28_2022
ADLB,39.32,481.80,481.80,481.80,481.80,481.80,10.00,472.40,"4,818.00",1,9.40,0.00,1.99,0.00,0.00,-,-,481.80,256.80,12_29_2022
ADLB,40.09,481.80,481.80,481.80,481.80,481.80,10.00,472.40,"4,818.00",1,9.40,0.00,1.99,0.00,0.00,-,-,481.80,256.80,12_30_2022
ADLB,40.09,481.80,481.80,481.80,481.80,481.80,10.00,472.40,"4,818.00",1,9.40,0.00,1.99,0.00,0.00,-,-,481.80,256.80,12_31_2022
ADLB,41.27,491.40,501.20,491.40,501.20,496.30,20.00,481.80,"9,926.00",2,19.40,9.80,4.03,1.99,0.98,-,-,501.20,256.80,01_01_2023
ADLB,42.48,511.20,521.40,511.20,521.40,516.30,20.00,501.20,"10,326.00",2,20.20,10.20,4.03,2.00,0.98,-,-,521.40,256.80,01_02_2023
ADLB,44.86,531.80,553.20,531.80,553.20,542.47,30.00,521.40,"16,274.00",3,31.80,21.40,6.10,4.02,1.94,-,-,553.20,256.80,01_03_2023
ADLB,50.44,564.20,564.20,564.20,564.20,564.20,10.00,553.20,"5,642.00",1,11.00,0.00,1.99,0.00,0.00,-,-,564.20,256.80,01_04_2023
ADLB,45.77,575.40,586.90,575.40,586.90,581.15,20.00,564.20,"11,623.00",2,22.70,11.50,4.02,2.00,0.98,-,-,586.90,256.80,01_05_2023
ADLB,50.30,575.40,586.90,575.40,586.90,581.15,20.00,564.20,"11,623.00",2,22.70,11.50,4.02,2.00,0.98,-,-,586.90,256.80,01_06_2023
