Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
AIL,43.96,812.00,819.70,803.70,806.00,811.19,"10,682.00",812.10,"8,665,098.10",287,-6.10,16.00,-0.75,1.99,-0.64,836.82,790.54,"1,125.00",500.00,09_01_2021
AIL,65.56,800.70,800.70,761.00,774.00,780.32,"3,822.00",785.00,"2,982,394.30",93,-11.00,39.70,-1.40,5.22,-0.82,814.67,805.36,"1,125.00",504.00,11_03_2021
AIL,62.75,800.70,800.70,761.00,774.00,780.32,"3,822.00",785.00,"2,982,394.30",93,-11.00,39.70,-1.40,5.22,-0.82,814.67,805.36,"1,125.00",504.00,11_05_2021
AIL,62.75,800.70,800.70,761.00,774.00,780.32,"3,822.00",785.00,"2,982,394.30",93,-11.00,39.70,-1.40,5.22,-0.82,814.67,805.36,"1,125.00",504.00,11_06_2021
AIL,62.75,800.70,800.70,761.00,774.00,780.32,"3,822.00",785.00,"2,982,394.30",93,-11.00,39.70,-1.40,5.22,-0.82,814.67,805.36,"1,125.00",504.00,11_07_2021
AIL,63.54,775.00,784.00,761.00,769.00,769.01,"2,056.00",774.00,"1,581,094.00",90,-5.00,23.00,-0.65,3.02,0.00,814.17,805.18,"1,125.00",504.00,11_08_2021
AIL,54.14,755.10,756.00,732.10,736.00,741.12,"6,036.00",769.00,"4,473,422.50",118,-33.00,23.90,-4.29,3.26,-0.70,813.43,804.74,"1,125.00",504.00,11_09_2021
AIL,50.26,755.10,756.00,732.10,736.00,741.12,"6,036.00",769.00,"4,473,422.50",118,-33.00,23.90,-4.29,3.26,-0.70,813.43,804.74,"1,125.00",504.00,11_10_2021
AIL,48.21,722.00,730.40,707.00,714.00,714.21,"5,246.00",736.00,"3,746,753.00",130,-22.00,23.40,-2.99,3.31,-0.03,812.43,804.22,"1,125.00",517.00,11_11_2021
AIL,47.11,722.00,730.40,707.00,714.00,714.21,"5,246.00",736.00,"3,746,753.00",130,-22.00,23.40,-2.99,3.31,-0.03,812.43,804.22,"1,125.00",517.00,11_12_2021
AIL,47.11,722.00,730.40,707.00,714.00,714.21,"5,246.00",736.00,"3,746,753.00",130,-22.00,23.40,-2.99,3.31,-0.03,812.43,804.22,"1,125.00",517.00,11_13_2021
AIL,45.06,725.00,725.00,700.00,714.00,711.28,"2,384.00",714.00,"1,695,683.00",107,0.00,25.00,0.00,3.57,0.38,811.43,803.78,"1,125.00",519.00,11_14_2021
AIL,41.94,700.00,730.00,699.80,730.00,721.05,"4,220.00",714.00,"3,042,828.00",120,16.00,30.20,2.24,4.32,1.23,810.55,803.49,"1,125.00",519.00,11_15_2021
AIL,45.47,736.00,785.10,716.10,752.00,745.66,"5,709.00",730.00,"4,256,972.80",155,22.00,69.00,3.01,9.64,0.84,809.72,803.43,"1,125.00",519.00,11_16_2021
AIL,56.77,753.00,780.00,740.00,763.50,763.26,"8,058.00",752.00,"6,150,385.00",187,11.50,40.00,1.53,5.41,0.03,808.64,803.51,"1,125.00",519.00,11_17_2021
AIL,65.00,748.30,750.00,736.10,740.00,744.36,"3,570.00",763.50,"2,657,380.00",126,-23.50,13.90,-3.08,1.89,-0.59,807.43,803.26,"1,125.00",519.00,11_18_2021
AIL,56.52,748.30,750.00,736.10,740.00,744.36,"3,570.00",763.50,"2,657,380.00",126,-23.50,13.90,-3.08,1.89,-0.59,807.43,803.26,"1,125.00",519.00,11_19_2021
