Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
AKBSL,26.83,398.50,398.50,398.50,398.50,393.93,30.00,390.76,"11,818.00",6,7.74,0.00,1.98,0.00,1.15,-,-,398.50,398.50,06_10_2022
AKBSL,21.67,398.50,398.50,398.50,398.50,393.93,30.00,390.76,"11,818.00",6,7.74,0.00,1.98,0.00,1.15,-,-,398.50,398.50,06_11_2022
AKBSL,21.67,398.50,398.50,398.50,398.50,393.93,30.00,390.76,"11,818.00",6,7.74,0.00,1.98,0.00,1.15,-,-,398.50,398.50,06_12_2022
AKBSL,21.40,391.50,414.50,391.50,414.50,402.40,70.00,398.50,"28,168.10",11,16.00,23.00,4.02,5.87,2.92,-,-,414.50,391.50,06_13_2022
AKBSL,20.53,422.70,"1,250.00",422.70,448.40,"1,187.03",650.00,414.50,"771,569.00",7,33.90,827.30,8.18,195.72,-164.73,-,-,"1,250.00",391.50,06_14_2022
AKBSL,23.21,457.30,493.20,457.30,493.20,468.17,150.00,448.40,"70,226.00",8,44.80,35.90,9.99,7.85,5.07,-,-,"1,250.00",391.50,06_15_2022
AKBSL,32.57,503.00,542.50,503.00,542.50,528.07,70.00,493.20,"36,964.90",8,49.30,39.50,10.00,7.85,2.66,-,-,"1,250.00",391.50,06_16_2022
AKBSL,36.85,553.30,596.70,553.30,596.70,578.92,60.00,542.50,"34,735.00",6,54.20,43.40,9.99,7.84,2.98,-,-,"1,250.00",391.50,06_17_2022
AKBSL,34.73,553.30,596.70,553.30,596.70,578.92,60.00,542.50,"34,735.00",6,54.20,43.40,9.99,7.84,2.98,-,-,"1,250.00",391.50,06_18_2022
AKBSL,34.23,596.70,656.30,596.70,656.30,640.86,130.00,596.70,"83,311.30",18,59.60,59.60,9.99,9.99,2.35,-,-,"1,250.00",391.50,06_19_2022
AKBSL,35.45,669.40,721.90,669.40,721.90,709.00,100.00,656.30,"70,900.00",10,65.60,52.50,10.00,7.84,1.79,-,-,"1,250.00",391.50,06_20_2022
AKBSL,36.02,736.30,794.00,736.30,794.00,775.66,140.00,721.90,"108,592.00",13,72.10,57.70,9.99,7.84,2.31,-,-,"1,250.00",391.50,06_21_2022
AKBSL,38.36,809.80,873.40,809.80,873.40,870.92,630.00,794.00,"548,679.00",18,79.40,63.60,10.00,7.85,0.28,-,-,"1,250.00",391.50,06_22_2022
AKBSL,35.25,890.80,960.70,890.80,960.70,959.03,"2,415.00",873.40,"2,316,050.50",111,87.30,69.90,10.00,7.85,0.17,-,-,"1,250.00",391.50,06_23_2022
AKBSL,44.67,"1,220.00","1,334.10","1,200.00","1,334.00","1,274.58","9,683.00","1,217.00","12,341,769.00",421,117.00,134.10,9.61,11.18,4.45,-,-,"1,345.30",391.50,07_05_2022
AKBSL,38.02,"1,360.60","1,407.60","1,294.00","1,370.00","1,382.14","9,107.00","1,334.00","12,587,105.40",330,36.00,113.60,2.70,8.78,-0.89,-,-,"1,407.60",391.50,07_06_2022
AKBSL,36.43,"1,397.40","1,507.00","1,397.40","1,507.00","1,472.93","3,035.00","1,370.00","4,470,334.50",72,137.00,109.60,10.00,7.84,2.26,-,-,"1,507.00",391.50,12_20_2022
AKBSL,34.37,"1,537.10","1,657.70","1,537.10","1,657.70","1,657.34","8,290.00","1,507.00","13,739,375.00",104,150.70,120.60,10.00,7.85,0.02,-,-,"1,657.70",391.50,12_21_2022
AKBSL,37.87,"1,690.80","1,790.00","1,492.00","1,530.00","1,528.14","20,110.00","1,657.70","30,730,877.20",677,-127.70,298.00,-7.70,19.97,0.12,-,-,"1,790.00",391.50,12_22_2022
AKBSL,38.98,"1,690.80","1,790.00","1,492.00","1,530.00","1,528.14","20,110.00","1,657.70","30,730,877.20",677,-127.70,298.00,-7.70,19.97,0.12,-,-,"1,790.00",391.50,12_23_2022
AKBSL,38.98,"1,690.80","1,790.00","1,492.00","1,530.00","1,528.14","20,110.00","1,657.70","30,730,877.20",677,-127.70,298.00,-7.70,19.97,0.12,-,-,"1,790.00",391.50,12_24_2022
AKBSL,38.98,"1,690.80","1,790.00","1,492.00","1,530.00","1,528.14","20,110.00","1,657.70","30,730,877.20",677,-127.70,298.00,-7.70,19.97,0.12,-,-,"1,790.00",391.50,12_25_2022
AKBSL,38.82,"1,560.60","1,683.00","1,560.60","1,632.00","1,605.48","15,739.00","1,530.00","25,268,628.70",363,102.00,122.40,6.67,7.84,1.63,-,-,"1,790.00",391.50,12_26_2022
AKBSL,40.68,"1,664.60","1,664.60","1,580.00","1,589.00","1,604.62","11,667.00","1,632.00","18,721,069.90",324,-43.00,84.60,-2.63,5.35,-0.98,-,-,"1,790.00",391.50,12_27_2022
AKBSL,41.23,"1,565.20","1,586.10","1,535.00","1,555.00","1,559.86","6,943.00","1,589.00","10,830,081.40",210,-34.00,51.10,-2.14,3.33,-0.31,-,-,"1,790.00",391.50,12_28_2022
AKBSL,36.65,"1,523.90","1,575.00","1,523.90","1,555.10","1,560.75","5,000.00","1,555.00","7,803,750.30",153,0.10,51.10,0.01,3.35,-0.36,-,-,"1,790.00",391.50,12_29_2022
AKBSL,37.48,"1,523.90","1,575.00","1,523.90","1,555.10","1,560.75","5,000.00","1,555.00","7,803,750.30",153,0.10,51.10,0.01,3.35,-0.36,-,-,"1,790.00",391.50,12_30_2022
AKBSL,37.48,"1,523.90","1,575.00","1,523.90","1,555.10","1,560.75","5,000.00","1,555.00","7,803,750.30",153,0.10,51.10,0.01,3.35,-0.36,-,-,"1,790.00",391.50,12_31_2022
AKBSL,38.65,"1,555.00","1,585.00","1,538.00","1,548.00","1,556.06","4,999.00","1,555.10","7,778,749.00",160,-7.10,47.00,-0.46,3.06,-0.52,-,-,"1,790.00",391.50,01_01_2023
AKBSL,34.99,"1,548.00","1,610.00","1,539.00","1,575.00","1,571.76","5,594.00","1,548.00","8,792,408.30",147,27.00,71.00,1.74,4.61,0.21,-,-,"1,790.00",391.50,01_02_2023
AKBSL,37.75,"1,595.00","1,620.00","1,585.00","1,609.00","1,605.64","7,218.00","1,575.00","11,589,476.50",178,34.00,35.00,2.16,2.21,0.21,-,-,"1,790.00",391.50,01_03_2023
AKBSL,43.48,"1,640.00","1,646.00","1,586.00","1,641.00","1,623.32","4,217.00","1,609.00","6,845,547.00",148,32.00,60.00,1.99,3.78,1.08,-,-,"1,790.00",391.50,01_04_2023
AKBSL,41.97,"1,673.00","1,681.00","1,630.00","1,681.00","1,654.57","8,011.00","1,641.00","13,254,777.90",195,40.00,51.00,2.44,3.13,1.57,-,-,"1,790.00",391.50,01_05_2023
AKBSL,47.70,"1,673.00","1,681.00","1,630.00","1,681.00","1,654.57","8,011.00","1,641.00","13,254,777.90",195,40.00,51.00,2.44,3.13,1.57,-,-,"1,790.00",391.50,01_06_2023
AKBSL,47.70,"1,673.00","1,681.00","1,630.00","1,681.00","1,654.57","8,011.00","1,641.00","13,254,777.90",195,40.00,51.00,2.44,3.13,1.57,-,-,"1,790.00",391.50,01_07_2023
AKBSL,48.90,"1,710.00","1,837.00","1,710.00","1,823.00","1,800.45","16,542.00","1,681.00","29,783,049.60",350,142.00,127.00,8.45,7.43,1.24,-,-,"1,837.00",391.50,01_08_2023
AKBSL,50.99,"1,820.00","1,881.00","1,820.00","1,870.00","1,855.66","8,127.00","1,823.00","15,080,931.00",210,47.00,61.00,2.58,3.35,0.77,-,-,"1,881.00",391.50,01_09_2023
AKBSL,49.98,"1,889.00","1,907.00","1,760.00","1,810.00","1,848.66","7,830.00","1,870.00","14,474,980.50",258,-60.00,147.00,-3.21,8.35,-2.14,-,-,"1,907.00",391.50,01_10_2023
AKBSL,48.45,"1,889.00","1,907.00","1,760.00","1,810.00","1,848.66","7,830.00","1,870.00","14,474,980.50",258,-60.00,147.00,-3.21,8.35,-2.14,-,-,"1,907.00",391.50,01_11_2023
AKBSL,48.47,"1,825.10","1,866.00","1,775.50","1,775.50","1,817.14","6,373.00","1,810.00","11,580,650.10",244,-34.50,90.50,-1.91,5.10,-2.35,-,-,"1,907.00",391.50,01_12_2023
AKBSL,47.56,"1,825.10","1,866.00","1,775.50","1,775.50","1,817.14","6,373.00","1,810.00","11,580,650.10",244,-34.50,90.50,-1.91,5.10,-2.35,-,-,"1,907.00",391.50,01_13_2023
AKBSL,47.56,"1,825.10","1,866.00","1,775.50","1,775.50","1,817.14","6,373.00","1,810.00","11,580,650.10",244,-34.50,90.50,-1.91,5.10,-2.35,-,-,"1,907.00",391.50,01_14_2023
AKBSL,47.56,"1,825.10","1,866.00","1,775.50","1,775.50","1,817.14","6,373.00","1,810.00","11,580,650.10",244,-34.50,90.50,-1.91,5.10,-2.35,-,-,"1,907.00",391.50,01_15_2023
AKBSL,47.56,"1,825.10","1,866.00","1,775.50","1,775.50","1,817.14","6,373.00","1,810.00","11,580,650.10",244,-34.50,90.50,-1.91,5.10,-2.35,0.00,0.00,"1,907.00",391.50,01_16_2023
