Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
AKPL,48.38,659.00,669.00,633.10,640.00,650.29,"181,760.00",659.00,"118,197,452.50","1,473",-19.00,35.90,-2.88,5.67,-1.61,450.20,397.33,882.40,142.00,09_01_2021
AKPL,66.54,612.00,660.00,612.00,645.00,646.52,"337,120.00",600.00,"217,955,247.30","2,459",45.00,48.00,7.50,7.84,-0.24,520.99,457.90,882.40,240.00,11_03_2021
AKPL,69.06,612.00,660.00,612.00,645.00,646.52,"337,120.00",600.00,"217,955,247.30","2,459",45.00,48.00,7.50,7.84,-0.24,520.99,457.90,882.40,240.00,11_05_2021
AKPL,69.06,612.00,660.00,612.00,645.00,646.52,"337,120.00",600.00,"217,955,247.30","2,459",45.00,48.00,7.50,7.84,-0.24,520.99,457.90,882.40,240.00,11_06_2021
AKPL,69.06,612.00,660.00,612.00,645.00,646.52,"337,120.00",600.00,"217,955,247.30","2,459",45.00,48.00,7.50,7.84,-0.24,520.99,457.90,882.40,240.00,11_07_2021
AKPL,69.85,657.90,669.90,646.00,647.00,654.59,"136,643.00",645.00,"89,444,663.90","1,060",2.00,23.90,0.31,3.70,-1.17,523.48,459.61,882.40,240.00,11_08_2021
AKPL,62.24,645.00,645.00,605.00,611.50,620.77,"265,901.00",647.00,"165,064,545.80","1,906",-35.50,40.00,-5.49,6.61,-1.52,525.73,461.03,882.40,240.00,11_09_2021
AKPL,61.67,645.00,645.00,605.00,611.50,620.77,"265,901.00",647.00,"165,064,545.80","1,906",-35.50,40.00,-5.49,6.61,-1.52,525.73,461.03,882.40,240.00,11_10_2021
AKPL,59.62,604.00,609.80,577.00,586.00,593.50,"213,717.00",611.50,"126,840,038.40","1,572",-25.50,32.80,-4.17,5.68,-1.28,527.75,462.35,882.40,240.00,11_11_2021
AKPL,54.36,604.00,609.80,577.00,586.00,593.50,"213,717.00",611.50,"126,840,038.40","1,572",-25.50,32.80,-4.17,5.68,-1.28,527.75,462.35,882.40,240.00,11_12_2021
AKPL,54.36,604.00,609.80,577.00,586.00,593.50,"213,717.00",611.50,"126,840,038.40","1,572",-25.50,32.80,-4.17,5.68,-1.28,527.75,462.35,882.40,240.00,11_13_2021
AKPL,52.31,597.70,615.00,586.00,600.00,601.64,"217,525.00",586.00,"130,872,769.80","1,400",14.00,29.00,2.39,4.95,-0.27,529.86,463.80,882.40,240.00,11_14_2021
AKPL,50.36,612.00,623.00,610.00,613.90,616.16,"101,843.00",600.00,"62,751,297.60",775,13.90,13.00,2.32,2.13,-0.37,532.04,465.37,882.40,240.00,11_15_2021
AKPL,48.73,624.00,624.00,610.00,620.00,618.99,"122,858.00",613.90,"76,047,691.00",745,6.10,14.00,0.99,2.30,0.16,534.19,466.95,882.40,240.00,11_16_2021
AKPL,52.37,632.40,654.00,621.00,630.00,639.68,"302,488.00",620.00,"193,496,594.80","1,626",10.00,33.00,1.61,5.31,-1.54,536.40,468.61,882.40,240.00,11_17_2021
AKPL,60.21,630.00,647.70,615.00,616.00,623.98,"164,322.00",630.00,"102,533,000.70","1,049",-14.00,32.70,-2.22,5.32,-1.29,538.38,470.15,882.40,240.00,11_18_2021
AKPL,54.14,630.00,647.70,615.00,616.00,623.98,"164,322.00",630.00,"102,533,000.70","1,049",-14.00,32.70,-2.22,5.32,-1.29,538.38,470.15,882.40,240.00,11_19_2021
AKPL,54.14,630.00,647.70,615.00,616.00,623.98,"164,322.00",630.00,"102,533,000.70","1,049",-14.00,32.70,-2.22,5.32,-1.29,538.38,470.15,882.40,240.00,11_20_2021
