Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ALBSL,45.73,"1,790.00","1,825.00","1,760.00","1,799.00","1,786.96","4,875.00","1,790.00","8,711,418.00",89,9.00,65.00,0.50,3.69,0.67,"1,763.93","1,607.25","2,101.20",785.00,09_01_2021
ALBSL,48.63,"1,525.00","1,525.00","1,492.00","1,495.00","1,500.83","1,216.00","1,514.90","1,825,014.00",35,-19.90,33.00,-1.31,2.21,-0.39,"1,800.40","1,719.36","2,101.20",830.00,11_03_2021
ALBSL,45.79,"1,525.00","1,525.00","1,492.00","1,495.00","1,500.83","1,216.00","1,514.90","1,825,014.00",35,-19.90,33.00,-1.31,2.21,-0.39,"1,800.40","1,719.36","2,101.20",830.00,11_05_2021
ALBSL,45.79,"1,525.00","1,525.00","1,492.00","1,495.00","1,500.83","1,216.00","1,514.90","1,825,014.00",35,-19.90,33.00,-1.31,2.21,-0.39,"1,800.40","1,719.36","2,101.20",830.00,11_06_2021
ALBSL,45.79,"1,525.00","1,525.00","1,492.00","1,495.00","1,500.83","1,216.00","1,514.90","1,825,014.00",35,-19.90,33.00,-1.31,2.21,-0.39,"1,800.40","1,719.36","2,101.20",830.00,11_07_2021
ALBSL,46.57,"1,510.00","1,520.00","1,489.60","1,489.60","1,502.12",811.00,"1,495.00","1,218,222.00",23,-5.40,30.40,-0.36,2.04,-0.84,"1,797.64","1,718.91","2,101.20",830.00,11_08_2021
ALBSL,48.27,"1,471.00","1,489.00","1,450.00","1,450.00","1,462.35","1,911.00","1,489.60","2,794,547.70",60,-39.60,39.00,-2.66,2.69,-0.85,"1,794.98","1,718.05","2,101.20",830.00,11_09_2021
ALBSL,51.02,"1,471.00","1,489.00","1,450.00","1,450.00","1,462.35","1,911.00","1,489.60","2,794,547.70",60,-39.60,39.00,-2.66,2.69,-0.85,"1,794.98","1,718.05","2,101.20",830.00,11_10_2021
ALBSL,48.97,"1,421.00","1,449.40","1,400.00","1,425.00","1,422.68","1,487.00","1,450.00","2,115,531.20",50,-25.00,49.40,-1.72,3.53,0.16,"1,791.88","1,717.08","2,101.20",830.00,11_11_2021
ALBSL,46.54,"1,421.00","1,449.40","1,400.00","1,425.00","1,422.68","1,487.00","1,450.00","2,115,531.20",50,-25.00,49.40,-1.72,3.53,0.16,"1,791.88","1,717.08","2,101.20",830.00,11_12_2021
ALBSL,46.54,"1,421.00","1,449.40","1,400.00","1,425.00","1,422.68","1,487.00","1,450.00","2,115,531.20",50,-25.00,49.40,-1.72,3.53,0.16,"1,791.88","1,717.08","2,101.20",830.00,11_13_2021
ALBSL,44.49,"1,414.00","1,440.00","1,411.00","1,415.00","1,418.11",674.00,"1,425.00","955,804.00",26,-10.00,29.00,-0.70,2.06,-0.22,"1,788.18","1,716.27","2,101.20",830.00,11_14_2021
ALBSL,45.62,"1,440.00","1,460.00","1,417.00","1,460.00","1,437.13","1,048.00","1,415.00","1,506,110.00",40,45.00,43.00,3.18,3.03,1.57,"1,784.91","1,715.88","2,101.20",830.00,11_15_2021
ALBSL,49.99,"1,435.00","1,522.00","1,435.00","1,519.00","1,497.63","2,390.00","1,460.00","3,579,329.10",68,59.00,87.00,4.04,6.06,1.41,"1,782.27","1,716.07","2,101.20",830.00,11_16_2021
ALBSL,59.48,"1,547.00","1,547.00","1,475.10","1,480.00","1,494.89","1,023.00","1,519.00","1,529,273.10",31,-39.00,71.90,-2.57,4.87,-1.01,"1,779.10","1,716.24","2,101.20",830.00,11_17_2021
ALBSL,55.47,"1,460.00","1,495.00","1,452.00","1,460.00","1,466.34",593.00,"1,480.00","869,536.90",34,-20.00,43.00,-1.35,2.96,-0.43,"1,775.56","1,715.49","2,101.20",830.00,11_18_2021
ALBSL,54.37,"1,460.00","1,495.00","1,452.00","1,460.00","1,466.34",593.00,"1,480.00","869,536.90",34,-20.00,43.00,-1.35,2.96,-0.43,"1,775.56","1,715.49","2,101.20",830.00,11_19_2021
ALBSL,54.37,"1,460.00","1,495.00","1,452.00","1,460.00","1,466.34",593.00,"1,480.00","869,536.90",34,-20.00,43.00,-1.35,2.96,-0.43,"1,775.56","1,715.49","2,101.20",830.00,11_20_2021
