Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ALICL,47.18,"1,330.00","1,383.00","1,320.00","1,342.00","1,353.25","27,338.00","1,355.00","36,995,086.40",229,-13.00,63.00,-0.96,4.77,-0.84,"1,346.72","1,271.84","1,565.00",700.00,09_01_2021
ALICL,55.20,"1,300.00","1,314.00","1,285.00","1,285.00","1,300.29","21,008.00","1,300.00","27,316,436.00",137,-15.00,29.00,-1.15,2.26,-1.19,"1,341.75","1,321.99","1,565.00",734.00,11_03_2021
ALICL,51.49,"1,300.00","1,314.00","1,285.00","1,285.00","1,300.29","21,008.00","1,300.00","27,316,436.00",137,-15.00,29.00,-1.15,2.26,-1.19,"1,341.75","1,321.99","1,565.00",734.00,11_05_2021
ALICL,51.49,"1,300.00","1,314.00","1,285.00","1,285.00","1,300.29","21,008.00","1,300.00","27,316,436.00",137,-15.00,29.00,-1.15,2.26,-1.19,"1,341.75","1,321.99","1,565.00",734.00,11_06_2021
ALICL,51.49,"1,300.00","1,314.00","1,285.00","1,285.00","1,300.29","21,008.00","1,300.00","27,316,436.00",137,-15.00,29.00,-1.15,2.26,-1.19,"1,341.75","1,321.99","1,565.00",734.00,11_07_2021
ALICL,52.28,"1,310.70","1,350.00","1,310.70","1,313.00","1,332.60","53,732.00","1,285.00","71,603,328.10",298,28.00,39.30,2.18,3.00,-1.49,"1,342.17","1,322.23","1,565.00",736.00,11_08_2021
ALICL,62.32,"1,330.00","1,335.00","1,277.00","1,290.00","1,299.51","42,218.00","1,313.00","54,862,854.50",267,-23.00,58.00,-1.75,4.54,-0.74,"1,342.46","1,321.89","1,565.00",757.00,11_09_2021
ALICL,56.75,"1,330.00","1,335.00","1,277.00","1,290.00","1,299.51","42,218.00","1,313.00","54,862,854.50",267,-23.00,58.00,-1.75,4.54,-0.74,"1,342.46","1,321.89","1,565.00",757.00,11_10_2021
ALICL,54.70,"1,266.00","1,319.80","1,265.10","1,285.00","1,292.57","28,791.00","1,290.00","37,214,493.50",179,-5.00,54.70,-0.39,4.32,-0.59,"1,342.63","1,321.55","1,565.00",770.00,11_11_2021
ALICL,48.34,"1,266.00","1,319.80","1,265.10","1,285.00","1,292.57","28,791.00","1,290.00","37,214,493.50",179,-5.00,54.70,-0.39,4.32,-0.59,"1,342.63","1,321.55","1,565.00",770.00,11_12_2021
