Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BARUN,38.59,620.00,628.00,603.00,604.00,614.28,"42,751.00",617.00,"26,261,220.40",293,-13.00,25.00,-2.11,4.15,-1.70,434.31,361.61,763.40,98.00,09_01_2021
BARUN,69.89,529.00,540.00,512.10,520.00,524.76,"25,281.00",519.90,"13,266,456.70",191,0.10,27.90,0.02,5.45,-0.92,519.38,426.56,763.40,167.00,11_03_2021
BARUN,62.30,529.00,540.00,512.10,520.00,524.76,"25,281.00",519.90,"13,266,456.70",191,0.10,27.90,0.02,5.45,-0.92,519.38,426.56,763.40,167.00,11_05_2021
BARUN,62.30,529.00,540.00,512.10,520.00,524.76,"25,281.00",519.90,"13,266,456.70",191,0.10,27.90,0.02,5.45,-0.92,519.38,426.56,763.40,167.00,11_06_2021
BARUN,62.30,529.00,540.00,512.10,520.00,524.76,"25,281.00",519.90,"13,266,456.70",191,0.10,27.90,0.02,5.45,-0.92,519.38,426.56,763.40,167.00,11_07_2021
BARUN,63.08,530.40,537.00,507.00,508.00,516.70,"15,017.00",520.00,"7,759,310.00",116,-12.00,30.00,-2.31,5.92,-1.71,521.29,427.99,763.40,167.00,11_08_2021
BARUN,53.76,502.00,502.00,471.00,482.00,481.57,"34,040.00",508.00,"16,392,630.60",290,-26.00,31.00,-5.12,6.58,0.09,523.09,429.20,763.40,167.00,11_09_2021
BARUN,53.24,502.00,502.00,471.00,482.00,481.57,"34,040.00",508.00,"16,392,630.60",290,-26.00,31.00,-5.12,6.58,0.09,523.09,429.20,763.40,167.00,11_10_2021
BARUN,51.19,472.40,481.90,451.80,451.80,464.75,"27,617.00",482.00,"12,835,104.00",253,-30.20,30.10,-6.27,6.66,-2.87,524.57,430.30,763.40,167.00,11_11_2021
BARUN,49.52,472.40,481.90,451.80,451.80,464.75,"27,617.00",482.00,"12,835,104.00",253,-30.20,30.10,-6.27,6.66,-2.87,524.57,430.30,763.40,167.00,11_12_2021
BARUN,49.52,472.40,481.90,451.80,451.80,464.75,"27,617.00",482.00,"12,835,104.00",253,-30.20,30.10,-6.27,6.66,-2.87,524.57,430.30,763.40,167.00,11_13_2021
BARUN,47.47,460.80,481.00,445.00,461.00,463.57,"24,545.00",451.80,"11,378,404.90",196,9.20,36.00,2.04,8.09,-0.56,526.17,431.50,763.40,167.00,11_14_2021
BARUN,47.67,470.20,492.00,470.00,489.00,480.30,"19,874.00",461.00,"9,545,448.20",174,28.00,22.00,6.07,4.68,1.78,527.88,432.86,763.40,167.00,11_15_2021
BARUN,47.91,498.00,507.00,479.30,506.00,498.99,"15,159.00",489.00,"7,564,260.20",147,17.00,27.70,3.48,5.78,1.38,529.64,434.32,763.40,167.00,11_16_2021
BARUN,52.89,516.10,556.60,516.10,518.50,539.27,"104,722.00",506.00,"56,473,765.20",796,12.50,40.50,2.47,7.85,-4.01,531.26,435.76,763.40,167.00,11_17_2021
BARUN,66.24,520.00,550.20,505.60,508.00,520.73,"37,607.00",518.50,"19,583,128.80",351,-10.50,44.60,-2.03,8.82,-2.51,532.53,437.09,763.40,167.00,11_18_2021
BARUN,59.08,520.00,550.20,505.60,508.00,520.73,"37,607.00",518.50,"19,583,128.80",351,-10.50,44.60,-2.03,8.82,-2.51,532.53,437.09,763.40,167.00,11_19_2021
BARUN,59.08,520.00,550.20,505.60,508.00,520.73,"37,607.00",518.50,"19,583,128.80",351,-10.50,44.60,-2.03,8.82,-2.51,532.53,437.09,763.40,167.00,11_20_2021
BARUN,54.38,512.00,535.00,505.00,513.90,514.65,"20,607.00",508.00,"10,605,448.30",158,5.90,30.00,1.16,5.94,-0.15,533.70,438.53,763.40,167.00,11_21_2021
BARUN,50.14,520.00,529.00,510.00,514.00,517.28,"16,179.00",513.90,"8,369,143.40",144,0.10,19.00,0.02,3.73,-0.64,535.01,440.01,763.40,167.00,11_22_2021
BARUN,49.13,504.00,512.50,492.00,498.00,500.93,"35,120.00",514.00,"17,592,497.80",262,-16.00,20.50,-3.11,4.17,-0.59,536.11,441.43,763.40,167.00,11_23_2021
