Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BBC,48.47,"6,280.00","6,280.00","6,160.00","6,161.20","6,187.39",972.00,"6,170.00","6,014,147.00",39,-8.80,120.00,-0.14,1.95,-0.43,"5,369.31","4,357.75","8,208.00","1,571.00",09_01_2021
BBC,65.95,"5,590.00","5,700.00","5,445.00","5,445.00","5,532.72",460.00,"5,590.00","2,545,052.00",25,-145.00,255.00,-2.59,4.68,-1.61,"6,075.75","5,154.54","8,208.00","2,132.00",11_03_2021
BBC,48.34,"5,590.00","5,700.00","5,445.00","5,445.00","5,532.72",460.00,"5,590.00","2,545,052.00",25,-145.00,255.00,-2.59,4.68,-1.61,"6,075.75","5,154.54","8,208.00","2,132.00",11_05_2021
BBC,48.34,"5,590.00","5,700.00","5,445.00","5,445.00","5,532.72",460.00,"5,590.00","2,545,052.00",25,-145.00,255.00,-2.59,4.68,-1.61,"6,075.75","5,154.54","8,208.00","2,132.00",11_06_2021
BBC,48.34,"5,590.00","5,700.00","5,445.00","5,445.00","5,532.72",460.00,"5,590.00","2,545,052.00",25,-145.00,255.00,-2.59,4.68,-1.61,"6,075.75","5,154.54","8,208.00","2,132.00",11_07_2021
BBC,49.13,"5,425.00","5,547.00","5,425.00","5,500.00","5,523.07",205.00,"5,445.00","1,132,230.00",10,55.00,122.00,1.01,2.25,-0.42,"6,065.62","5,167.15","8,208.00","2,132.00",11_08_2021
BBC,48.28,"5,395.00","5,400.00","5,250.00","5,250.00","5,309.19",712.00,"5,500.00","3,780,141.00",42,-250.00,150.00,-4.55,2.86,-1.13,"6,059.00","5,178.17","8,208.00","2,230.00",11_09_2021
BBC,49.75,"5,395.00","5,400.00","5,250.00","5,250.00","5,309.19",712.00,"5,500.00","3,780,141.00",42,-250.00,150.00,-4.55,2.86,-1.13,"6,059.00","5,178.17","8,208.00","2,230.00",11_10_2021
BBC,47.70,"5,250.00","5,299.00","5,000.00","5,055.00","5,102.69","1,433.00","5,250.00","7,312,153.00",49,-195.00,299.00,-3.71,5.98,-0.94,"6,055.78","5,186.30","8,208.00","2,230.00",11_11_2021
BBC,50.16,"5,250.00","5,299.00","5,000.00","5,055.00","5,102.69","1,433.00","5,250.00","7,312,153.00",49,-195.00,299.00,-3.71,5.98,-0.94,"6,055.78","5,186.30","8,208.00","2,230.00",11_12_2021
BBC,50.16,"5,250.00","5,299.00","5,000.00","5,055.00","5,102.69","1,433.00","5,250.00","7,312,153.00",49,-195.00,299.00,-3.71,5.98,-0.94,"6,055.78","5,186.30","8,208.00","2,230.00",11_13_2021
BBC,48.11,"4,991.00","5,191.00","4,990.00","5,059.00","5,119.58",559.00,"5,055.00","2,861,848.00",27,4.00,201.00,0.08,4.03,-1.20,"6,057.13","5,192.46","8,208.00","2,400.00",11_14_2021
BBC,44.50,"5,160.10","5,350.00","5,160.10","5,276.00","5,286.22",328.00,"5,059.00","1,733,881.30",18,217.00,189.90,4.29,3.68,-0.19,"6,056.21","5,199.55","8,208.00","2,400.00",11_15_2021
BBC,43.15,"5,300.00","5,803.00","5,300.00","5,605.00","5,597.87","1,563.00","5,276.00","8,749,471.00",86,329.00,503.00,6.24,9.49,0.13,"6,053.55","5,210.69","8,208.00","2,400.00",11_16_2021
BBC,65.99,"5,717.00","5,717.00","5,552.00","5,557.00","5,628.64",685.00,"5,605.00","3,855,619.00",32,-48.00,165.00,-0.86,2.97,-1.29,"6,045.87","5,223.56","8,208.00","2,400.00",11_17_2021
BBC,62.02,"5,450.00","5,559.00","5,390.00","5,390.00","5,474.90",220.00,"5,557.00","1,204,478.50",17,-167.00,169.00,-3.01,3.14,-1.58,"6,037.79","5,236.19","8,208.00","2,400.00",11_18_2021
BBC,58.12,"5,450.00","5,559.00","5,390.00","5,390.00","5,474.90",220.00,"5,557.00","1,204,478.50",17,-167.00,169.00,-3.01,3.14,-1.58,"6,037.79","5,236.19","8,208.00","2,400.00",11_19_2021
BBC,58.12,"5,450.00","5,559.00","5,390.00","5,390.00","5,474.90",220.00,"5,557.00","1,204,478.50",17,-167.00,169.00,-3.01,3.14,-1.58,"6,037.79","5,236.19","8,208.00","2,400.00",11_20_2021
BBC,53.42,"5,396.00","5,503.00","5,306.00","5,311.00","5,372.84",357.00,"5,390.00","1,918,103.00",27,-79.00,197.00,-1.47,3.71,-1.16,"6,023.75","5,246.64","8,208.00","2,400.00",11_21_2021
BBC,44.99,"5,417.00","5,417.00","5,205.00","5,400.00","5,288.23",387.00,"5,311.00","2,046,546.00",26,89.00,212.00,1.68,4.07,2.07,"6,007.25","5,258.92","8,208.00","2,400.00",11_22_2021
BBC,40.66,"5,400.00","5,400.00","5,280.00","5,330.00","5,303.08",295.00,"5,400.00","1,564,410.00",19,-70.00,120.00,-1.30,2.27,0.50,"5,992.40","5,272.45","8,208.00","2,400.00",11_23_2021
