Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BEDC,-,202.80,223.00,202.80,223.00,222.54,"3,223.00",202.80,"717,242.30",331,20.20,20.20,9.96,9.96,0.21,0.00,0.00,223.00,202.80,06_08_2023
BEDC,38.77,202.80,223.00,202.80,223.00,222.54,"3,223.00",202.80,"717,242.30",331,20.20,20.20,9.96,9.96,0.21,0.00,0.00,223.00,202.80,06_09_2023
BEDC,38.77,202.80,223.00,202.80,223.00,222.54,"3,223.00",202.80,"717,242.30",331,20.20,20.20,9.96,9.96,0.21,0.00,0.00,223.00,202.80,06_10_2023
BEDC,-,227.40,245.30,227.40,245.30,244.83,"2,858.00",223.00,"699,718.80",288,22.30,17.90,10.00,7.87,0.19,0.00,0.00,245.30,202.80,06_11_2023
BEDC,-,250.20,269.80,250.20,269.80,269.74,"12,422.00",245.30,"3,350,734.60",802,24.50,19.60,9.99,7.83,0.02,0.00,0.00,269.80,202.80,06_12_2023
BEDC,-,275.10,296.70,254.60,296.70,277.61,"78,893.00",269.80,"21,901,591.20","5,090",26.90,42.10,9.97,16.54,6.43,0.00,0.00,296.70,202.80,06_13_2023
BEDC,-,302.60,326.30,279.30,319.00,315.37,"35,632.00",296.70,"11,237,285.00","2,742",22.30,47.00,7.52,16.83,1.14,0.00,0.00,326.30,202.80,06_14_2023
BEDC,-,320.00,320.00,300.10,300.30,305.52,"28,590.00",319.00,"8,734,924.00","2,217",-18.70,19.90,-5.86,6.63,-1.74,0.00,0.00,326.30,202.80,06_15_2023
BEDC,59.28,320.00,320.00,300.10,300.30,305.52,"28,590.00",319.00,"8,734,924.00","2,217",-18.70,19.90,-5.86,6.63,-1.74,0.00,0.00,326.30,202.80,06_16_2023
BEDC,59.28,320.00,320.00,300.10,300.30,305.52,"28,590.00",319.00,"8,734,924.00","2,217",-18.70,19.90,-5.86,6.63,-1.74,0.00,0.00,326.30,202.80,06_17_2023
BEDC,-,299.00,299.00,277.20,289.10,288.30,"49,791.00",300.30,"14,354,572.30","1,657",-11.20,21.80,-3.73,7.86,0.28,0.00,0.00,326.30,202.80,06_18_2023
BEDC,-,283.50,287.00,278.40,284.60,281.71,"17,866.00",289.10,"5,032,991.00",850,-4.50,8.60,-1.56,3.09,1.02,0.00,0.00,326.30,202.80,06_19_2023
BEDC,-,284.00,284.00,274.00,278.00,277.16,"13,448.00",284.60,"3,727,304.70",580,-6.60,10.00,-2.32,3.65,0.30,0.00,0.00,326.30,202.80,06_20_2023
BEDC,-,272.50,276.00,267.30,271.00,270.65,"14,784.00",278.00,"4,001,340.10",735,-7.00,8.70,-2.52,3.25,0.13,0.00,0.00,326.30,202.80,06_21_2023
BEDC,-,269.00,270.00,261.00,264.00,264.21,"9,747.00",271.00,"2,575,265.40",549,-7.00,9.00,-2.58,3.45,-0.08,0.00,0.00,326.30,202.80,06_22_2023
BEDC,40.55,269.00,270.00,261.00,264.00,264.21,"9,747.00",271.00,"2,575,265.40",549,-7.00,9.00,-2.58,3.45,-0.08,0.00,0.00,326.30,202.80,06_23_2023
BEDC,40.55,269.00,270.00,261.00,264.00,264.21,"9,747.00",271.00,"2,575,265.40",549,-7.00,9.00,-2.58,3.45,-0.08,0.00,0.00,326.30,202.80,06_24_2023
BEDC,-,258.80,270.40,252.10,270.00,258.27,"22,187.00",264.00,"5,730,320.70",785,6.00,18.30,2.27,7.26,4.34,0.00,0.00,326.30,202.80,06_25_2023
BEDC,-,265.00,280.00,260.00,269.00,264.71,"16,541.00",270.00,"4,378,570.30",564,-1.00,20.00,-0.37,7.69,1.59,0.00,0.00,326.30,202.80,06_26_2023
BEDC,-,274.20,274.20,255.10,268.00,264.41,"9,935.00",269.00,"2,626,895.00",480,-1.00,19.10,-0.37,7.49,1.34,0.00,0.00,326.30,202.80,06_27_2023
BEDC,-,263.00,273.00,256.10,263.00,261.35,"8,720.00",268.00,"2,278,987.50",413,-5.00,16.90,-1.87,6.60,0.63,0.00,0.00,326.30,202.80,06_28_2023
BEDC,39.82,263.00,273.00,256.10,263.00,261.35,"8,720.00",268.00,"2,278,987.50",413,-5.00,16.90,-1.87,6.60,0.63,0.00,0.00,326.30,202.80,06_29_2023
