Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BFC,56.97,600.00,609.00,575.00,577.00,588.56,"71,503.00",600.00,"42,084,121.60",649,-23.00,34.00,-3.83,5.91,-2.00,324.77,267.15,630.00,99.00,09_01_2021
BFC,55.78,580.00,580.00,563.00,564.00,570.61,"34,576.00",573.00,"19,729,409.80",313,-9.00,17.00,-1.57,3.02,-1.17,429.54,342.13,630.00,122.00,11_03_2021
BFC,54.01,580.00,580.00,563.00,564.00,570.61,"34,576.00",573.00,"19,729,409.80",313,-9.00,17.00,-1.57,3.02,-1.17,429.54,342.13,630.00,122.00,11_05_2021
BFC,54.01,580.00,580.00,563.00,564.00,570.61,"34,576.00",573.00,"19,729,409.80",313,-9.00,17.00,-1.57,3.02,-1.17,429.54,342.13,630.00,122.00,11_06_2021
BFC,54.01,580.00,580.00,563.00,564.00,570.61,"34,576.00",573.00,"19,729,409.80",313,-9.00,17.00,-1.57,3.02,-1.17,429.54,342.13,630.00,122.00,11_07_2021
BFC,54.80,575.20,579.90,566.10,567.00,572.23,"23,899.00",564.00,"13,675,699.80",245,3.00,13.80,0.53,2.44,-0.92,432.76,344.39,630.00,122.00,11_08_2021
BFC,55.80,567.00,570.00,537.00,540.00,547.67,"65,195.00",567.00,"35,705,552.50",577,-27.00,33.00,-4.76,6.15,-1.42,435.77,346.47,630.00,122.00,11_09_2021
BFC,55.86,567.00,570.00,537.00,540.00,547.67,"65,195.00",567.00,"35,705,552.50",577,-27.00,33.00,-4.76,6.15,-1.42,435.77,346.47,630.00,122.00,11_10_2021
BFC,53.81,535.00,540.00,509.00,516.00,519.95,"54,781.00",540.00,"28,483,427.50",527,-24.00,31.00,-4.44,6.09,-0.77,438.57,348.44,630.00,122.00,11_11_2021
BFC,49.51,535.00,540.00,509.00,516.00,519.95,"54,781.00",540.00,"28,483,427.50",527,-24.00,31.00,-4.44,6.09,-0.77,438.57,348.44,630.00,122.00,11_12_2021
BFC,49.51,535.00,540.00,509.00,516.00,519.95,"54,781.00",540.00,"28,483,427.50",527,-24.00,31.00,-4.44,6.09,-0.77,438.57,348.44,630.00,122.00,11_13_2021
BFC,47.46,516.00,533.00,497.00,523.00,515.49,"36,593.00",516.00,"18,863,504.80",360,7.00,36.00,1.36,7.24,1.44,441.44,350.44,630.00,122.00,11_14_2021
BFC,46.18,530.00,562.40,530.00,541.00,544.32,"34,793.00",523.00,"18,938,454.00",323,18.00,32.40,3.44,6.11,-0.61,444.38,352.54,630.00,122.00,11_15_2021
