Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BHDC,0.00,334.00,367.40,334.00,367.40,367.11,"13,720.00",334.00,"5,036,712.00","1,358",33.40,33.40,10.00,10.00,0.08,-,-,367.40,334.00,07_28_2022
BHDC,39.06,374.70,404.10,363.00,378.00,374.63,"55,635.00",367.40,"20,842,346.10","3,278",10.60,41.10,2.89,11.32,0.89,-,-,404.10,334.00,07_29_2022
BHDC,49.06,374.70,404.10,363.00,378.00,374.63,"55,635.00",367.40,"20,842,346.10","3,278",10.60,41.10,2.89,11.32,0.89,-,-,404.10,334.00,07_30_2022
BHDC,46.63,385.50,395.80,370.00,395.80,378.24,"22,370.00",378.00,"8,461,266.40","2,020",17.80,25.80,4.71,6.97,4.44,-,-,404.10,334.00,07_31_2022
BHDC,53.01,395.80,410.10,375.10,406.50,400.14,"21,390.00",395.80,"8,558,967.00","1,184",10.70,35.00,2.70,9.33,1.56,-,-,410.10,334.00,08_01_2022
BHDC,58.36,399.00,447.10,398.00,447.10,428.77,"41,189.00",406.50,"17,660,563.00","1,364",40.60,49.10,9.99,12.34,4.10,-,-,447.10,334.00,08_02_2022
BHDC,56.18,450.00,482.60,435.00,466.10,461.34,"30,777.00",447.10,"14,198,570.20",958,19.00,47.60,4.25,10.94,1.02,-,-,482.60,334.00,08_03_2022
BHDC,54.69,466.00,495.50,448.00,487.00,480.69,"33,555.00",466.10,"16,129,705.50",992,20.90,47.50,4.48,10.60,1.29,-,-,495.50,334.00,08_04_2022
BHDC,53.96,477.50,482.40,459.00,472.10,474.28,"26,010.00",487.00,"12,336,119.70",750,-14.90,23.40,-3.06,5.10,-0.46,-,-,495.50,334.00,08_05_2022
BHDC,48.63,477.50,482.40,459.00,472.10,474.28,"26,010.00",487.00,"12,336,119.70",750,-14.90,23.40,-3.06,5.10,-0.46,-,-,495.50,334.00,08_06_2022
BHDC,45.35,470.00,504.00,465.10,482.00,480.66,"27,273.00",472.10,"13,109,018.20","1,151",9.90,38.90,2.10,8.36,0.28,-,-,504.00,334.00,08_07_2022
