Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BHPL,0.00,194.30,213.70,194.30,213.70,210.99,370.00,0.00,"78,066.70",38,213.70,19.40,0.00,9.98,1.27,-,-,213.70,194.30,01_04_2023
BHPL,48.21,217.90,235.00,217.90,235.00,233.86,370.00,213.70,"86,528.00",37,21.30,17.10,9.97,7.85,0.49,-,-,235.00,194.30,01_05_2023
BHPL,58.24,217.90,235.00,217.90,235.00,233.86,370.00,213.70,"86,528.00",37,21.30,17.10,9.97,7.85,0.49,-,-,235.00,194.30,01_06_2023
BHPL,58.24,217.90,235.00,217.90,235.00,233.86,370.00,213.70,"86,528.00",37,21.30,17.10,9.97,7.85,0.49,-,-,235.00,194.30,01_07_2023
BHPL,59.44,239.70,258.50,239.70,258.50,257.42,430.00,235.00,"110,689.00",43,23.50,18.80,10.00,7.84,0.42,-,-,258.50,194.30,01_08_2023
BHPL,59.01,263.60,284.30,263.60,284.30,282.79,340.00,258.50,"96,150.00",34,25.80,20.70,9.98,7.85,0.53,-,-,284.30,194.30,01_09_2023
BHPL,59.37,289.90,312.70,289.90,312.70,312.21,"1,140.00",284.30,"355,915.00",114,28.40,22.80,9.99,7.86,0.16,-,-,312.70,194.30,01_10_2023
BHPL,61.75,289.90,312.70,289.90,312.70,312.21,"1,140.00",284.30,"355,915.00",114,28.40,22.80,9.99,7.86,0.16,-,-,312.70,194.30,01_11_2023
BHPL,61.77,318.90,343.90,318.90,343.90,343.69,"2,890.00",312.70,"993,256.00",289,31.20,25.00,9.98,7.84,0.06,-,-,343.90,194.30,01_12_2023
BHPL,63.01,318.90,343.90,318.90,343.90,343.69,"2,890.00",312.70,"993,256.00",289,31.20,25.00,9.98,7.84,0.06,-,-,343.90,194.30,01_13_2023
BHPL,63.01,318.90,343.90,318.90,343.90,343.69,"2,890.00",312.70,"993,256.00",289,31.20,25.00,9.98,7.84,0.06,-,-,343.90,194.30,01_14_2023
BHPL,63.01,318.90,343.90,318.90,343.90,343.69,"2,890.00",312.70,"993,256.00",289,31.20,25.00,9.98,7.84,0.06,-,-,343.90,194.30,01_15_2023
BHPL,63.01,318.90,343.90,318.90,343.90,343.69,"2,890.00",312.70,"993,256.00",289,31.20,25.00,9.98,7.84,0.06,0.00,0.00,343.90,194.30,01_16_2023
BHPL,62.09,350.70,378.20,350.70,378.20,377.67,"4,980.00",343.90,"1,880,773.00",438,34.30,27.50,9.97,7.84,0.14,0.00,0.00,378.20,194.30,01_17_2023
BHPL,61.22,385.70,416.00,385.70,416.00,415.32,"16,324.00",378.20,"6,779,761.00",912,37.80,30.30,9.99,7.86,0.16,0.00,0.00,416.00,194.30,01_18_2023
BHPL,60.21,424.30,439.60,401.20,419.10,417.22,"21,229.00",416.00,"8,857,146.30","1,818",3.10,38.40,0.75,9.57,0.45,0.00,0.00,439.60,194.30,01_19_2023
BHPL,57.78,424.30,439.60,401.20,419.10,417.22,"21,229.00",416.00,"8,857,146.30","1,818",3.10,38.40,0.75,9.57,0.45,0.00,0.00,439.60,194.30,01_20_2023
BHPL,57.78,424.30,439.60,401.20,419.10,417.22,"21,229.00",416.00,"8,857,146.30","1,818",3.10,38.40,0.75,9.57,0.45,0.00,0.00,439.60,194.30,01_21_2023
BHPL,57.78,424.30,439.60,401.20,419.10,417.22,"21,229.00",416.00,"8,857,146.30","1,818",3.10,38.40,0.75,9.57,0.45,0.00,0.00,439.60,194.30,01_22_2023
BHPL,55.95,410.80,420.00,405.00,412.00,412.18,"11,120.00",419.10,"4,583,428.00",796,-7.10,15.00,-1.69,3.70,-0.04,0.00,0.00,439.60,194.30,01_23_2023
BHPL,50.30,412.00,412.00,400.00,408.00,406.25,"6,710.00",412.00,"2,725,917.00",612,-4.00,12.00,-0.97,3.00,0.43,0.00,0.00,439.60,194.30,01_24_2023
BHPL,46.39,402.10,448.80,402.10,442.00,425.95,"13,179.00",408.00,"5,613,533.40",524,34.00,46.70,8.33,11.61,3.63,0.00,0.00,448.80,194.30,01_25_2023
BHPL,49.64,450.80,486.20,442.10,486.20,468.88,"10,923.00",442.00,"5,121,572.30",394,44.20,44.10,10.00,9.98,3.56,0.00,0.00,486.20,194.30,01_26_2023
BHPL,50.30,450.80,486.20,442.10,486.20,468.88,"10,923.00",442.00,"5,121,572.30",394,44.20,44.10,10.00,9.98,3.56,0.00,0.00,486.20,194.30,01_27_2023
BHPL,50.30,450.80,486.20,442.10,486.20,468.88,"10,923.00",442.00,"5,121,572.30",394,44.20,44.10,10.00,9.98,3.56,0.00,0.00,486.20,194.30,01_28_2023
BHPL,49.18,495.90,534.80,487.00,534.80,522.23,"21,198.00",486.20,"11,070,296.20",452,48.60,47.80,10.00,9.82,2.35,0.00,0.00,534.80,194.30,01_29_2023
BHPL,53.67,545.40,588.20,545.40,569.90,571.54,"38,326.00",534.80,"21,904,852.50",971,35.10,42.80,6.56,7.85,-0.29,0.00,0.00,588.20,194.30,01_30_2023
