Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BNHC,0.00,246.70,261.70,246.70,261.70,251.67,61.00,246.70,"15,351.90",8,15.00,15.00,6.08,6.08,3.83,-,-,261.70,246.70,01_18_2022
BNHC,58.91,266.90,287.80,266.90,287.80,277.29,51.00,261.70,"14,141.90",6,26.10,20.90,9.97,7.83,3.65,-,-,287.80,246.70,01_19_2022
BNHC,65.17,293.50,316.50,293.50,316.50,308.40,70.00,287.80,"21,588.00",7,28.70,23.00,9.97,7.84,2.56,-,-,316.50,246.70,01_20_2022
BNHC,67.65,293.50,316.50,293.50,316.50,308.40,70.00,287.80,"21,588.00",7,28.70,23.00,9.97,7.84,2.56,-,-,316.50,246.70,01_21_2022
BNHC,67.65,293.50,316.50,293.50,316.50,308.40,70.00,287.80,"21,588.00",7,28.70,23.00,9.97,7.84,2.56,-,-,316.50,246.70,01_22_2022
BNHC,69.47,322.00,348.10,322.00,348.10,343.05,130.00,316.50,"44,597.00",13,31.60,26.10,9.98,8.11,1.45,-,-,348.10,246.70,01_23_2022
BNHC,70.33,355.00,382.90,355.00,382.90,378.00,140.00,348.10,"52,920.00",14,34.80,27.90,10.00,7.86,1.28,-,-,382.90,246.70,01_24_2022
BNHC,69.20,390.50,421.10,390.50,421.10,420.97,"5,584.00",382.90,"2,350,671.40",39,38.20,30.60,9.98,7.84,0.03,-,-,421.10,246.70,01_25_2022
BNHC,68.12,425.00,463.20,425.00,463.20,461.92,820.00,421.10,"378,778.00",82,42.10,38.20,10.00,8.99,0.28,-,-,463.20,246.70,01_26_2022
BNHC,59.74,472.40,509.50,472.40,509.50,509.18,"2,810.00",463.20,"1,430,783.00",281,46.30,37.10,10.00,7.85,0.06,-,-,509.50,246.70,01_27_2022
BNHC,62.70,472.40,509.50,472.40,509.50,509.18,"2,810.00",463.20,"1,430,783.00",281,46.30,37.10,10.00,7.85,0.06,-,-,509.50,246.70,01_28_2022
BNHC,62.70,472.40,509.50,472.40,509.50,509.18,"2,810.00",463.20,"1,430,783.00",281,46.30,37.10,10.00,7.85,0.06,-,-,509.50,246.70,01_29_2022
BNHC,63.90,519.60,560.40,509.00,560.40,545.09,"33,715.00",509.50,"18,377,718.20","1,751",50.90,51.40,9.99,10.10,2.73,-,-,560.40,246.70,01_30_2022
BNHC,62.67,571.60,616.40,560.00,616.40,605.14,"29,721.00",560.40,"17,985,381.80","1,732",56.00,56.40,9.99,10.07,1.83,-,-,616.40,246.70,01_31_2022
BNHC,63.52,628.70,678.00,620.00,678.00,670.42,"8,999.00",616.40,"6,033,149.50",642,61.60,58.00,9.99,9.35,1.12,-,-,678.00,246.70,02_01_2022
BNHC,55.17,628.70,678.00,620.00,678.00,670.42,"8,999.00",616.40,"6,033,149.50",642,61.60,58.00,9.99,9.35,1.12,-,-,678.00,246.70,02_02_2022
BNHC,55.11,678.00,744.00,640.00,744.00,669.84,"46,157.00",678.00,"30,917,649.20","2,898",66.00,104.00,9.73,16.25,9.97,-,-,744.00,246.70,02_03_2022
BNHC,57.95,678.00,744.00,640.00,744.00,669.84,"46,157.00",678.00,"30,917,649.20","2,898",66.00,104.00,9.73,16.25,9.97,-,-,744.00,246.70,02_04_2022
BNHC,57.95,678.00,744.00,640.00,744.00,669.84,"46,157.00",678.00,"30,917,649.20","2,898",66.00,104.00,9.73,16.25,9.97,-,-,744.00,246.70,02_05_2022
BNHC,57.80,744.00,744.00,673.00,700.00,691.61,"24,660.00",744.00,"17,055,065.60","1,245",-44.00,71.00,-5.91,10.55,1.20,-,-,744.00,246.70,02_06_2022
BNHC,53.06,686.00,724.20,652.80,668.00,675.82,"29,925.00",700.00,"20,223,874.40","1,048",-32.00,71.40,-4.57,10.94,-1.17,-,-,744.00,246.70,02_07_2022
BNHC,51.31,681.30,734.80,665.00,734.80,681.51,"17,120.00",668.00,"11,667,494.90",571,66.80,69.80,10.00,10.50,7.25,-,-,744.00,246.70,02_08_2022
BNHC,50.30,734.00,734.00,675.30,686.00,684.00,"14,439.00",734.80,"9,876,242.00",351,-48.80,58.70,-6.64,8.69,0.29,-,-,744.00,246.70,02_09_2022
BNHC,49.46,686.00,690.00,650.00,665.00,667.90,"13,244.00",686.00,"8,845,661.70",362,-21.00,40.00,-3.06,6.15,-0.44,-,-,744.00,246.70,02_10_2022
BNHC,47.64,686.00,690.00,650.00,665.00,667.90,"13,244.00",686.00,"8,845,661.70",362,-21.00,40.00,-3.06,6.15,-0.44,-,-,744.00,246.70,02_11_2022
BNHC,47.64,686.00,690.00,650.00,665.00,667.90,"13,244.00",686.00,"8,845,661.70",362,-21.00,40.00,-3.06,6.15,-0.44,-,-,744.00,246.70,02_12_2022
BNHC,44.14,610.00,665.00,600.00,665.00,621.86,"7,814.00",615.00,"4,859,195.50",245,50.00,65.00,8.13,10.83,6.49,-,-,744.00,246.70,02_14_2022
