Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BNT,54.23,"10,580.00","10,580.00","10,491.00","10,491.00","10,501.53",170.00,"10,580.00","1,785,260.00",10,-89.00,89.00,-0.84,0.85,-0.10,"10,053.97","9,686.42","12,178.00","6,149.00",09_01_2021
BNT,64.20,"10,962.00","11,149.40","10,962.00","11,149.40","11,055.70",20.00,"11,118.00","221,114.00",2,31.40,187.40,0.28,1.71,0.84,"10,446.69","9,994.42","12,178.00","6,652.00",11_03_2021
BNT,59.48,"10,962.00","11,149.40","10,962.00","11,149.40","11,055.70",20.00,"11,118.00","221,114.00",2,31.40,187.40,0.28,1.71,0.84,"10,446.69","9,994.42","12,178.00","6,652.00",11_05_2021
BNT,59.48,"10,962.00","11,149.40","10,962.00","11,149.40","11,055.70",20.00,"11,118.00","221,114.00",2,31.40,187.40,0.28,1.71,0.84,"10,446.69","9,994.42","12,178.00","6,652.00",11_06_2021
BNT,59.48,"10,962.00","11,149.40","10,962.00","11,149.40","11,055.70",20.00,"11,118.00","221,114.00",2,31.40,187.40,0.28,1.71,0.84,"10,446.69","9,994.42","12,178.00","6,652.00",11_07_2021
BNT,60.27,"10,928.00","11,017.00","10,801.00","11,017.00","10,889.50",130.00,"11,149.40","1,415,635.00",9,-132.40,216.00,-1.19,2.00,1.16,"10,462.40","10,004.51","12,178.00","6,700.00",11_08_2021
BNT,51.34,"10,801.00","10,801.00","10,501.00","10,600.00","10,621.25",398.00,"11,017.00","4,227,259.00",24,-417.00,300.00,-3.79,2.86,-0.20,"10,474.07","10,012.22","12,178.00","7,000.00",11_09_2021
BNT,48.46,"10,801.00","10,801.00","10,501.00","10,600.00","10,621.25",398.00,"11,017.00","4,227,259.00",24,-417.00,300.00,-3.79,2.86,-0.20,"10,474.07","10,012.22","12,178.00","7,000.00",11_10_2021
BNT,46.41,"10,500.00","10,812.00","10,500.00","10,750.00","10,579.04",446.00,"10,600.00","4,718,251.00",25,150.00,312.00,1.42,2.97,1.59,"10,486.99","10,021.39","12,178.00","7,450.00",11_11_2021
BNT,48.04,"10,500.00","10,812.00","10,500.00","10,750.00","10,579.04",446.00,"10,600.00","4,718,251.00",25,150.00,312.00,1.42,2.97,1.59,"10,486.99","10,021.39","12,178.00","7,450.00",11_12_2021
BNT,48.04,"10,500.00","10,812.00","10,500.00","10,750.00","10,579.04",446.00,"10,600.00","4,718,251.00",25,150.00,312.00,1.42,2.97,1.59,"10,486.99","10,021.39","12,178.00","7,450.00",11_13_2021
BNT,45.99,"10,965.00","11,825.00","10,825.00","11,825.00","11,410.21",877.00,"10,750.00","10,006,750.00",49,"1,075.00","1,000.00",10.00,9.24,3.51,"10,510.35","10,035.41","12,178.00","7,832.00",11_14_2021
BNT,59.81,"12,061.00","13,007.50","11,821.00","13,007.50","12,688.03","2,122.00","11,825.00","26,923,991.50",108,"1,182.50","1,186.50",10.00,10.04,2.46,"10,542.50","10,054.34","13,007.50","7,832.00",11_15_2021
BNT,65.67,"13,267.60","14,308.20","13,267.60","14,051.00","14,156.61","1,461.00","13,007.50","20,682,800.00",84,"1,043.50","1,040.60",8.02,7.84,-0.75,"10,575.72","10,079.70","14,308.20","7,832.00",11_16_2021
BNT,65.31,"14,100.00","14,200.00","13,000.00","13,001.00","13,392.22",423.00,"14,051.00","5,664,910.00",28,"-1,050.00","1,200.00",-7.47,9.23,-3.01,"10,591.80","10,099.15","14,308.20","7,832.00",11_17_2021
BNT,59.38,"13,050.00","13,459.90","12,741.00","13,150.00","13,077.48",771.00,"13,001.00","10,082,739.90",48,149.00,718.90,1.15,5.64,0.55,"10,604.30","10,121.09","14,308.20","7,832.00",11_18_2021
BNT,55.22,"13,050.00","13,459.90","12,741.00","13,150.00","13,077.48",771.00,"13,001.00","10,082,739.90",48,149.00,718.90,1.15,5.64,0.55,"10,604.30","10,121.09","14,308.20","7,832.00",11_19_2021
BNT,55.22,"13,050.00","13,459.90","12,741.00","13,150.00","13,077.48",771.00,"13,001.00","10,082,739.90",48,149.00,718.90,1.15,5.64,0.55,"10,604.30","10,121.09","14,308.20","7,832.00",11_20_2021
BNT,50.52,"13,400.00","13,413.00","12,887.00","13,169.00","13,136.12",222.00,"13,150.00","2,916,218.00",19,19.00,526.00,0.14,4.08,0.25,"10,619.25","10,143.70","14,308.20","8,000.00",11_21_2021
BNT,44.45,"12,905.70","13,160.00","12,905.70","13,110.00","13,132.68",368.00,"13,169.00","4,832,827.00",13,-59.00,254.30,-0.45,1.97,-0.17,"10,634.57","10,166.09","14,308.20","8,000.00",11_22_2021
BNT,42.93,"12,851.00","13,108.00","12,851.00","13,000.00","13,003.39",180.00,"13,110.00","2,340,610.00",7,-110.00,257.00,-0.84,2.00,-0.03,"10,649.32","10,184.92","14,308.20","8,000.00",11_23_2021
