Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BOKD86,0.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",65.00,0.00,"65,000.00",3,"1,000.00",0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",02_06_2022
BOKD86,35.05,814.50,814.50,805.00,805.00,811.60,175.00,821.10,"142,030.00",6,-16.10,9.50,-1.96,1.18,-0.82,-,-,"1,000.00",805.00,07_05_2022
BOKD86,30.03,800.30,800.30,800.30,800.30,800.30,25.00,805.00,"20,007.50",1,-4.70,0.00,-0.58,0.00,0.00,-,-,"1,000.00",800.30,07_06_2022
BOKD86,27.68,800.10,832.00,800.00,821.00,821.64,240.00,800.30,"197,192.50",10,20.70,32.00,2.59,4.00,-0.08,-,-,"1,000.00",800.00,07_07_2022
BOKD86,39.86,814.00,854.10,814.00,837.10,834.06,135.00,821.00,"112,597.50",8,16.10,40.10,1.96,4.93,0.36,-,-,"1,000.00",800.00,07_11_2022
BOKD86,44.40,837.10,841.00,837.10,841.00,838.71,107.00,837.10,"89,742.20",4,3.90,3.90,0.47,0.47,0.27,-,-,"1,000.00",800.00,07_12_2022
BOKD86,44.28,825.00,825.00,825.00,825.00,825.00,25.00,841.00,"20,625.00",1,-16.00,0.00,-1.90,0.00,0.00,-,-,"1,000.00",800.00,07_13_2022
BOKD86,-,841.50,841.50,841.50,841.50,841.50,25.00,825.00,"21,037.50",1,16.50,0.00,2.00,0.00,0.00,-,-,"1,000.00",800.00,07_14_2022
BOKD86,38.77,824.70,824.70,805.00,805.00,815.43,95.00,841.50,"77,465.50",5,-36.50,19.70,-4.34,2.45,-1.30,-,-,"1,000.00",800.00,07_17_2022
BOKD86,36.80,795.00,795.00,795.00,795.00,795.00,47.00,805.00,"37,365.00",1,-10.00,0.00,-1.24,0.00,0.00,-,-,"1,000.00",795.00,07_18_2022
BOKD86,32.65,780.10,795.00,780.10,795.00,783.83,100.00,795.00,"78,382.50",5,0.00,14.90,0.00,1.91,1.41,-,-,"1,000.00",780.10,07_19_2022
BOKD86,38.34,780.00,780.00,765.00,765.00,774.38,40.00,795.00,"30,975.00",2,-30.00,15.00,-3.77,1.96,-1.23,-,-,"1,000.00",765.00,07_20_2022
BOKD86,33.59,780.00,780.00,780.00,780.00,780.00,100.00,765.00,"78,000.00",1,15.00,0.00,1.96,0.00,0.00,-,-,"1,000.00",765.00,07_21_2022
BOKD86,42.30,766.10,766.10,766.00,766.00,766.05,50.00,780.00,"38,302.50",2,-14.00,0.10,-1.79,0.01,-0.01,-,-,"1,000.00",765.00,07_22_2022
BOKD86,38.51,766.10,766.10,766.00,766.00,766.05,50.00,780.00,"38,302.50",2,-14.00,0.10,-1.79,0.01,-0.01,-,-,"1,000.00",765.00,07_23_2022
BOKD86,35.71,770.00,770.00,770.00,770.00,770.00,50.00,766.00,"38,500.00",2,4.00,0.00,0.52,0.00,0.00,-,-,"1,000.00",765.00,07_24_2022
BOKD86,37.81,785.00,785.00,772.00,772.00,775.71,35.00,770.00,"27,150.00",2,2.00,13.00,0.26,1.68,-0.48,-,-,"1,000.00",765.00,07_25_2022
