Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BOKL,46.13,377.00,379.00,368.00,375.00,374.42,"80,771.00",370.00,"30,242,393.30",602,5.00,11.00,1.35,2.99,0.15,351.89,330.81,433.20,229.00,09_01_2021
BOKL,49.47,339.00,344.70,339.00,343.00,342.42,"47,939.00",343.80,"16,415,080.90",273,-0.80,5.70,-0.23,1.68,0.17,366.64,346.82,433.20,236.00,11_03_2021
BOKL,47.54,339.00,344.70,339.00,343.00,342.42,"47,939.00",343.80,"16,415,080.90",273,-0.80,5.70,-0.23,1.68,0.17,366.64,346.82,433.20,236.00,11_05_2021
BOKL,47.54,339.00,344.70,339.00,343.00,342.42,"47,939.00",343.80,"16,415,080.90",273,-0.80,5.70,-0.23,1.68,0.17,366.64,346.82,433.20,236.00,11_06_2021
BOKL,47.54,339.00,344.70,339.00,343.00,342.42,"47,939.00",343.80,"16,415,080.90",273,-0.80,5.70,-0.23,1.68,0.17,366.64,346.82,433.20,236.00,11_07_2021
BOKL,48.32,349.00,349.80,338.00,338.00,340.99,"42,337.00",343.00,"14,436,409.90",234,-5.00,11.80,-1.46,3.49,-0.88,366.92,347.07,433.20,236.00,11_08_2021
BOKL,49.19,338.00,338.00,332.00,334.00,334.27,"46,748.00",338.00,"15,626,533.20",302,-4.00,6.00,-1.18,1.81,-0.08,367.08,347.28,433.20,236.00,11_09_2021
BOKL,46.93,338.00,338.00,332.00,334.00,334.27,"46,748.00",338.00,"15,626,533.20",302,-4.00,6.00,-1.18,1.81,-0.08,367.08,347.28,433.20,236.00,11_10_2021
BOKL,44.88,334.00,335.00,327.30,327.30,330.11,"56,707.00",334.00,"18,719,408.50",340,-6.70,7.70,-2.01,2.35,-0.86,367.19,347.35,433.20,236.00,11_11_2021
BOKL,45.67,334.00,335.00,327.30,327.30,330.11,"56,707.00",334.00,"18,719,408.50",340,-6.70,7.70,-2.01,2.35,-0.86,367.19,347.35,433.20,236.00,11_12_2021
BOKL,45.67,334.00,335.00,327.30,327.30,330.11,"56,707.00",334.00,"18,719,408.50",340,-6.70,7.70,-2.01,2.35,-0.86,367.19,347.35,433.20,236.00,11_13_2021
BOKL,43.62,326.00,331.00,320.00,331.00,325.83,"38,623.00",327.30,"12,584,546.60",233,3.70,11.00,1.13,3.44,1.56,367.34,347.46,433.20,236.00,11_14_2021
BOKL,42.49,337.50,343.00,327.00,331.00,329.25,"50,699.00",331.00,"16,692,679.70",225,0.00,16.00,0.00,4.89,0.53,367.50,347.56,433.20,236.00,11_15_2021
BOKL,47.98,332.00,338.00,325.00,338.00,334.65,"46,798.00",331.00,"15,660,853.20",325,7.00,13.00,2.11,4.00,0.99,367.72,347.67,433.20,236.00,11_16_2021
BOKL,60.03,342.00,342.00,338.00,340.00,340.47,"40,000.00",338.00,"13,618,811.70",285,2.00,4.00,0.59,1.18,-0.14,367.89,347.84,433.20,236.00,11_17_2021
BOKL,59.36,341.00,342.00,334.00,334.10,336.93,"34,388.00",340.00,"11,586,264.50",244,-5.90,8.00,-1.74,2.40,-0.85,367.97,347.97,433.20,236.00,11_18_2021
BOKL,59.08,341.00,342.00,334.00,334.10,336.93,"34,388.00",340.00,"11,586,264.50",244,-5.90,8.00,-1.74,2.40,-0.85,367.97,347.97,433.20,236.00,11_19_2021
BOKL,59.08,341.00,342.00,334.00,334.10,336.93,"34,388.00",340.00,"11,586,264.50",244,-5.90,8.00,-1.74,2.40,-0.85,367.97,347.97,433.20,236.00,11_20_2021
BOKL,54.38,334.10,339.00,333.00,338.00,337.02,"34,696.00",334.10,"11,693,162.90",259,3.90,6.00,1.17,1.80,0.29,368.08,348.09,433.20,236.00,11_21_2021
BOKL,48.72,338.00,341.70,338.00,339.70,339.53,"51,675.00",338.00,"17,545,093.50",260,1.70,3.70,0.50,1.09,0.05,368.16,348.20,433.20,236.00,11_22_2021
BOKL,48.29,342.50,342.50,335.00,337.00,336.69,"37,507.00",339.70,"12,628,394.80",209,-2.70,7.50,-0.79,2.24,0.09,368.04,348.26,433.20,236.00,11_23_2021
BOKL,42.88,340.00,340.00,330.00,336.50,335.24,"36,015.00",337.00,"12,073,815.30",238,-0.50,10.00,-0.15,3.03,0.37,367.90,348.33,433.20,236.00,11_24_2021
BOKL,48.66,338.00,345.00,336.00,341.00,339.49,"157,242.00",336.50,"53,381,636.90",867,4.50,9.00,1.34,2.68,0.44,367.85,348.48,433.20,236.00,11_25_2021
BOKL,58.37,338.00,345.00,336.00,341.00,339.49,"157,242.00",336.50,"53,381,636.90",867,4.50,9.00,1.34,2.68,0.44,367.85,348.48,433.20,236.00,11_26_2021
BOKL,58.37,338.00,345.00,336.00,341.00,339.49,"157,242.00",336.50,"53,381,636.90",867,4.50,9.00,1.34,2.68,0.44,367.85,348.48,433.20,236.00,11_27_2021
BOKL,55.47,305.00,305.00,294.00,295.00,296.71,"74,634.00",310.00,"22,144,743.20",538,-15.00,11.00,-4.84,3.74,-0.58,367.46,348.39,433.20,236.00,11_28_2021
BOKL,42.35,294.00,295.80,287.10,290.00,289.54,"28,744.00",295.00,"8,322,535.10",287,-5.00,8.70,-1.69,3.03,0.16,367.03,348.25,433.20,236.00,11_29_2021
BOKL,38.88,291.00,291.00,279.30,282.00,283.30,"28,457.00",290.00,"8,061,880.70",255,-8.00,11.70,-2.76,4.19,-0.46,366.47,348.12,433.20,236.00,11_30_2021
BOKL,38.23,285.00,285.00,278.60,279.00,279.89,"32,857.00",282.00,"9,196,447.10",270,-3.00,6.40,-1.06,2.30,-0.32,365.93,348.01,433.20,236.00,12_01_2021
