Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
BPW,0.00,233.10,237.70,233.10,237.70,233.57,30.00,0.00,"7,007.00",6,237.70,4.60,0.00,1.97,1.74,0.00,0.00,237.70,233.10,05_04_2023
BPW,36.40,233.10,237.70,233.10,237.70,233.57,30.00,0.00,"7,007.00",6,237.70,4.60,0.00,1.97,1.74,0.00,0.00,237.70,233.10,05_05_2023
BPW,36.40,233.10,237.70,233.10,237.70,233.57,30.00,0.00,"7,007.00",6,237.70,4.60,0.00,1.97,1.74,0.00,0.00,237.70,233.10,05_06_2023
BPW,36.40,237.70,237.70,237.70,237.70,234.24,25.00,237.70,"5,856.00",5,0.00,0.00,0.00,0.00,1.46,0.00,0.00,237.70,233.10,05_07_2023
BPW,33.58,242.40,247.20,242.40,247.20,244.80,20.00,237.70,"4,896.00",2,9.50,4.80,4.00,1.98,0.97,0.00,0.00,247.20,233.10,05_08_2023
BPW,41.40,247.20,247.20,247.20,247.20,249.70,5.00,247.20,"1,248.50",1,0.00,0.00,0.00,0.00,-1.01,0.00,0.00,247.20,233.10,05_09_2023
BPW,39.82,252.10,257.10,252.10,257.10,254.60,20.00,247.20,"5,092.00",2,9.90,5.00,4.00,1.98,0.97,0.00,0.00,257.10,233.10,05_10_2023
BPW,44.23,262.20,262.20,262.20,262.20,262.20,10.00,257.10,"2,622.00",1,5.10,0.00,1.98,0.00,0.00,0.00,0.00,262.20,233.10,05_14_2023
BPW,39.22,267.40,267.40,267.40,267.40,267.40,10.00,262.20,"2,674.00",1,5.20,0.00,1.98,0.00,0.00,0.00,0.00,267.40,233.10,05_15_2023
BPW,40.32,272.70,283.60,272.70,283.60,278.13,30.00,267.40,"8,344.00",3,16.20,10.90,6.06,4.00,1.93,0.00,0.00,283.60,233.10,05_17_2023
BPW,49.86,289.20,294.90,289.20,294.90,292.05,20.00,283.60,"5,841.00",2,11.30,5.70,3.98,1.97,0.97,0.00,0.00,294.90,233.10,05_21_2023
BPW,45.20,300.70,306.70,300.70,306.70,303.70,20.00,294.90,"6,074.00",2,11.80,6.00,4.00,2.00,0.98,0.00,0.00,306.70,233.10,05_22_2023
BPW,45.70,312.80,319.00,312.80,319.00,315.90,20.00,306.70,"6,318.00",2,12.30,6.20,4.01,1.98,0.97,0.00,0.00,319.00,233.10,05_23_2023
BPW,48.59,325.30,331.80,325.30,331.80,328.55,20.00,319.00,"6,571.00",2,12.80,6.50,4.01,2.00,0.98,0.00,0.00,331.80,233.10,05_24_2023
BPW,47.10,325.30,331.80,325.30,331.80,328.55,20.00,319.00,"6,571.00",2,12.80,6.50,4.01,2.00,0.98,0.00,0.00,331.80,233.10,05_25_2023
BPW,47.10,325.30,331.80,325.30,331.80,328.55,20.00,319.00,"6,571.00",2,12.80,6.50,4.01,2.00,0.98,0.00,0.00,331.80,233.10,05_26_2023
BPW,47.10,325.30,331.80,325.30,331.80,328.55,20.00,319.00,"6,571.00",2,12.80,6.50,4.01,2.00,0.98,0.00,0.00,331.80,233.10,05_27_2023
BPW,49.85,332.00,338.60,332.00,338.60,332.53,30.00,331.80,"9,976.00",4,6.80,6.60,2.05,1.99,1.79,0.00,0.00,338.60,233.10,05_28_2023
BPW,49.00,332.00,338.60,332.00,338.60,332.53,30.00,331.80,"9,976.00",4,6.80,6.60,2.05,1.99,1.79,0.00,0.00,338.60,233.10,05_29_2023
BPW,49.30,338.00,372.40,338.00,372.40,355.49,80.00,338.60,"28,439.00",10,33.80,34.40,9.98,10.18,4.54,0.00,0.00,372.40,233.10,05_30_2023
BPW,-,379.80,379.80,379.80,379.80,379.80,10.00,372.40,"3,798.00",1,7.40,0.00,1.99,0.00,0.00,0.00,0.00,379.80,233.10,05_31_2023
BPW,-,387.30,402.90,387.30,402.90,395.07,30.00,379.80,"11,852.00",3,23.10,15.60,6.08,4.03,1.94,0.00,0.00,402.90,233.10,06_01_2023
