Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CBBL,46.97,"1,836.00","1,871.00","1,789.00","1,794.00","1,797.59","45,398.00","1,800.00","81,607,217.00",676,-6.00,82.00,-0.33,4.58,-0.20,"1,759.75","1,654.43","2,065.20","1,062.00",09_01_2021
CBBL,54.56,"1,786.00","1,797.00","1,765.00","1,780.00","1,780.10","21,222.00","1,768.00","37,777,256.30",307,12.00,32.00,0.68,1.81,-0.01,"1,777.78","1,736.29","2,065.20","1,133.00",11_03_2021
CBBL,52.36,"1,786.00","1,797.00","1,765.00","1,780.00","1,780.10","21,222.00","1,768.00","37,777,256.30",307,12.00,32.00,0.68,1.81,-0.01,"1,777.78","1,736.29","2,065.20","1,133.00",11_05_2021
CBBL,52.36,"1,786.00","1,797.00","1,765.00","1,780.00","1,780.10","21,222.00","1,768.00","37,777,256.30",307,12.00,32.00,0.68,1.81,-0.01,"1,777.78","1,736.29","2,065.20","1,133.00",11_06_2021
CBBL,52.36,"1,786.00","1,797.00","1,765.00","1,780.00","1,780.10","21,222.00","1,768.00","37,777,256.30",307,12.00,32.00,0.68,1.81,-0.01,"1,777.78","1,736.29","2,065.20","1,133.00",11_07_2021
CBBL,53.15,"1,767.00","1,792.20","1,752.00","1,760.00","1,767.10","10,754.00","1,780.00","19,003,360.10",210,-20.00,40.20,-1.12,2.29,-0.40,"1,777.65","1,737.70","2,065.20","1,133.00",11_08_2021
CBBL,48.28,"1,755.00","1,755.00","1,711.00","1,718.00","1,725.49","23,902.00","1,760.00","41,242,663.80",363,-42.00,44.00,-2.39,2.57,-0.44,"1,777.33","1,738.05","2,065.20","1,133.00",11_09_2021
CBBL,46.78,"1,755.00","1,755.00","1,711.00","1,718.00","1,725.49","23,902.00","1,760.00","41,242,663.80",363,-42.00,44.00,-2.39,2.57,-0.44,"1,777.33","1,738.05","2,065.20","1,133.00",11_10_2021
CBBL,44.73,"1,700.00","1,715.00","1,680.00","1,684.00","1,690.59","14,651.00","1,718.00","24,768,885.40",350,-34.00,35.00,-1.98,2.08,-0.39,"1,776.61","1,738.35","2,065.20","1,133.00",11_11_2021
CBBL,41.98,"1,700.00","1,715.00","1,680.00","1,684.00","1,690.59","14,651.00","1,718.00","24,768,885.40",350,-34.00,35.00,-1.98,2.08,-0.39,"1,776.61","1,738.35","2,065.20","1,133.00",11_12_2021
CBBL,41.98,"1,700.00","1,715.00","1,680.00","1,684.00","1,690.59","14,651.00","1,718.00","24,768,885.40",350,-34.00,35.00,-1.98,2.08,-0.39,"1,776.61","1,738.35","2,065.20","1,133.00",11_13_2021
CBBL,39.93,"1,681.00","1,724.00","1,670.00","1,720.00","1,706.98","16,454.00","1,684.00","28,086,598.40",293,36.00,54.00,2.14,3.23,0.76,"1,776.08","1,739.18","2,065.20","1,133.00",11_14_2021
CBBL,41.55,"1,754.00","1,788.00","1,715.00","1,727.00","1,723.07","41,074.00","1,720.00","70,773,548.60",431,7.00,73.00,0.41,4.26,0.23,"1,775.64","1,740.17","2,065.20","1,133.00",11_15_2021
CBBL,48.10,"1,761.50","1,761.50","1,725.00","1,745.00","1,734.69","27,130.00","1,727.00","47,062,085.50",344,18.00,36.50,1.04,2.12,0.59,"1,775.34","1,741.30","2,065.20","1,133.00",11_16_2021
CBBL,60.95,"1,760.00","1,770.00","1,749.00","1,755.00","1,757.75","25,222.00","1,745.00","44,333,879.50",325,10.00,21.00,0.57,1.20,-0.16,"1,774.79","1,742.38","2,065.20","1,133.00",11_17_2021
CBBL,60.67,"1,790.10","1,850.00","1,720.00","1,761.00","1,771.78","97,600.00","1,755.00","172,925,777.10","1,463",6.00,130.00,0.34,7.56,-0.61,"1,774.23","1,742.63","2,065.20","1,133.00",11_18_2021
CBBL,64.79,"1,790.10","1,850.00","1,720.00","1,761.00","1,771.78","97,600.00","1,755.00","172,925,777.10","1,463",6.00,130.00,0.34,7.56,-0.61,"1,774.23","1,742.63","2,065.20","1,133.00",11_19_2021
CBBL,64.79,"1,790.10","1,850.00","1,720.00","1,761.00","1,771.78","97,600.00","1,755.00","172,925,777.10","1,463",6.00,130.00,0.34,7.56,-0.61,"1,774.23","1,742.63","2,065.20","1,133.00",11_20_2021
CBBL,60.09,"1,796.20","1,796.20","1,743.00","1,748.00","1,751.28","23,560.00","1,761.00","41,260,255.80",376,-13.00,53.20,-0.74,3.05,-0.19,"1,773.44","1,742.87","2,065.20","1,133.00",11_21_2021
CBBL,48.72,"1,760.00","1,760.00","1,728.00","1,730.00","1,741.82","19,181.00","1,748.00","33,409,834.80",307,-18.00,32.00,-1.03,1.85,-0.68,"1,772.66","1,743.07","2,065.20","1,133.00",11_22_2021
CBBL,41.51,"1,740.00","1,749.00","1,710.00","1,720.00","1,720.12","18,005.00","1,730.00","30,970,802.70",308,-10.00,39.00,-0.58,2.28,-0.01,"1,771.91","1,743.27","2,065.20","1,133.00",11_23_2021
CBBL,41.16,"1,705.00","1,721.00","1,690.00","1,712.00","1,701.56","13,621.00","1,720.00","23,176,882.80",278,-8.00,31.00,-0.47,1.83,0.61,"1,771.18","1,743.56","2,065.20","1,133.00",11_24_2021
