Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CBLPO,51.30,161.00,161.00,161.00,161.00,161.00,"16,544.00",161.00,"2,663,584.00",6,0.00,0.00,0.00,0.00,0.00,-,-,161.00,101.00,11_23_2021
CBLPO,50.70,161.00,161.00,161.00,161.00,161.00,"31,920.00",161.00,"5,139,120.00",4,0.00,0.00,0.00,0.00,0.00,-,-,161.00,101.00,01_03_2022
CBLPO,46.47,121.00,121.00,121.00,121.00,121.00,"62,767.00",123.00,"7,594,807.00",16,-2.00,0.00,-1.63,0.00,0.00,-,-,161.00,121.00,04_06_2022
CBLPO,27.16,121.00,121.00,121.00,121.00,121.00,"3,105.00",121.00,"375,705.00",1,0.00,0.00,0.00,0.00,0.00,-,-,161.00,121.00,05_09_2022
CBLPO,23.41,121.00,121.00,121.00,121.00,121.00,"5,023.00",121.00,"607,783.00",2,0.00,0.00,0.00,0.00,0.00,-,-,161.00,121.00,07_08_2022
CBLPO,23.18,121.00,121.00,121.00,121.00,121.00,"5,023.00",121.00,"607,783.00",2,0.00,0.00,0.00,0.00,0.00,-,-,161.00,121.00,07_09_2022
CBLPO,23.18,121.00,121.00,121.00,121.00,121.00,"5,023.00",121.00,"607,783.00",2,0.00,0.00,0.00,0.00,0.00,-,-,161.00,121.00,07_10_2022
CBLPO,25.19,130.00,130.00,130.00,130.00,130.00,"58,680.00",121.00,"7,628,400.00",19,9.00,0.00,7.44,0.00,0.00,-,-,161.00,121.00,01_02_2023
CBLPO,33.91,130.00,130.00,130.00,130.00,130.00,"25,108.00",130.00,"3,264,040.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,121.00,02_05_2023
CBLPO,36.40,130.00,130.00,130.00,130.00,130.00,"68,040.00",130.00,"8,845,200.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,121.00,02_15_2023
CBLPO,37.05,130.00,130.00,130.00,130.00,130.00,"6,277.00",130.00,"816,010.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,121.00,02_22_2023
