Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CCBD88,0.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",100.00,"1,000.00","100,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",07_27_2022
CCBD88,36.04,980.00,980.00,941.40,941.40,954.65,65.00,"1,000.00","62,052.00",3,-58.60,38.60,-5.86,4.10,-1.41,-,-,"1,000.00",941.40,09_22_2022
CCBD88,21.18,980.00,980.00,941.40,941.40,954.65,65.00,"1,000.00","62,052.00",3,-58.60,38.60,-5.86,4.10,-1.41,-,-,"1,000.00",941.40,09_23_2022
CCBD88,21.18,980.00,980.00,941.40,941.40,954.65,65.00,"1,000.00","62,052.00",3,-58.60,38.60,-5.86,4.10,-1.41,-,-,"1,000.00",941.40,09_24_2022
CCBD88,27.67,922.60,922.60,922.60,922.60,922.60,10.00,941.40,"9,226.00",1,-18.80,0.00,-2.00,0.00,0.00,-,-,"1,000.00",922.60,10_10_2022
CCBD88,17.80,904.20,904.20,851.30,851.30,876.31,105.00,922.60,"92,013.00",5,-71.30,52.90,-7.73,6.21,-2.94,-,-,"1,000.00",851.30,10_20_2022
CCBD88,30.24,904.20,904.20,851.30,851.30,876.31,105.00,922.60,"92,013.00",5,-71.30,52.90,-7.73,6.21,-2.94,-,-,"1,000.00",851.30,10_21_2022
CCBD88,30.24,904.20,904.20,851.30,851.30,876.31,105.00,922.60,"92,013.00",5,-71.30,52.90,-7.73,6.21,-2.94,-,-,"1,000.00",851.30,10_22_2022
CCBD88,30.24,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_23_2022
CCBD88,30.12,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_24_2022
CCBD88,30.12,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_25_2022
CCBD88,30.12,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_26_2022
CCBD88,30.12,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_27_2022
CCBD88,30.12,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_28_2022
CCBD88,30.12,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_29_2022
CCBD88,30.12,837.00,858.00,837.00,858.00,847.44,125.00,851.30,"105,930.00",5,6.70,21.00,0.79,2.51,1.23,-,-,"1,000.00",837.00,10_30_2022
CCBD88,30.26,850.00,850.00,850.00,850.00,850.00,15.00,858.00,"12,750.00",1,-8.00,0.00,-0.93,0.00,0.00,-,-,"1,000.00",837.00,10_31_2022
CCBD88,24.69,845.00,857.20,840.40,857.20,846.05,65.00,850.00,"54,993.00",3,7.20,16.80,0.85,2.00,1.30,-,-,"1,000.00",837.00,11_01_2022
CCBD88,33.19,858.00,858.00,843.20,843.20,851.18,45.00,857.20,"38,303.00",4,-14.00,14.80,-1.63,1.76,-0.95,-,-,"1,000.00",837.00,11_02_2022
CCBD88,41.76,860.00,870.00,843.20,870.00,849.02,125.00,843.20,"106,127.50",7,26.80,26.80,3.18,3.18,2.41,-,-,"1,000.00",837.00,11_03_2022
CCBD88,48.38,860.00,870.00,843.20,870.00,849.02,125.00,843.20,"106,127.50",7,26.80,26.80,3.18,3.18,2.41,-,-,"1,000.00",837.00,11_04_2022
CCBD88,48.38,860.00,870.00,843.20,870.00,849.02,125.00,843.20,"106,127.50",7,26.80,26.80,3.18,3.18,2.41,-,-,"1,000.00",837.00,11_05_2022
CCBD88,47.62,853.10,856.10,853.10,856.10,854.60,50.00,870.00,"42,730.00",2,-13.90,3.00,-1.60,0.35,0.18,-,-,"1,000.00",837.00,11_07_2022
CCBD88,43.59,856.10,873.20,856.10,856.60,859.16,60.00,856.10,"51,549.50",3,0.50,17.10,0.06,2.00,-0.30,-,-,"1,000.00",837.00,11_08_2022
