Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CGH,55.44,"1,475.00","1,517.00","1,466.00","1,511.00","1,495.71","13,649.00","1,479.00","20,414,970.00",259,32.00,51.00,2.16,3.48,1.01,"1,700.16",-,"2,800.00",159.00,09_01_2021
CGH,62.01,"1,690.00","1,690.00","1,625.00","1,625.10","1,641.97","9,205.00","1,664.00","15,114,307.60",211,-38.90,65.00,-2.34,4.00,-1.04,"1,565.44",-,"2,800.00",159.00,11_03_2021
CGH,59.65,"1,690.00","1,690.00","1,625.00","1,625.10","1,641.97","9,205.00","1,664.00","15,114,307.60",211,-38.90,65.00,-2.34,4.00,-1.04,"1,565.44",-,"2,800.00",159.00,11_05_2021
CGH,59.65,"1,690.00","1,690.00","1,625.00","1,625.10","1,641.97","9,205.00","1,664.00","15,114,307.60",211,-38.90,65.00,-2.34,4.00,-1.04,"1,565.44",-,"2,800.00",159.00,11_06_2021
CGH,59.65,"1,690.00","1,690.00","1,625.00","1,625.10","1,641.97","9,205.00","1,664.00","15,114,307.60",211,-38.90,65.00,-2.34,4.00,-1.04,"1,565.44",-,"2,800.00",159.00,11_07_2021
CGH,60.44,"1,595.00","1,643.00","1,589.00","1,592.10","1,604.80","4,895.00","1,625.10","7,855,476.50",144,-33.00,54.00,-2.03,3.40,-0.80,"1,563.11","1,487.24","2,800.00",159.00,11_08_2021
CGH,52.57,"1,571.10","1,583.00","1,530.80","1,535.20","1,555.16","9,510.00","1,592.10","14,789,562.10",202,-56.90,52.20,-3.57,3.41,-1.30,"1,560.66","1,494.86","2,800.00",159.00,11_09_2021
CGH,48.55,"1,571.10","1,583.00","1,530.80","1,535.20","1,555.16","9,510.00","1,592.10","14,789,562.10",202,-56.90,52.20,-3.57,3.41,-1.30,"1,560.66","1,494.86","2,800.00",159.00,11_10_2021
CGH,46.50,"1,515.00","1,537.00","1,475.00","1,488.00","1,502.30","3,533.00","1,535.20","5,307,620.10",150,-47.20,62.00,-3.07,4.20,-0.96,"1,557.68","1,502.16","2,800.00",159.00,11_11_2021
CGH,42.03,"1,515.00","1,537.00","1,475.00","1,488.00","1,502.30","3,533.00","1,535.20","5,307,620.10",150,-47.20,62.00,-3.07,4.20,-0.96,"1,557.68","1,502.16","2,800.00",159.00,11_12_2021
CGH,42.03,"1,515.00","1,537.00","1,475.00","1,488.00","1,502.30","3,533.00","1,535.20","5,307,620.10",150,-47.20,62.00,-3.07,4.20,-0.96,"1,557.68","1,502.16","2,800.00",159.00,11_13_2021
CGH,39.98,"1,488.00","1,539.00","1,461.00","1,524.00","1,501.96","3,572.00","1,488.00","5,364,985.20",138,36.00,78.00,2.42,5.34,1.45,"1,554.89","1,509.65","2,800.00",159.00,11_14_2021
CGH,40.26,"1,550.00","1,565.70","1,523.00","1,540.00","1,550.62","3,998.00","1,524.00","6,199,365.00",137,16.00,42.70,1.05,2.80,-0.69,"1,552.31","1,517.21","2,800.00",159.00,11_15_2021
CGH,43.07,"1,541.10","1,580.00","1,521.00","1,562.00","1,559.04","5,395.00","1,540.00","8,411,030.00",188,22.00,59.00,1.43,3.88,0.19,"1,550.16","1,524.85","2,800.00",159.00,11_16_2021
CGH,47.42,"1,562.00","1,638.00","1,550.00","1,602.00","1,610.99","13,446.00","1,562.00","21,661,357.00",282,40.00,88.00,2.56,5.68,-0.56,"1,548.19","1,532.67","2,800.00",159.00,11_17_2021
CGH,56.10,"1,570.00","1,610.00","1,555.00","1,574.00","1,577.14","4,520.00","1,602.00","7,128,685.00",149,-28.00,55.00,-1.75,3.54,-0.20,"1,546.10","1,540.30","2,800.00",159.00,11_18_2021
CGH,48.24,"1,570.00","1,610.00","1,555.00","1,574.00","1,577.14","4,520.00","1,602.00","7,128,685.00",149,-28.00,55.00,-1.75,3.54,-0.20,"1,546.10","1,540.30","2,800.00",159.00,11_19_2021
CGH,48.24,"1,570.00","1,610.00","1,555.00","1,574.00","1,577.14","4,520.00","1,602.00","7,128,685.00",149,-28.00,55.00,-1.75,3.54,-0.20,"1,546.10","1,540.30","2,800.00",159.00,11_20_2021
CGH,43.54,"1,605.00","1,605.40","1,549.00","1,549.00","1,572.88","3,824.00","1,574.00","6,014,686.00",127,-25.00,56.40,-1.59,3.64,-1.54,"1,543.30","1,547.69","2,800.00",159.00,11_21_2021
CGH,42.19,"1,547.00","1,702.00","1,533.00","1,700.00","1,651.47","30,319.00","1,549.00","50,070,957.00",668,151.00,169.00,9.75,11.02,2.85,"1,542.06","1,555.88","2,800.00",159.00,11_22_2021
CGH,54.74,"1,734.00","1,734.00","1,642.00","1,642.00","1,667.56","14,574.00","1,700.00","24,302,965.20",354,-58.00,92.00,-3.41,5.60,-1.56,"1,540.58","1,563.64","2,800.00",159.00,11_23_2021
CGH,50.28,"1,617.00","1,674.00","1,577.90","1,630.00","1,615.72","23,706.00","1,642.00","38,302,174.00",297,-12.00,96.10,-0.73,6.09,0.88,"1,538.79","1,571.20","2,800.00",159.00,11_24_2021
CGH,55.09,"1,600.00","1,632.00","1,468.10","1,581.00","1,527.53","58,392.00","1,630.00","89,195,775.70",577,-49.00,163.90,-3.01,11.16,3.38,"1,536.71","1,578.35","2,800.00",159.00,11_25_2021
CGH,55.58,"1,600.00","1,632.00","1,468.10","1,581.00","1,527.53","58,392.00","1,630.00","89,195,775.70",577,-49.00,163.90,-3.01,11.16,3.38,"1,536.71","1,578.35","2,800.00",159.00,11_26_2021
CGH,55.58,"1,600.00","1,632.00","1,468.10","1,581.00","1,527.53","58,392.00","1,630.00","89,195,775.70",577,-49.00,163.90,-3.01,11.16,3.38,"1,536.71","1,578.35","2,800.00",159.00,11_27_2021
CGH,52.68,"1,549.40","1,549.40","1,422.90","1,500.00","1,481.72","29,561.00","1,581.00","43,801,148.20",445,-81.00,126.50,-5.12,8.89,1.22,"1,534.07","1,584.95","2,800.00",159.00,11_28_2021
CGH,47.41,"1,475.00","1,487.00","1,390.00","1,422.00","1,434.67","20,381.00","1,500.00","29,239,955.50",419,-78.00,97.00,-5.20,6.98,-0.89,"1,530.96","1,590.94","2,800.00",159.00,11_29_2021
CGH,41.52,"1,450.00","1,450.00","1,390.00","1,425.00","1,403.69","7,380.00","1,422.00","10,359,254.20",167,3.00,60.00,0.21,4.32,1.50,"1,528.02","1,596.76","2,800.00",159.00,11_30_2021
CGH,38.36,"1,425.00","1,449.00","1,409.00","1,415.00","1,423.23","5,449.00","1,425.00","7,755,165.00",132,-10.00,40.00,-0.70,2.84,-0.58,"1,525.24","1,602.33","2,800.00",159.00,12_01_2021
CGH,38.35,"1,443.00","1,460.00","1,390.10","1,392.00","1,405.90","10,415.00","1,415.00","14,642,469.10",169,-23.00,69.90,-1.63,5.03,-1.00,"1,522.60","1,607.53","2,800.00",159.00,12_02_2021
CGH,41.16,"1,443.00","1,460.00","1,390.10","1,392.00","1,405.90","10,415.00","1,415.00","14,642,469.10",169,-23.00,69.90,-1.63,5.03,-1.00,"1,522.60","1,607.53","2,800.00",159.00,12_03_2021
CGH,41.16,"1,443.00","1,460.00","1,390.10","1,392.00","1,405.90","10,415.00","1,415.00","14,642,469.10",169,-23.00,69.90,-1.63,5.03,-1.00,"1,522.60","1,607.53","2,800.00",159.00,12_04_2021
CGH,40.26,"1,392.00","1,419.00","1,347.50","1,360.00","1,370.41","6,038.00","1,392.00","8,274,513.00",157,-32.00,71.50,-2.30,5.31,-0.77,"1,519.17","1,612.31","2,800.00",159.00,12_05_2021
CGH,40.66,"1,340.00","1,428.00","1,315.00","1,369.00","1,346.56","6,967.00","1,360.00","9,381,473.50",161,9.00,113.00,0.66,8.59,1.64,"1,515.12","1,616.86","2,800.00",159.00,12_06_2021
CGH,42.57,"1,396.30","1,411.00","1,325.00","1,350.00","1,367.64","4,869.00","1,369.00","6,659,054.00",143,-19.00,86.00,-1.39,6.49,-1.31,"1,510.89","1,621.00","2,800.00",159.00,12_07_2021
CGH,39.74,"1,324.00","1,371.00","1,315.00","1,320.30","1,327.32","3,657.00","1,350.00","4,854,020.00",115,-29.70,56.00,-2.20,4.26,-0.53,"1,506.71","1,624.64","2,800.00",159.00,12_08_2021
CGH,36.17,"1,310.00","1,346.70","1,306.30","1,335.00","1,325.18","3,504.00","1,320.30","4,643,433.60",92,14.70,40.40,1.11,3.09,0.74,"1,502.77","1,627.99","2,800.00",159.00,12_09_2021
CGH,38.60,"1,310.00","1,346.70","1,306.30","1,335.00","1,325.18","3,504.00","1,320.30","4,643,433.60",92,14.70,40.40,1.11,3.09,0.74,"1,502.77","1,627.99","2,800.00",159.00,12_10_2021
CGH,38.60,"1,310.00","1,346.70","1,306.30","1,335.00","1,325.18","3,504.00","1,320.30","4,643,433.60",92,14.70,40.40,1.11,3.09,0.74,"1,502.77","1,627.99","2,800.00",159.00,12_11_2021
CGH,37.95,"1,336.00","1,345.00","1,286.00","1,286.00","1,301.81","5,992.00","1,335.00","7,800,429.50",164,-49.00,59.00,-3.67,4.59,-1.23,"1,498.66","1,630.67","2,800.00",159.00,12_12_2021
CGH,35.09,"1,261.00","1,300.00","1,237.00","1,275.00","1,278.64","9,120.00","1,286.00","11,661,229.20",214,-11.00,63.00,-0.86,5.09,-0.29,"1,494.50","1,632.84","2,800.00",159.00,12_13_2021
