Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CHCL,45.77,668.00,668.00,648.00,650.00,654.77,"55,683.00",655.00,"36,459,799.60",547,-5.00,20.00,-0.76,3.09,-0.73,663.33,630.73,785.00,417.00,09_01_2021
CHCL,56.67,609.10,622.00,607.00,620.00,615.44,"66,704.00",609.00,"41,052,229.50",349,11.00,15.00,1.81,2.47,0.74,658.64,638.67,785.00,460.00,11_03_2021
CHCL,61.89,609.10,622.00,607.00,620.00,615.44,"66,704.00",609.00,"41,052,229.50",349,11.00,15.00,1.81,2.47,0.74,658.64,638.67,785.00,460.00,11_05_2021
CHCL,61.89,609.10,622.00,607.00,620.00,615.44,"66,704.00",609.00,"41,052,229.50",349,11.00,15.00,1.81,2.47,0.74,658.64,638.67,785.00,460.00,11_06_2021
CHCL,61.89,609.10,622.00,607.00,620.00,615.44,"66,704.00",609.00,"41,052,229.50",349,11.00,15.00,1.81,2.47,0.74,658.64,638.67,785.00,460.00,11_07_2021
CHCL,62.68,629.70,630.00,616.00,616.00,621.28,"34,840.00",620.00,"21,645,477.10",245,-4.00,14.00,-0.65,2.27,-0.86,658.48,638.82,785.00,460.00,11_08_2021
CHCL,54.89,615.00,615.00,597.00,606.00,603.18,"51,551.00",616.00,"31,094,580.00",302,-10.00,18.00,-1.62,3.02,0.47,658.27,638.73,785.00,460.00,11_09_2021
CHCL,53.34,615.00,615.00,597.00,606.00,603.18,"51,551.00",616.00,"31,094,580.00",302,-10.00,18.00,-1.62,3.02,0.47,658.27,638.73,785.00,460.00,11_10_2021
CHCL,51.29,594.20,605.00,593.00,593.00,596.19,"38,988.00",606.00,"23,244,269.20",293,-13.00,12.00,-2.15,2.02,-0.54,657.93,638.58,785.00,460.00,11_11_2021
CHCL,44.94,594.20,605.00,593.00,593.00,596.19,"38,988.00",606.00,"23,244,269.20",293,-13.00,12.00,-2.15,2.02,-0.54,657.93,638.58,785.00,460.00,11_12_2021
