Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CHDC,45.40,"1,200.00","1,247.00","1,190.00","1,206.00","1,219.19","41,831.00","1,224.00","51,000,053.80",921,-18.00,57.00,-1.47,4.79,-1.09,-,-,"1,415.00",416.00,09_01_2021
CHDC,68.83,962.00,975.00,935.00,942.00,951.26,"14,059.00",943.60,"13,373,756.20",234,-1.60,40.00,-0.17,4.28,-0.98,-,-,"1,415.00",416.00,11_03_2021
CHDC,52.49,962.00,975.00,935.00,942.00,951.26,"14,059.00",943.60,"13,373,756.20",234,-1.60,40.00,-0.17,4.28,-0.98,-,-,"1,415.00",416.00,11_05_2021
CHDC,52.49,962.00,975.00,935.00,942.00,951.26,"14,059.00",943.60,"13,373,756.20",234,-1.60,40.00,-0.17,4.28,-0.98,-,-,"1,415.00",416.00,11_06_2021
CHDC,52.49,962.00,975.00,935.00,942.00,951.26,"14,059.00",943.60,"13,373,756.20",234,-1.60,40.00,-0.17,4.28,-0.98,-,-,"1,415.00",416.00,11_07_2021
CHDC,53.28,935.00,960.00,925.00,935.00,940.70,"7,419.00",942.00,"6,979,087.90",192,-7.00,35.00,-0.74,3.78,-0.61,-,-,"1,415.00",416.00,11_08_2021
CHDC,49.77,937.00,937.00,863.10,875.40,893.46,"28,640.00",935.00,"25,588,817.00",412,-59.60,73.90,-6.37,8.56,-2.06,-,-,"1,415.00",416.00,11_09_2021
CHDC,52.72,937.00,937.00,863.10,875.40,893.46,"28,640.00",935.00,"25,588,817.00",412,-59.60,73.90,-6.37,8.56,-2.06,-,-,"1,415.00",416.00,11_10_2021
CHDC,50.67,857.90,889.00,843.00,850.00,858.88,"15,791.00",875.40,"13,562,511.00",266,-25.40,46.00,-2.90,5.46,-1.04,-,-,"1,415.00",416.00,11_11_2021
CHDC,38.67,857.90,889.00,843.00,850.00,858.88,"15,791.00",875.40,"13,562,511.00",266,-25.40,46.00,-2.90,5.46,-1.04,-,-,"1,415.00",416.00,11_12_2021
CHDC,38.67,857.90,889.00,843.00,850.00,858.88,"15,791.00",875.40,"13,562,511.00",266,-25.40,46.00,-2.90,5.46,-1.04,-,-,"1,415.00",416.00,11_13_2021
