Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CIT,48.49,"3,752.00","3,860.00","3,720.00","3,785.00","3,790.93","19,807.00","3,752.00","75,086,915.60",474,33.00,140.00,0.88,3.76,-0.16,"3,984.23","4,098.06","5,749.00","2,884.00",09_01_2021
CIT,52.58,"3,534.00","3,534.00","3,470.00","3,485.00","3,486.10","16,105.00","3,475.00","56,143,687.10",231,10.00,64.00,0.29,1.84,-0.03,"3,751.51","3,939.73","5,749.00","2,923.00",11_03_2021
CIT,59.45,"3,534.00","3,534.00","3,470.00","3,485.00","3,486.10","16,105.00","3,475.00","56,143,687.10",231,10.00,64.00,0.29,1.84,-0.03,"3,751.51","3,939.73","5,749.00","2,923.00",11_05_2021
CIT,59.45,"3,534.00","3,534.00","3,470.00","3,485.00","3,486.10","16,105.00","3,475.00","56,143,687.10",231,10.00,64.00,0.29,1.84,-0.03,"3,751.51","3,939.73","5,749.00","2,923.00",11_06_2021
CIT,59.45,"3,534.00","3,534.00","3,470.00","3,485.00","3,486.10","16,105.00","3,475.00","56,143,687.10",231,10.00,64.00,0.29,1.84,-0.03,"3,751.51","3,939.73","5,749.00","2,923.00",11_07_2021
CIT,60.23,"3,456.00","3,505.00","3,456.00","3,465.00","3,484.26","6,439.00","3,485.00","22,435,118.50",137,-20.00,49.00,-0.57,1.42,-0.56,"3,748.50","3,935.36","5,749.00","2,923.00",11_08_2021
CIT,50.91,"3,465.00","3,465.00","3,371.20","3,400.00","3,401.68","13,670.00","3,465.00","46,500,987.20",276,-65.00,93.80,-1.88,2.78,-0.05,"3,744.95","3,928.26","5,749.00","2,923.00",11_09_2021
CIT,49.42,"3,465.00","3,465.00","3,371.20","3,400.00","3,401.68","13,670.00","3,465.00","46,500,987.20",276,-65.00,93.80,-1.88,2.78,-0.05,"3,744.95","3,928.26","5,749.00","2,923.00",11_10_2021
CIT,47.37,"3,349.00","3,389.00","3,310.00","3,310.00","3,338.64","10,674.00","3,400.00","35,636,628.60",276,-90.00,79.00,-2.65,2.39,-0.87,"3,740.41","3,919.38","5,749.00","2,923.00",11_11_2021
CIT,45.61,"3,349.00","3,389.00","3,310.00","3,310.00","3,338.64","10,674.00","3,400.00","35,636,628.60",276,-90.00,79.00,-2.65,2.39,-0.87,"3,740.41","3,919.38","5,749.00","2,923.00",11_12_2021
CIT,45.61,"3,349.00","3,389.00","3,310.00","3,310.00","3,338.64","10,674.00","3,400.00","35,636,628.60",276,-90.00,79.00,-2.65,2.39,-0.87,"3,740.41","3,919.38","5,749.00","2,923.00",11_13_2021
