Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CITY,-,111.10,122.20,111.10,122.20,118.11,376.00,111.10,"44,410.10",67,11.10,11.10,9.99,9.99,3.35,0.00,0.00,122.20,111.10,06_11_2023
CITY,-,120.80,134.40,120.80,134.40,128.68,279.00,122.20,"35,902.70",58,12.20,13.60,9.98,11.26,4.25,0.00,0.00,134.40,111.10,06_12_2023
CITY,-,135.70,147.80,135.70,147.80,143.34,201.00,134.40,"28,811.20",40,13.40,12.10,9.97,8.92,3.02,0.00,0.00,147.80,111.10,06_13_2023
CITY,-,150.70,162.50,150.70,162.50,156.09,167.00,147.80,"26,066.50",28,14.70,11.80,9.95,7.83,3.95,0.00,0.00,162.50,111.10,06_14_2023
CITY,-,165.70,178.70,165.70,178.70,175.32,122.00,162.50,"21,388.80",15,16.20,13.00,9.97,7.85,1.89,0.00,0.00,178.70,111.10,06_15_2023
CITY,57.97,165.70,178.70,165.70,178.70,175.32,122.00,162.50,"21,388.80",15,16.20,13.00,9.97,7.85,1.89,0.00,0.00,178.70,111.10,06_16_2023
CITY,57.97,165.70,178.70,165.70,178.70,175.32,122.00,162.50,"21,388.80",15,16.20,13.00,9.97,7.85,1.89,0.00,0.00,178.70,111.10,06_17_2023
CITY,-,182.20,196.50,182.20,196.50,193.41,240.00,178.70,"46,418.80",27,17.80,14.30,9.96,7.85,1.57,0.00,0.00,196.50,111.10,06_18_2023
CITY,-,193.30,216.10,193.30,216.10,213.81,370.00,196.50,"79,108.80",38,19.60,22.80,9.97,11.80,1.06,0.00,0.00,216.10,111.10,06_19_2023
CITY,-,220.40,237.70,220.40,237.70,235.90,379.00,216.10,"89,407.70",48,21.60,17.30,10.00,7.85,0.76,0.00,0.00,237.70,111.10,06_20_2023
CITY,-,242.40,261.40,242.40,261.40,259.25,411.00,237.70,"106,550.30",45,23.70,19.00,9.97,7.84,0.82,0.00,0.00,261.40,111.10,06_21_2023
CITY,-,265.00,287.50,265.00,287.50,286.15,650.00,261.40,"185,994.80",67,26.10,22.50,9.98,8.49,0.47,0.00,0.00,287.50,111.10,06_22_2023
CITY,54.33,265.00,287.50,265.00,287.50,286.15,650.00,261.40,"185,994.80",67,26.10,22.50,9.98,8.49,0.47,0.00,0.00,287.50,111.10,06_23_2023
CITY,54.33,265.00,287.50,265.00,287.50,286.15,650.00,261.40,"185,994.80",67,26.10,22.50,9.98,8.49,0.47,0.00,0.00,287.50,111.10,06_24_2023
CITY,-,293.20,316.20,293.20,316.20,315.54,"1,379.00",287.50,"435,131.00",146,28.70,23.00,9.98,7.84,0.21,0.00,0.00,316.20,111.10,06_25_2023
CITY,-,315.00,347.80,315.00,347.80,346.93,"1,571.00",316.20,"545,021.40",164,31.60,32.80,9.99,10.41,0.25,0.00,0.00,347.80,111.10,06_26_2023
CITY,-,350.80,382.50,350.80,382.50,381.40,"1,170.00",347.80,"446,232.50",122,34.70,31.70,9.98,9.04,0.29,0.00,0.00,382.50,111.10,06_27_2023
CITY,-,390.10,420.70,390.10,420.70,420.29,"2,020.00",382.50,"848,981.20",204,38.20,30.60,9.99,7.84,0.10,0.00,0.00,420.70,111.10,06_28_2023
CITY,52.88,390.10,420.70,390.10,420.70,420.29,"2,020.00",382.50,"848,981.20",204,38.20,30.60,9.99,7.84,0.10,0.00,0.00,420.70,111.10,06_29_2023
