Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CLBSL,65.53,"1,540.10","1,570.00","1,534.00","1,535.00","1,550.02","3,240.00","1,560.00","5,022,050.00",62,-25.00,36.00,-1.60,2.35,-0.98,"1,420.10","1,266.87","1,811.00",670.00,09_01_2021
CLBSL,45.86,"1,273.00","1,274.00","1,221.00","1,226.00","1,242.60","7,043.00","1,248.70","8,751,640.50",130,-22.70,53.00,-1.82,4.34,-1.35,"1,476.71","1,369.29","1,811.00",692.00,11_03_2021
CLBSL,46.43,"1,273.00","1,274.00","1,221.00","1,226.00","1,242.60","7,043.00","1,248.70","8,751,640.50",130,-22.70,53.00,-1.82,4.34,-1.35,"1,476.71","1,369.29","1,811.00",692.00,11_05_2021
CLBSL,46.43,"1,273.00","1,274.00","1,221.00","1,226.00","1,242.60","7,043.00","1,248.70","8,751,640.50",130,-22.70,53.00,-1.82,4.34,-1.35,"1,476.71","1,369.29","1,811.00",692.00,11_06_2021
CLBSL,46.43,"1,273.00","1,274.00","1,221.00","1,226.00","1,242.60","7,043.00","1,248.70","8,751,640.50",130,-22.70,53.00,-1.82,4.34,-1.35,"1,476.71","1,369.29","1,811.00",692.00,11_07_2021
CLBSL,47.21,"1,250.50","1,250.50","1,168.00","1,191.00","1,197.53","7,197.00","1,226.00","8,618,618.00",120,-35.00,82.50,-2.85,7.06,-0.55,"1,475.38","1,369.58","1,811.00",692.00,11_08_2021
CLBSL,48.49,"1,190.00","1,205.00","1,145.00","1,152.00","1,165.96","4,293.00","1,191.00","5,005,446.00",90,-39.00,60.00,-3.27,5.24,-1.21,"1,473.85","1,369.02","1,811.00",692.00,11_09_2021
CLBSL,45.48,"1,190.00","1,205.00","1,145.00","1,152.00","1,165.96","4,293.00","1,191.00","5,005,446.00",90,-39.00,60.00,-3.27,5.24,-1.21,"1,473.85","1,369.02","1,811.00",692.00,11_10_2021
CLBSL,43.43,"1,135.00","1,155.00","1,129.00","1,138.00","1,134.67","3,490.00","1,152.00","3,960,007.00",57,-14.00,26.00,-1.22,2.30,0.29,"1,472.06","1,368.74","1,811.00",692.00,11_11_2021
CLBSL,46.20,"1,135.00","1,155.00","1,129.00","1,138.00","1,134.67","3,490.00","1,152.00","3,960,007.00",57,-14.00,26.00,-1.22,2.30,0.29,"1,472.06","1,368.74","1,811.00",692.00,11_12_2021
CLBSL,46.20,"1,135.00","1,155.00","1,129.00","1,138.00","1,134.67","3,490.00","1,152.00","3,960,007.00",57,-14.00,26.00,-1.22,2.30,0.29,"1,472.06","1,368.74","1,811.00",692.00,11_13_2021
CLBSL,44.15,"1,120.00","1,146.00","1,120.00","1,121.00","1,136.30","1,640.00","1,138.00","1,863,532.00",34,-17.00,26.00,-1.49,2.32,-1.36,"1,469.53","1,368.58","1,811.00",692.00,11_14_2021
CLBSL,43.88,"1,143.40","1,188.80","1,130.10","1,130.10","1,143.47","1,855.00","1,121.00","2,121,140.70",43,9.10,58.70,0.81,5.19,-1.18,"1,466.52","1,368.52","1,811.00",692.00,11_15_2021
CLBSL,46.46,"1,120.20","1,175.00","1,120.20","1,156.80","1,160.14","1,922.00","1,130.10","2,229,786.30",37,26.70,54.80,2.36,4.89,-0.29,"1,463.97","1,368.88","1,811.00",692.00,11_16_2021
