Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CMF2,50.21,15.30,15.71,15.25,15.54,15.49,"166,865.00",15.11,"2,585,242.15",56,0.43,0.46,2.85,3.02,0.30,12.81,11.90,16.87,9.00,09_01_2021
CMF2,40.91,10.10,10.26,10.10,10.26,10.26,"6,700.00",10.30,"68,726.00",6,-0.04,0.16,-0.39,1.58,0.02,12.79,12.12,16.87,9.00,11_03_2021
CMF2,54.81,10.10,10.26,10.10,10.26,10.26,"6,700.00",10.30,"68,726.00",6,-0.04,0.16,-0.39,1.58,0.02,12.79,12.12,16.87,9.00,11_05_2021
CMF2,54.81,10.10,10.26,10.10,10.26,10.26,"6,700.00",10.30,"68,726.00",6,-0.04,0.16,-0.39,1.58,0.02,12.79,12.12,16.87,9.00,11_06_2021
CMF2,54.81,10.10,10.26,10.10,10.26,10.26,"6,700.00",10.30,"68,726.00",6,-0.04,0.16,-0.39,1.58,0.02,12.79,12.12,16.87,9.00,11_07_2021
CMF2,55.59,10.07,10.46,10.07,10.46,10.22,"14,922.00",10.26,"152,499.04",9,0.20,0.39,1.95,3.87,2.30,12.78,12.12,16.87,9.00,11_08_2021
CMF2,64.01,10.26,10.26,10.00,10.00,10.11,"6,700.00",10.46,"67,716.00",6,-0.46,0.26,-4.40,2.60,-1.07,12.77,12.12,16.87,9.00,11_09_2021
CMF2,40.93,10.26,10.26,10.00,10.00,10.11,"6,700.00",10.46,"67,716.00",6,-0.46,0.26,-4.40,2.60,-1.07,12.77,12.12,16.87,9.00,11_10_2021
CMF2,38.88,10.00,10.20,9.92,9.92,9.98,"10,700.00",10.00,"106,746.00",14,-0.08,0.28,-0.80,2.82,-0.57,12.75,12.12,16.87,9.00,11_11_2021
CMF2,41.19,10.00,10.20,9.92,9.92,9.98,"10,700.00",10.00,"106,746.00",14,-0.08,0.28,-0.80,2.82,-0.57,12.75,12.12,16.87,9.00,11_12_2021
CMF2,41.19,10.00,10.20,9.92,9.92,9.98,"10,700.00",10.00,"106,746.00",14,-0.08,0.28,-0.80,2.82,-0.57,12.75,12.12,16.87,9.00,11_13_2021
CMF2,39.14,9.73,10.11,9.73,10.00,10.06,"10,282.00",9.92,"103,466.02",11,0.08,0.38,0.81,3.91,-0.63,12.74,12.12,16.87,9.00,11_14_2021
CMF2,43.08,10.00,10.00,9.90,9.98,9.94,"11,500.00",10.00,"114,313.96",7,-0.02,0.10,-0.20,1.01,0.40,12.73,12.12,16.87,9.00,11_15_2021
CMF2,40.32,10.00,10.10,10.00,10.10,10.09,"5,200.00",9.98,"52,490.00",9,0.12,0.10,1.20,1.00,0.06,12.72,12.12,16.87,9.00,11_16_2021
CMF2,52.79,9.91,10.10,9.91,10.10,10.07,"4,350.00",10.10,"43,797.50",8,0.00,0.19,0.00,1.92,0.31,12.71,12.12,16.87,9.00,11_17_2021
CMF2,53.20,10.01,10.15,10.01,10.15,10.12,"12,250.00",10.10,"123,942.50",12,0.05,0.14,0.50,1.40,0.32,12.70,12.12,16.87,9.00,11_18_2021
CMF2,51.89,10.01,10.15,10.01,10.15,10.12,"12,250.00",10.10,"123,942.50",12,0.05,0.14,0.50,1.40,0.32,12.70,12.12,16.87,9.00,11_19_2021
CMF2,51.89,10.01,10.15,10.01,10.15,10.12,"12,250.00",10.10,"123,942.50",12,0.05,0.14,0.50,1.40,0.32,12.70,12.12,16.87,9.00,11_20_2021
CMF2,47.19,9.99,10.18,9.99,10.18,10.10,"4,800.00",10.15,"48,496.15",6,0.03,0.19,0.30,1.90,0.75,12.69,12.12,16.87,9.00,11_21_2021
CMF2,43.55,10.00,10.11,10.00,10.10,10.06,"2,722.00",10.18,"27,394.42",7,-0.08,0.11,-0.79,1.10,0.36,12.67,12.12,16.87,9.00,11_22_2021
CMF2,38.96,9.99,10.09,9.98,9.98,9.99,"57,200.00",10.10,"571,458.00",14,-0.12,0.11,-1.19,1.10,-0.11,12.66,12.12,16.87,9.04,11_23_2021
CMF2,44.95,9.97,10.13,9.84,9.84,9.91,"3,000.00",9.98,"29,737.00",6,-0.14,0.29,-1.40,2.95,-0.74,12.65,12.11,16.87,9.04,11_24_2021
CMF2,39.07,9.91,10.00,9.90,10.00,9.98,"5,000.00",9.84,"49,880.00",8,0.16,0.10,1.63,1.01,0.24,12.63,12.11,16.87,9.04,11_25_2021
CMF2,39.85,9.91,10.00,9.90,10.00,9.98,"5,000.00",9.84,"49,880.00",8,0.16,0.10,1.63,1.01,0.24,12.63,12.11,16.87,9.04,11_26_2021
CMF2,39.85,9.91,10.00,9.90,10.00,9.98,"5,000.00",9.84,"49,880.00",8,0.16,0.10,1.63,1.01,0.24,12.63,12.11,16.87,9.04,11_27_2021
CMF2,36.95,9.90,9.90,9.66,9.80,9.79,"32,350.00",10.00,"316,652.00",17,-0.20,0.24,-2.00,2.48,0.12,12.62,12.10,16.87,9.04,11_28_2021
CMF2,48.18,9.99,10.00,9.99,10.00,10.00,"1,700.00",9.80,"16,998.00",4,0.20,0.01,2.04,0.10,0.01,12.60,12.10,16.87,9.04,11_29_2021
CMF2,50.86,9.99,9.99,9.81,9.81,9.83,"52,000.00",10.00,"510,990.00",11,-0.19,0.18,-1.90,1.83,-0.17,12.58,12.09,16.87,9.04,11_30_2021
CMF2,55.37,9.90,10.00,9.85,10.00,9.90,"5,578.00",9.81,"55,223.20",10,0.19,0.15,1.94,1.52,1.00,12.56,12.09,16.87,9.04,12_01_2021
CMF2,50.88,9.83,9.89,9.70,9.81,9.81,"14,871.00",10.00,"145,931.51",13,-0.19,0.19,-1.90,1.96,-0.03,12.54,12.09,16.87,9.04,12_02_2021
CMF2,52.70,9.83,9.89,9.70,9.81,9.81,"14,871.00",10.00,"145,931.51",13,-0.19,0.19,-1.90,1.96,-0.03,12.54,12.09,16.87,9.04,12_03_2021
CMF2,52.70,9.83,9.89,9.70,9.81,9.81,"14,871.00",10.00,"145,931.51",13,-0.19,0.19,-1.90,1.96,-0.03,12.54,12.09,16.87,9.04,12_04_2021
CMF2,51.80,9.65,9.84,9.63,9.84,9.66,"27,680.00",9.81,"267,451.50",15,0.03,0.21,0.31,2.18,1.81,12.52,12.08,16.87,9.04,12_05_2021
CMF2,46.78,9.70,9.70,9.65,9.68,9.66,"11,100.00",9.84,"107,188.00",9,-0.16,0.05,-1.63,0.52,0.24,12.50,12.08,16.87,9.04,12_06_2021
CMF2,45.52,9.72,10.13,9.72,10.13,10.00,"31,800.00",9.68,"317,869.00",7,0.45,0.41,4.65,4.22,1.32,12.48,12.07,16.87,9.04,12_07_2021
CMF2,56.88,9.93,9.93,9.74,9.76,9.84,"9,220.00",10.13,"90,727.25",13,-0.37,0.19,-3.65,1.95,-0.82,12.46,12.07,16.87,9.04,12_08_2021
CMF2,42.42,9.57,9.75,9.40,9.40,9.51,"15,200.00",9.76,"144,517.00",10,-0.36,0.35,-3.69,3.72,-1.15,12.42,12.06,16.87,9.04,12_09_2021
CMF2,34.17,9.57,9.75,9.40,9.40,9.51,"15,200.00",9.76,"144,517.00",10,-0.36,0.35,-3.69,3.72,-1.15,12.42,12.06,16.87,9.04,12_10_2021
CMF2,34.17,9.57,9.75,9.40,9.40,9.51,"15,200.00",9.76,"144,517.00",10,-0.36,0.35,-3.69,3.72,-1.15,12.42,12.06,16.87,9.04,12_11_2021
CMF2,33.52,9.41,9.57,9.40,9.41,9.43,"4,600.00",9.40,"43,366.00",7,0.01,0.17,0.11,1.81,-0.18,12.39,12.06,16.87,9.04,12_12_2021
CMF2,31.81,9.26,9.54,9.24,9.24,9.39,"17,228.00",9.41,"161,725.12",13,-0.17,0.30,-1.81,3.25,-1.59,12.35,12.05,16.87,9.04,12_13_2021
CMF2,33.34,9.40,9.40,9.40,9.40,9.40,900.00,9.24,"8,460.00",1,0.16,0.00,1.73,0.00,0.00,12.31,12.04,16.87,9.04,12_14_2021
CMF2,31.48,9.49,9.50,9.49,9.50,9.50,"1,800.00",9.40,"17,095.00",3,0.10,0.01,1.06,0.11,0.03,12.28,12.04,16.87,9.04,12_15_2021
CMF2,40.87,9.31,9.32,9.14,9.32,9.25,"6,000.00",9.50,"55,499.00",6,-0.18,0.18,-1.89,1.97,0.75,12.24,12.03,16.87,9.04,12_16_2021
CMF2,40.21,9.31,9.32,9.14,9.32,9.25,"6,000.00",9.50,"55,499.00",6,-0.18,0.18,-1.89,1.97,0.75,12.24,12.03,16.87,9.04,12_17_2021
CMF2,40.21,9.31,9.32,9.14,9.32,9.25,"6,000.00",9.50,"55,499.00",6,-0.18,0.18,-1.89,1.97,0.75,12.24,12.03,16.87,9.04,12_18_2021
CMF2,40.21,9.31,9.32,9.14,9.32,9.25,"6,000.00",9.50,"55,499.00",6,-0.18,0.18,-1.89,1.97,0.75,12.24,12.03,16.87,9.04,12_19_2021
