Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CORBL,55.92,"1,107.40","1,151.00","1,021.00","1,065.00","1,053.79","34,791.00","1,130.00","36,662,345.00",243,-65.00,130.00,-5.75,12.73,1.05,744.40,641.09,"1,155.00",120.00,09_01_2021
CORBL,61.86,865.00,867.00,835.00,846.80,853.13,"2,133.00",850.00,"1,819,727.60",31,-3.20,32.00,-0.38,3.83,-0.75,815.63,761.64,"1,155.00",193.00,11_03_2021
CORBL,52.57,865.00,867.00,835.00,846.80,853.13,"2,133.00",850.00,"1,819,727.60",31,-3.20,32.00,-0.38,3.83,-0.75,815.63,761.64,"1,155.00",193.00,11_05_2021
CORBL,52.57,865.00,867.00,835.00,846.80,853.13,"2,133.00",850.00,"1,819,727.60",31,-3.20,32.00,-0.38,3.83,-0.75,815.63,761.64,"1,155.00",193.00,11_06_2021
CORBL,52.57,865.00,867.00,835.00,846.80,853.13,"2,133.00",850.00,"1,819,727.60",31,-3.20,32.00,-0.38,3.83,-0.75,815.63,761.64,"1,155.00",193.00,11_07_2021
CORBL,53.35,832.00,880.90,832.00,840.00,851.04,680.00,846.80,"578,705.00",16,-6.80,48.90,-0.80,5.88,-1.31,817.25,763.28,"1,155.00",193.00,11_08_2021
CORBL,45.70,831.00,835.00,782.00,787.00,808.82,"5,960.00",840.00,"4,820,585.50",78,-53.00,53.00,-6.31,6.78,-2.77,818.17,764.66,"1,155.00",200.00,11_09_2021
CORBL,50.06,831.00,835.00,782.00,787.00,808.82,"5,960.00",840.00,"4,820,585.50",78,-53.00,53.00,-6.31,6.78,-2.77,818.17,764.66,"1,155.00",200.00,11_10_2021
CORBL,48.01,772.00,802.00,772.00,800.00,785.08,"2,242.00",787.00,"1,760,153.30",46,13.00,30.00,1.65,3.89,1.86,819.22,766.06,"1,155.00",200.00,11_11_2021
CORBL,44.06,772.00,802.00,772.00,800.00,785.08,"2,242.00",787.00,"1,760,153.30",46,13.00,30.00,1.65,3.89,1.86,819.22,766.06,"1,155.00",200.00,11_12_2021
CORBL,44.06,772.00,802.00,772.00,800.00,785.08,"2,242.00",787.00,"1,760,153.30",46,13.00,30.00,1.65,3.89,1.86,819.22,766.06,"1,155.00",200.00,11_13_2021
CORBL,42.01,816.00,816.00,800.00,803.70,806.53,724.00,800.00,"583,929.30",19,3.70,16.00,0.46,2.00,-0.35,820.34,767.46,"1,155.00",200.00,11_14_2021
CORBL,39.49,818.90,835.00,815.00,820.00,822.14,"1,404.00",803.70,"1,154,282.00",30,16.30,20.00,2.03,2.45,-0.26,821.58,768.93,"1,155.00",200.00,11_15_2021
CORBL,41.83,836.00,855.00,836.00,845.00,848.59,"2,259.00",820.00,"1,916,954.90",34,25.00,19.00,3.05,2.27,-0.42,823.06,770.58,"1,155.00",200.00,11_16_2021
CORBL,59.91,832.00,859.90,831.00,859.90,839.61,"5,227.00",845.00,"4,388,619.60",45,14.90,28.90,1.76,3.48,2.36,824.60,772.08,"1,155.00",200.00,11_17_2021
CORBL,62.87,842.80,888.00,829.00,850.00,862.80,"6,279.00",859.90,"5,417,503.40",66,-9.90,59.00,-1.15,7.12,-1.51,825.50,773.48,"1,155.00",200.00,11_18_2021
CORBL,60.24,842.80,888.00,829.00,850.00,862.80,"6,279.00",859.90,"5,417,503.40",66,-9.90,59.00,-1.15,7.12,-1.51,825.50,773.48,"1,155.00",200.00,11_19_2021
CORBL,60.24,842.80,888.00,829.00,850.00,862.80,"6,279.00",859.90,"5,417,503.40",66,-9.90,59.00,-1.15,7.12,-1.51,825.50,773.48,"1,155.00",200.00,11_20_2021
CORBL,55.54,867.00,934.00,867.00,918.00,911.60,"9,826.00",850.00,"8,957,353.00",191,68.00,67.00,8.00,7.73,0.70,826.88,774.93,"1,155.00",200.00,11_21_2021
CORBL,59.77,936.30,936.30,877.10,884.00,904.46,"7,509.00",918.00,"6,791,604.10",91,-34.00,59.20,-3.70,6.75,-2.31,828.23,775.83,"1,155.00",200.00,11_22_2021
CORBL,55.96,899.90,912.00,866.50,885.00,896.02,"5,235.00",884.00,"4,690,643.50",47,1.00,45.50,0.11,5.25,-1.24,829.57,776.50,"1,155.00",200.00,11_23_2021
CORBL,51.07,885.00,902.00,868.00,896.00,875.58,"5,126.00",885.00,"4,488,211.00",58,11.00,34.00,1.24,3.92,2.28,830.85,777.26,"1,155.00",200.00,11_24_2021
CORBL,54.64,878.20,928.30,878.20,928.30,913.97,"6,799.00",896.00,"6,214,079.30",102,32.30,50.10,3.60,5.70,1.54,832.34,778.36,"1,155.00",200.00,11_25_2021
