Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CYCL,0.00,382.20,382.20,382.20,382.20,380.80,60.00,382.20,"22,848.10",11,0.00,0.00,0.00,0.00,0.37,-,-,382.20,382.20,06_13_2022
CYCL,33.82,389.80,420.40,389.80,420.40,401.80,60.00,382.20,"24,108.00",7,38.20,30.60,9.99,7.85,4.42,-,-,420.40,382.20,06_15_2022
CYCL,49.60,428.80,437.30,428.80,437.30,433.05,20.00,420.40,"8,661.00",2,16.90,8.50,4.02,1.98,0.97,-,-,437.30,382.20,06_17_2022
CYCL,44.61,428.80,437.30,428.80,437.30,433.05,20.00,420.40,"8,661.00",2,16.90,8.50,4.02,1.98,0.97,-,-,437.30,382.20,06_18_2022
CYCL,44.11,446.00,454.90,446.00,454.90,450.14,30.00,437.30,"13,504.20",4,17.60,8.90,4.02,2.00,1.05,-,-,454.90,382.20,06_19_2022
CYCL,40.92,463.90,500.30,463.90,500.30,487.50,70.00,454.90,"34,125.00",7,45.40,36.40,9.98,7.85,2.56,-,-,500.30,382.20,06_20_2022
CYCL,45.12,510.30,550.30,510.30,550.30,526.03,60.00,500.30,"31,562.00",7,50.00,40.00,9.99,7.84,4.41,-,-,550.30,382.20,06_21_2022
CYCL,42.10,561.30,605.30,561.30,605.30,583.70,50.00,550.30,"29,185.00",5,55.00,44.00,9.99,7.84,3.57,-,-,605.30,382.20,06_23_2022
CYCL,45.72,"1,431.60","1,543.90","1,431.60","1,543.90","1,523.41",144.00,"1,403.60","219,370.50",16,140.30,112.30,10.00,7.84,1.33,-,-,"1,543.90",382.20,07_05_2022
CYCL,40.41,"1,574.70","1,698.20","1,574.70","1,698.20","1,670.08",134.00,"1,543.90","223,790.20",14,154.30,123.50,9.99,7.84,1.66,-,-,"1,698.20",382.20,07_06_2022
CYCL,41.16,"1,732.10","1,868.00","1,732.10","1,868.00","1,852.45","1,150.00","1,698.20","2,130,313.20",118,169.80,135.90,10.00,7.85,0.83,-,-,"1,868.00",382.20,12_11_2022
CYCL,43.09,"1,905.00","2,054.80","1,905.00","2,054.80","2,052.07","1,489.00","1,868.00","3,055,538.30",89,186.80,149.80,10.00,7.86,0.13,-,-,"2,054.80",382.20,12_12_2022
CYCL,43.09,"2,014.10","2,260.20","2,014.10","2,260.20","2,255.97","2,019.00","2,054.80","4,554,799.80",123,205.40,246.10,10.00,12.22,0.19,-,-,"2,260.20",382.20,12_13_2022
CYCL,42.72,"2,305.40","2,486.20","2,305.40","2,486.20","2,480.37",760.00,"2,260.20","1,885,082.00",76,226.00,180.80,10.00,7.84,0.23,-,-,"2,486.20",382.20,12_14_2022
CYCL,35.44,"2,535.90","2,734.80","2,341.00","2,405.00","2,471.39","25,894.00","2,486.20","63,994,164.70","2,187",-81.20,393.80,-3.27,16.82,-2.76,-,-,"2,734.80",382.20,12_15_2022
CYCL,39.24,"2,535.90","2,734.80","2,341.00","2,405.00","2,471.39","25,894.00","2,486.20","63,994,164.70","2,187",-81.20,393.80,-3.27,16.82,-2.76,-,-,"2,734.80",382.20,12_16_2022
CYCL,39.24,"2,535.90","2,734.80","2,341.00","2,405.00","2,471.39","25,894.00","2,486.20","63,994,164.70","2,187",-81.20,393.80,-3.27,16.82,-2.76,-,-,"2,734.80",382.20,12_17_2022
CYCL,39.01,"2,405.00","2,405.00","2,335.10","2,341.00","2,363.93","13,170.00","2,405.00","31,132,998.00","1,144",-64.00,69.90,-2.66,2.99,-0.98,-,-,"2,734.80",382.20,12_18_2022
CYCL,38.51,"2,341.00","2,520.00","2,318.00","2,481.00","2,378.61","5,360.00","2,341.00","12,749,348.50",455,140.00,202.00,5.98,8.71,4.13,-,-,"2,734.80",382.20,12_19_2022
CYCL,34.11,"2,499.00","2,723.00","2,470.00","2,670.00","2,584.45","8,826.00","2,481.00","22,810,319.00",482,189.00,253.00,7.62,10.24,3.20,-,-,"2,734.80",382.20,12_20_2022
CYCL,36.29,"2,700.00","2,710.00","2,617.00","2,648.00","2,660.98","8,055.00","2,670.00","21,434,185.50",416,-22.00,93.00,-0.82,3.55,-0.49,-,-,"2,734.80",382.20,12_21_2022
CYCL,34.14,"2,680.00","2,680.00","2,518.00","2,593.00","2,564.40","5,725.00","2,648.00","14,681,211.00",341,-55.00,162.00,-2.08,6.43,1.10,-,-,"2,734.80",382.20,12_22_2022
CYCL,33.78,"2,680.00","2,680.00","2,518.00","2,593.00","2,564.40","5,725.00","2,648.00","14,681,211.00",341,-55.00,162.00,-2.08,6.43,1.10,-,-,"2,734.80",382.20,12_23_2022
CYCL,33.78,"2,680.00","2,680.00","2,518.00","2,593.00","2,564.40","5,725.00","2,648.00","14,681,211.00",341,-55.00,162.00,-2.08,6.43,1.10,-,-,"2,734.80",382.20,12_24_2022
CYCL,33.78,"2,680.00","2,680.00","2,518.00","2,593.00","2,564.40","5,725.00","2,648.00","14,681,211.00",341,-55.00,162.00,-2.08,6.43,1.10,-,-,"2,734.80",382.20,12_25_2022
CYCL,33.61,"2,644.00","2,644.00","2,420.00","2,472.00","2,458.61","11,147.00","2,593.00","27,406,162.20",547,-121.00,224.00,-4.67,9.26,0.54,-,-,"2,734.80",382.20,12_26_2022
CYCL,38.97,"2,480.00","2,500.00","2,423.00","2,426.00","2,441.30","7,093.00","2,472.00","17,316,143.00",388,-46.00,77.00,-1.86,3.18,-0.63,-,-,"2,734.80",382.20,12_27_2022
CYCL,39.16,"2,380.00","2,455.00","2,380.00","2,427.00","2,428.69","3,648.00","2,426.00","8,859,870.70",216,1.00,75.00,0.04,3.15,-0.07,-,-,"2,734.80",382.20,12_28_2022
CYCL,36.53,"2,400.00","2,447.00","2,400.00","2,440.00","2,432.21","2,489.00","2,427.00","6,053,777.50",174,13.00,47.00,0.54,1.96,0.32,-,-,"2,734.80",382.20,12_29_2022
CYCL,35.74,"2,400.00","2,447.00","2,400.00","2,440.00","2,432.21","2,489.00","2,427.00","6,053,777.50",174,13.00,47.00,0.54,1.96,0.32,-,-,"2,734.80",382.20,12_30_2022
CYCL,35.74,"2,400.00","2,447.00","2,400.00","2,440.00","2,432.21","2,489.00","2,427.00","6,053,777.50",174,13.00,47.00,0.54,1.96,0.32,-,-,"2,734.80",382.20,12_31_2022
CYCL,36.91,"2,480.00","2,480.00","2,392.00","2,450.00","2,451.37","5,342.00","2,440.00","13,095,199.80",249,10.00,88.00,0.41,3.68,-0.06,-,-,"2,734.80",382.20,01_01_2023
CYCL,38.80,"2,460.00","2,525.50","2,450.10","2,508.00","2,499.04","9,223.00","2,450.00","23,048,685.10",535,58.00,75.40,2.37,3.08,0.36,-,-,"2,734.80",382.20,01_02_2023
CYCL,43.70,"1,967.80","2,087.00","1,967.80","2,000.00","2,013.16","8,107.00","1,929.23","16,320,654.20",323,70.77,119.20,3.67,6.06,-0.66,-,-,"2,734.80",382.20,01_03_2023
CYCL,41.61,"2,040.00","2,040.00","1,977.00","2,020.00","2,003.15","3,375.00","2,000.00","6,760,634.70",161,20.00,63.00,1.00,3.19,0.83,-,-,"2,734.80",382.20,01_04_2023
CYCL,37.45,"2,050.00","2,144.00","2,021.00","2,106.10","2,071.27","3,939.00","2,020.00","8,158,720.70",173,86.10,123.00,4.26,6.09,1.65,-,-,"2,734.80",382.20,01_05_2023
CYCL,39.62,"2,050.00","2,144.00","2,021.00","2,106.10","2,071.27","3,939.00","2,020.00","8,158,720.70",173,86.10,123.00,4.26,6.09,1.65,-,-,"2,734.80",382.20,01_06_2023
CYCL,39.62,"2,050.00","2,144.00","2,021.00","2,106.10","2,071.27","3,939.00","2,020.00","8,158,720.70",173,86.10,123.00,4.26,6.09,1.65,-,-,"2,734.80",382.20,01_07_2023
CYCL,40.82,"2,148.00","2,148.00","2,050.00","2,051.00","2,083.82","6,353.00","2,106.10","13,238,525.80",192,-55.10,98.00,-2.62,4.78,-1.60,-,-,"2,734.80",382.20,01_08_2023
CYCL,41.79,"2,050.00","2,050.00","2,014.20","2,018.00","2,024.95","5,380.00","2,051.00","10,894,234.50",171,-33.00,35.80,-1.61,1.78,-0.34,-,-,"2,734.80",382.20,01_09_2023
CYCL,48.25,"2,057.90","2,057.90","1,975.00","1,976.00","1,998.72","6,054.00","2,018.00","12,100,264.20",231,-42.00,82.90,-2.08,4.20,-1.15,-,-,"2,734.80",382.20,01_10_2023
CYCL,45.01,"2,057.90","2,057.90","1,975.00","1,976.00","1,998.72","6,054.00","2,018.00","12,100,264.20",231,-42.00,82.90,-2.08,4.20,-1.15,-,-,"2,734.80",382.20,01_11_2023
CYCL,45.03,"2,015.50","2,019.00","1,922.90","1,944.00","1,964.21","4,309.00","1,976.00","8,463,764.80",162,-32.00,96.10,-1.62,5.00,-1.04,-,-,"2,734.80",382.20,01_12_2023
CYCL,43.87,"2,015.50","2,019.00","1,922.90","1,944.00","1,964.21","4,309.00","1,976.00","8,463,764.80",162,-32.00,96.10,-1.62,5.00,-1.04,-,-,"2,734.80",382.20,01_13_2023
CYCL,43.87,"2,015.50","2,019.00","1,922.90","1,944.00","1,964.21","4,309.00","1,976.00","8,463,764.80",162,-32.00,96.10,-1.62,5.00,-1.04,-,-,"2,734.80",382.20,01_14_2023
CYCL,43.87,"2,015.50","2,019.00","1,922.90","1,944.00","1,964.21","4,309.00","1,976.00","8,463,764.80",162,-32.00,96.10,-1.62,5.00,-1.04,-,-,"2,734.80",382.20,01_15_2023
CYCL,43.87,"2,015.50","2,019.00","1,922.90","1,944.00","1,964.21","4,309.00","1,976.00","8,463,764.80",162,-32.00,96.10,-1.62,5.00,-1.04,0.00,0.00,"2,734.80",382.20,01_16_2023
CYCL,42.95,"1,980.00","1,980.00","1,910.00","1,980.00","1,934.94","2,478.00","1,944.00","4,794,773.50",157,36.00,70.00,1.85,3.66,2.28,0.00,0.00,"2,734.80",382.20,01_17_2023
CYCL,47.84,"1,985.00","2,010.00","1,935.00","1,940.00","1,975.18","1,512.00","1,980.00","2,986,472.50",69,-40.00,75.00,-2.02,3.88,-1.81,0.00,0.00,"2,734.80",382.20,01_18_2023
CYCL,45.64,"1,915.00","1,940.00","1,902.20","1,915.00","1,915.57",992.00,"1,940.00","1,900,245.80",72,-25.00,37.80,-1.29,1.99,-0.03,0.00,0.00,"2,734.80",382.20,01_19_2023
CYCL,45.43,"1,915.00","1,940.00","1,902.20","1,915.00","1,915.57",992.00,"1,940.00","1,900,245.80",72,-25.00,37.80,-1.29,1.99,-0.03,0.00,0.00,"2,734.80",382.20,01_20_2023
