Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
CZBILP,35.34,143.00,143.00,143.00,143.00,143.00,"7,000.00",143.00,"1,001,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,12_16_2021
CZBILP,27.43,143.00,143.00,143.00,143.00,143.00,"7,000.00",143.00,"1,001,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,12_17_2021
CZBILP,27.43,143.00,143.00,143.00,143.00,143.00,"7,000.00",143.00,"1,001,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,12_18_2021
CZBILP,27.43,143.00,143.00,143.00,143.00,143.00,"7,000.00",143.00,"1,001,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,12_19_2021
CZBILP,32.97,143.00,143.00,143.00,143.00,143.00,"15,673.00",143.00,"2,241,239.00",1,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,02_17_2022
CZBILP,33.48,143.00,143.00,143.00,143.00,143.00,"15,673.00",143.00,"2,241,239.00",1,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,02_18_2022
CZBILP,33.48,143.00,143.00,143.00,143.00,143.00,"15,673.00",143.00,"2,241,239.00",1,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,02_19_2022
CZBILP,28.93,145.80,145.80,145.80,145.80,145.80,"30,000.00",143.00,"4,374,000.00",1,2.80,0.00,1.96,0.00,0.00,-,-,208.00,143.00,04_07_2022
CZBILP,33.31,145.80,145.80,145.80,145.80,145.80,"30,000.00",143.00,"4,374,000.00",1,2.80,0.00,1.96,0.00,0.00,-,-,208.00,143.00,04_08_2022
CZBILP,33.31,145.80,145.80,145.80,145.80,145.80,"30,000.00",143.00,"4,374,000.00",1,2.80,0.00,1.96,0.00,0.00,-,-,208.00,143.00,04_09_2022
CZBILP,33.31,145.80,145.80,145.80,145.80,145.80,"30,000.00",143.00,"4,374,000.00",1,2.80,0.00,1.96,0.00,0.00,-,-,208.00,143.00,04_10_2022
CZBILP,27.33,145.80,145.80,145.80,145.80,145.80,"26,358.00",145.80,"3,842,996.40",2,0.00,0.00,0.00,0.00,0.00,-,-,208.00,143.00,06_07_2022
CZBILP,25.86,148.70,150.00,148.70,150.00,149.83,"208,074.00",145.80,"31,176,483.60",7,4.20,1.30,2.88,0.87,0.11,-,-,208.00,143.00,06_08_2022
CZBILP,49.38,147.00,147.00,147.00,147.00,147.00,"30,000.00",150.00,"4,410,000.00",1,-3.00,0.00,-2.00,0.00,0.00,-,-,208.00,143.00,06_17_2022
CZBILP,43.53,147.00,147.00,147.00,147.00,147.00,"30,000.00",150.00,"4,410,000.00",1,-3.00,0.00,-2.00,0.00,0.00,-,-,208.00,143.00,06_18_2022
CZBILP,49.76,150.00,150.00,150.00,150.00,150.00,"18,843.00",152.80,"2,826,450.00",1,-2.80,0.00,-1.83,0.00,0.00,-,-,208.00,143.00,08_30_2022
CZBILP,32.95,153.00,153.00,153.00,153.00,153.00,"5,286.00",150.00,"808,758.00",1,3.00,0.00,2.00,0.00,0.00,-,-,208.00,143.00,09_05_2022
CZBILP,38.59,153.00,153.00,153.00,153.00,153.00,800.00,153.00,"122,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,204.00,143.00,09_25_2022
CZBILP,35.88,153.00,153.00,153.00,153.00,153.00,800.00,153.00,"122,400.00",1,0.00,0.00,0.00,0.00,0.00,-,-,204.00,143.00,09_26_2022
CZBILP,40.22,153.00,153.00,153.00,153.00,153.00,"18,172.00",153.00,"2,780,316.00",1,0.00,0.00,0.00,0.00,0.00,-,-,153.00,143.00,10_12_2022
CZBILP,30.59,100.00,100.00,100.00,100.00,100.00,"5,921.00",100.00,"592,100.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,100.00,03_15_2023
CZBILP,21.83,100.00,100.00,100.00,100.00,100.00,"585,271.00",100.00,"58,527,100.00",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,100.00,03_20_2023
CZBILP,34.22,100.00,100.00,100.00,100.00,100.00,"585,271.00",100.00,"58,527,100.00",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,100.00,03_21_2023
CZBILP,37.08,100.00,100.00,100.00,100.00,160.00,"134,794.00",100.00,"21,567,040.00",3,0.00,0.00,0.00,0.00,-60.00,0.00,0.00,153.00,100.00,05_21_2023
CZBILP,40.46,100.00,100.00,100.00,100.00,130.00,"14,101.00",100.00,"1,833,130.00",100,0.00,0.00,0.00,0.00,-30.00,0.00,0.00,153.00,100.00,05_28_2023
CZBILP,34.18,100.00,100.00,100.00,100.00,130.00,"14,101.00",100.00,"1,833,130.00",100,0.00,0.00,0.00,0.00,-30.00,0.00,0.00,153.00,100.00,05_29_2023
CZBILP,-,100.00,100.00,100.00,133.00,133.00,"18,376.00",100.00,"2,444,008.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,100.00,06_26_2023
