Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
DDBL,44.29,"1,715.00","1,730.00","1,690.00","1,711.00","1,714.61","24,479.00","1,710.00","41,972,010.60",427,1.00,40.00,0.06,2.37,-0.21,"1,769.03","1,748.27","2,420.00",840.00,09_01_2021
DDBL,61.74,"1,360.00","1,360.00","1,332.00","1,341.00","1,344.80","8,509.00","1,350.00","11,442,920.00",159,-9.00,28.00,-0.67,2.10,-0.28,"1,655.52","1,728.31","2,420.00",962.00,11_03_2021
DDBL,50.44,"1,360.00","1,360.00","1,332.00","1,341.00","1,344.80","8,509.00","1,350.00","11,442,920.00",159,-9.00,28.00,-0.67,2.10,-0.28,"1,655.52","1,728.31","2,420.00",962.00,11_05_2021
DDBL,50.44,"1,360.00","1,360.00","1,332.00","1,341.00","1,344.80","8,509.00","1,350.00","11,442,920.00",159,-9.00,28.00,-0.67,2.10,-0.28,"1,655.52","1,728.31","2,420.00",962.00,11_06_2021
DDBL,50.44,"1,360.00","1,360.00","1,332.00","1,341.00","1,344.80","8,509.00","1,350.00","11,442,920.00",159,-9.00,28.00,-0.67,2.10,-0.28,"1,655.52","1,728.31","2,420.00",962.00,11_07_2021
DDBL,51.23,"1,341.00","1,365.50","1,333.00","1,333.00","1,346.14","8,081.00","1,341.00","10,878,128.70",131,-8.00,32.50,-0.60,2.44,-0.99,"1,651.66","1,724.60","2,420.00",970.00,11_08_2021
DDBL,48.66,"1,325.00","1,333.00","1,295.00","1,305.00","1,307.36","10,930.00","1,333.00","14,289,430.00",219,-28.00,38.00,-2.10,2.93,-0.18,"1,647.80","1,719.63","2,420.00",993.00,11_09_2021
DDBL,47.34,"1,325.00","1,333.00","1,295.00","1,305.00","1,307.36","10,930.00","1,333.00","14,289,430.00",219,-28.00,38.00,-2.10,2.93,-0.18,"1,647.80","1,719.63","2,420.00",993.00,11_10_2021
DDBL,45.29,"1,300.00","1,300.00","1,245.00","1,264.00","1,270.63","10,320.00","1,305.00","13,112,929.90",233,-41.00,55.00,-3.14,4.42,-0.52,"1,643.43","1,713.77","2,420.00","1,028.00",11_11_2021
DDBL,43.64,"1,300.00","1,300.00","1,245.00","1,264.00","1,270.63","10,320.00","1,305.00","13,112,929.90",233,-41.00,55.00,-3.14,4.42,-0.52,"1,643.43","1,713.77","2,420.00","1,028.00",11_12_2021
DDBL,43.64,"1,300.00","1,300.00","1,245.00","1,264.00","1,270.63","10,320.00","1,305.00","13,112,929.90",233,-41.00,55.00,-3.14,4.42,-0.52,"1,643.43","1,713.77","2,420.00","1,028.00",11_13_2021
DDBL,41.59,"1,289.20","1,310.00","1,266.00","1,267.00","1,274.89","5,334.00","1,264.00","6,800,276.20",146,3.00,44.00,0.24,3.48,-0.62,"1,639.00","1,708.32","2,420.00","1,028.00",11_14_2021
DDBL,39.82,"1,292.00","1,298.00","1,271.00","1,275.90","1,276.70","5,561.00","1,267.00","7,099,706.20",97,8.90,27.00,0.70,2.12,-0.06,"1,634.64","1,703.23","2,420.00","1,028.00",11_15_2021
DDBL,40.85,"1,276.00","1,301.00","1,265.00","1,299.00","1,292.42","6,515.00","1,275.90","8,420,111.20",161,23.10,36.00,1.81,2.85,0.51,"1,630.55","1,699.49","2,420.00","1,028.00",11_16_2021
DDBL,41.02,"1,310.00","1,312.00","1,294.00","1,295.00","1,302.96","8,785.00","1,299.00","11,446,500.50",219,-4.00,18.00,-0.31,1.39,-0.61,"1,626.15","1,695.95","2,420.00","1,028.00",11_17_2021
DDBL,59.70,"1,300.00","1,300.00","1,282.00","1,290.00","1,292.94","9,291.00","1,295.00","12,012,719.60",179,-5.00,18.00,-0.39,1.40,-0.23,"1,621.69","1,691.32","2,420.00","1,028.00",11_18_2021
DDBL,57.83,"1,300.00","1,300.00","1,282.00","1,290.00","1,292.94","9,291.00","1,295.00","12,012,719.60",179,-5.00,18.00,-0.39,1.40,-0.23,"1,621.69","1,691.32","2,420.00","1,028.00",11_19_2021
DDBL,57.83,"1,300.00","1,300.00","1,282.00","1,290.00","1,292.94","9,291.00","1,295.00","12,012,719.60",179,-5.00,18.00,-0.39,1.40,-0.23,"1,621.69","1,691.32","2,420.00","1,028.00",11_20_2021
DDBL,53.13,"1,290.00","1,298.00","1,280.00","1,283.00","1,286.74","4,415.00","1,290.00","5,680,971.50",100,-7.00,18.00,-0.54,1.41,-0.29,"1,617.14","1,686.99","2,420.00","1,042.00",11_21_2021
DDBL,42.73,"1,308.00","1,308.50","1,285.00","1,291.00","1,293.48","7,867.00","1,283.00","10,175,793.70",103,8.00,23.50,0.62,1.83,-0.19,"1,612.69","1,682.89","2,420.00","1,042.00",11_22_2021
DDBL,42.63,"1,291.00","1,301.00","1,268.00","1,268.00","1,281.50","10,921.00","1,291.00","13,995,226.40",180,-23.00,33.00,-1.78,2.60,-1.06,"1,608.19","1,678.74","2,420.00","1,080.00",11_23_2021
