Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
DHPL,53.73,387.00,413.00,378.30,392.00,396.80,"26,943.00",387.00,"10,690,851.50",300,5.00,34.70,1.29,9.17,-1.22,235.48,194.13,485.20,50.00,09_01_2021
DHPL,63.61,357.00,357.00,343.00,343.20,347.72,"10,997.00",350.00,"3,823,914.90",119,-6.80,14.00,-1.94,4.08,-1.32,304.88,243.93,485.20,97.00,11_03_2021
DHPL,56.32,357.00,357.00,343.00,343.20,347.72,"10,997.00",350.00,"3,823,914.90",119,-6.80,14.00,-1.94,4.08,-1.32,304.88,243.93,485.20,97.00,11_05_2021
DHPL,56.32,357.00,357.00,343.00,343.20,347.72,"10,997.00",350.00,"3,823,914.90",119,-6.80,14.00,-1.94,4.08,-1.32,304.88,243.93,485.20,97.00,11_06_2021
DHPL,56.32,357.00,357.00,343.00,343.20,347.72,"10,997.00",350.00,"3,823,914.90",119,-6.80,14.00,-1.94,4.08,-1.32,304.88,243.93,485.20,97.00,11_07_2021
DHPL,57.10,350.00,355.00,338.10,340.10,341.45,"9,368.00",343.20,"3,198,665.30",87,-3.10,16.90,-0.90,5.00,-0.40,306.33,245.16,485.20,97.00,11_08_2021
DHPL,52.11,333.30,344.00,321.50,332.00,328.89,"13,533.00",340.10,"4,450,832.70",186,-8.10,22.50,-2.38,7.00,0.94,307.81,246.36,485.20,97.00,11_09_2021
DHPL,50.44,333.30,344.00,321.50,332.00,328.89,"13,533.00",340.10,"4,450,832.70",186,-8.10,22.50,-2.38,7.00,0.94,307.81,246.36,485.20,97.00,11_10_2021
DHPL,48.39,325.40,340.00,313.00,316.80,325.49,"17,455.00",332.00,"5,681,349.20",157,-15.20,27.00,-4.58,8.63,-2.74,309.18,247.48,485.20,97.00,11_11_2021
DHPL,45.80,325.40,340.00,313.00,316.80,325.49,"17,455.00",332.00,"5,681,349.20",157,-15.20,27.00,-4.58,8.63,-2.74,309.18,247.48,485.20,97.00,11_12_2021
DHPL,45.80,325.40,340.00,313.00,316.80,325.49,"17,455.00",332.00,"5,681,349.20",157,-15.20,27.00,-4.58,8.63,-2.74,309.18,247.48,485.20,97.00,11_13_2021
DHPL,43.75,316.00,328.00,316.00,322.00,324.51,"11,936.00",316.80,"3,873,354.00",145,5.20,12.00,1.64,3.80,-0.78,310.57,248.64,485.20,97.00,11_14_2021
DHPL,42.46,328.40,335.00,323.50,327.00,328.78,"13,957.00",322.00,"4,588,815.70",126,5.00,11.50,1.55,3.55,-0.55,311.88,249.82,485.20,97.00,11_15_2021
DHPL,44.02,333.50,345.70,328.00,345.00,341.61,"23,886.00",327.00,"8,159,657.50",216,18.00,17.70,5.50,5.40,0.98,313.20,251.10,485.20,97.00,11_16_2021
DHPL,54.17,345.00,363.00,345.00,355.00,358.98,"24,997.00",345.00,"8,973,304.30",233,10.00,18.00,2.90,5.22,-1.12,314.64,252.44,485.20,97.00,11_17_2021
DHPL,60.46,362.10,362.10,340.20,341.00,346.45,"16,170.00",355.00,"5,602,060.90",181,-14.00,21.90,-3.94,6.44,-1.60,315.85,253.69,485.20,97.00,11_18_2021
DHPL,53.59,362.10,362.10,340.20,341.00,346.45,"16,170.00",355.00,"5,602,060.90",181,-14.00,21.90,-3.94,6.44,-1.60,315.85,253.69,485.20,97.00,11_19_2021
DHPL,53.59,362.10,362.10,340.20,341.00,346.45,"16,170.00",355.00,"5,602,060.90",181,-14.00,21.90,-3.94,6.44,-1.60,315.85,253.69,485.20,97.00,11_20_2021
DHPL,48.89,341.00,360.00,334.00,344.00,343.51,"15,070.00",341.00,"5,176,636.20",142,3.00,26.00,0.88,7.78,0.14,316.94,254.97,485.20,97.00,11_21_2021
DHPL,52.33,345.00,357.00,343.00,346.00,349.40,"13,779.00",344.00,"4,814,384.20",131,2.00,14.00,0.58,4.08,-0.98,317.99,256.26,485.20,97.00,11_22_2021
DHPL,49.68,346.00,347.00,331.00,339.00,337.01,"12,123.00",346.00,"4,085,582.00",158,-7.00,16.00,-2.02,4.83,0.59,319.03,257.51,485.20,97.00,11_23_2021
DHPL,45.09,335.00,355.00,320.10,352.00,333.08,"183,238.00",339.00,"61,032,520.70",308,13.00,34.90,3.83,10.90,5.38,320.14,258.82,485.20,97.00,11_24_2021
DHPL,60.33,350.00,364.00,343.00,345.00,351.99,"12,219.00",352.00,"4,301,019.80",148,-7.00,21.00,-1.99,6.12,-2.03,321.24,260.07,485.20,97.00,11_25_2021
DHPL,51.70,350.00,364.00,343.00,345.00,351.99,"12,219.00",352.00,"4,301,019.80",148,-7.00,21.00,-1.99,6.12,-2.03,321.24,260.07,485.20,97.00,11_26_2021
DHPL,51.70,350.00,364.00,343.00,345.00,351.99,"12,219.00",352.00,"4,301,019.80",148,-7.00,21.00,-1.99,6.12,-2.03,321.24,260.07,485.20,97.00,11_27_2021
DHPL,48.80,340.00,340.00,323.00,323.00,331.50,"17,213.00",345.00,"5,706,158.40",207,-22.00,17.00,-6.38,5.26,-2.63,322.00,261.20,485.20,97.00,11_28_2021
DHPL,35.84,323.00,338.00,322.00,325.00,328.97,"15,273.00",323.00,"5,024,408.00",128,2.00,16.00,0.62,4.97,-1.22,322.58,262.35,485.20,97.00,11_29_2021
DHPL,39.43,331.50,343.00,318.50,328.00,324.08,"13,857.00",325.00,"4,490,782.00",132,3.00,24.50,0.92,7.69,1.20,322.98,263.53,485.20,97.00,11_30_2021
DHPL,34.31,331.50,334.90,327.00,330.00,329.83,"10,952.00",328.00,"3,612,297.10",84,2.00,7.90,0.61,2.42,0.05,323.57,264.74,485.20,97.00,12_01_2021
DHPL,40.89,336.60,336.60,315.00,315.00,318.77,"11,825.00",330.00,"3,769,486.20",141,-15.00,21.60,-4.55,6.86,-1.20,324.15,265.84,485.20,97.00,12_02_2021
DHPL,44.38,336.60,336.60,315.00,315.00,318.77,"11,825.00",330.00,"3,769,486.20",141,-15.00,21.60,-4.55,6.86,-1.20,324.15,265.84,485.20,97.00,12_03_2021
DHPL,44.38,336.60,336.60,315.00,315.00,318.77,"11,825.00",330.00,"3,769,486.20",141,-15.00,21.60,-4.55,6.86,-1.20,324.15,265.84,485.20,97.00,12_04_2021
DHPL,43.48,314.00,315.00,298.00,303.00,302.74,"27,674.00",315.00,"8,378,070.20",214,-12.00,17.00,-3.81,5.70,0.09,324.56,266.90,485.20,97.00,12_05_2021
DHPL,40.89,303.00,321.10,285.00,310.00,302.21,"30,373.00",303.00,"9,179,155.70",273,7.00,36.10,2.31,12.67,2.51,325.10,268.00,485.20,97.00,12_06_2021
DHPL,41.56,316.00,321.30,300.00,300.00,311.38,"10,950.00",310.00,"3,409,597.60",129,-10.00,21.30,-3.23,7.10,-3.79,325.69,269.02,485.20,97.00,12_07_2021
DHPL,32.90,303.00,303.00,285.00,285.00,291.21,"18,434.00",300.00,"5,368,093.20",174,-15.00,18.00,-5.00,6.32,-2.18,325.97,269.97,485.20,97.00,12_08_2021
DHPL,34.80,286.00,290.70,274.00,285.00,284.77,"18,850.00",285.00,"5,367,835.10",168,0.00,16.70,0.00,6.09,0.08,326.15,270.92,485.20,97.00,12_09_2021
DHPL,31.14,286.00,290.70,274.00,285.00,284.77,"18,850.00",285.00,"5,367,835.10",168,0.00,16.70,0.00,6.09,0.08,326.15,270.92,485.20,97.00,12_10_2021
DHPL,31.14,286.00,290.70,274.00,285.00,284.77,"18,850.00",285.00,"5,367,835.10",168,0.00,16.70,0.00,6.09,0.08,326.15,270.92,485.20,97.00,12_11_2021
DHPL,30.49,280.20,283.00,264.20,268.90,275.45,"13,894.00",285.00,"3,827,135.00",148,-16.10,18.80,-5.65,7.12,-2.44,326.25,271.80,485.20,97.00,12_12_2021
DHPL,24.39,263.60,268.80,242.10,243.00,248.33,"24,710.00",268.90,"6,136,210.40",247,-25.90,26.70,-9.63,11.03,-2.19,325.99,272.51,485.20,97.00,12_13_2021
DHPL,29.42,247.80,267.30,247.80,267.30,262.93,"22,036.00",243.00,"5,794,007.60",183,24.30,19.50,10.00,7.87,1.63,325.70,273.35,485.20,97.00,12_14_2021
DHPL,42.27,272.60,294.00,267.30,288.10,290.30,"46,964.00",267.30,"13,633,700.20",482,20.80,26.70,7.78,9.99,-0.76,325.37,274.26,485.20,97.00,12_15_2021
DHPL,48.25,282.40,290.00,270.50,270.50,278.18,"15,361.00",288.10,"4,273,145.90",173,-17.60,19.50,-6.11,7.21,-2.84,324.97,275.03,485.20,97.00,12_16_2021
DHPL,43.61,282.40,290.00,270.50,270.50,278.18,"15,361.00",288.10,"4,273,145.90",173,-17.60,19.50,-6.11,7.21,-2.84,324.97,275.03,485.20,97.00,12_17_2021
DHPL,43.61,282.40,290.00,270.50,270.50,278.18,"15,361.00",288.10,"4,273,145.90",173,-17.60,19.50,-6.11,7.21,-2.84,324.97,275.03,485.20,97.00,12_18_2021
DHPL,43.61,282.40,290.00,270.50,270.50,278.18,"15,361.00",288.10,"4,273,145.90",173,-17.60,19.50,-6.11,7.21,-2.84,324.97,275.03,485.20,97.00,12_19_2021
DHPL,40.92,267.00,270.10,254.80,257.00,260.54,"16,862.00",270.50,"4,393,249.50",146,-13.50,15.30,-4.99,6.00,-1.38,324.71,275.77,485.20,97.00,12_20_2021
DHPL,44.95,262.10,272.40,260.00,272.00,267.20,"14,096.00",257.00,"3,766,438.00",140,15.00,12.40,5.84,4.77,1.77,324.57,276.62,485.20,97.00,12_21_2021
DHPL,41.68,277.40,293.60,277.40,291.00,286.83,"23,844.00",272.00,"6,839,247.60",177,19.00,16.20,6.99,5.84,1.43,324.72,277.60,485.20,100.00,12_22_2021
