Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
DLBS,0.00,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_23_2022
DLBS,35.67,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_24_2022
DLBS,35.67,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_25_2022
DLBS,35.67,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_26_2022
DLBS,35.67,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_27_2022
DLBS,35.67,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_28_2022
DLBS,35.67,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_29_2022
DLBS,35.67,179.70,179.70,179.70,179.70,180.24,73.00,179.70,"13,157.80",17,179.70,0.00,0.00,0.00,-0.30,-,-,179.70,179.70,10_30_2022
DLBS,35.81,179.70,179.70,179.70,179.70,179.86,10.00,179.70,"1,798.60",3,0.00,0.00,0.00,0.00,-0.09,-,-,179.70,179.70,10_31_2022
DLBS,31.82,179.70,179.70,179.70,179.70,179.95,20.00,179.70,"3,599.00",7,0.00,0.00,0.00,0.00,-0.14,-,-,179.70,179.70,11_01_2022
DLBS,34.83,177.70,183.20,177.70,183.20,180.45,20.00,179.70,"3,609.00",2,3.50,5.50,1.95,3.10,1.50,-,-,183.20,177.70,11_06_2022
DLBS,45.10,186.80,198.10,186.80,198.10,193.17,50.00,183.20,"9,658.50",6,14.90,11.30,8.13,6.05,2.49,-,-,198.10,177.70,11_07_2022
DLBS,46.85,202.00,202.00,202.00,202.00,202.00,10.00,198.10,"2,020.00",1,3.90,0.00,1.97,0.00,0.00,-,-,202.00,177.70,11_13_2022
DLBS,44.49,202.00,202.00,202.00,202.00,201.73,11.00,202.00,"2,219.00",7,0.00,0.00,0.00,0.00,0.14,-,-,202.00,177.70,11_15_2022
DLBS,44.71,206.00,206.00,206.00,206.00,205.33,20.00,202.00,"4,106.60",4,4.00,0.00,1.98,0.00,0.33,-,-,206.00,177.70,11_16_2022
DLBS,45.27,210.10,214.30,210.10,214.30,212.20,20.00,206.00,"4,244.00",2,8.30,4.20,4.03,2.00,0.98,-,-,214.30,177.70,11_17_2022
DLBS,39.85,210.10,214.30,210.10,214.30,212.20,20.00,206.00,"4,244.00",2,8.30,4.20,4.03,2.00,0.98,-,-,214.30,177.70,11_18_2022
DLBS,39.85,210.10,214.30,210.10,214.30,212.20,20.00,206.00,"4,244.00",2,8.30,4.20,4.03,2.00,0.98,-,-,214.30,177.70,11_19_2022
DLBS,39.85,210.10,214.30,210.10,214.30,212.20,20.00,206.00,"4,244.00",2,8.30,4.20,4.03,2.00,0.98,-,-,214.30,177.70,11_20_2022
DLBS,39.85,210.10,214.30,210.10,214.30,212.20,20.00,206.00,"4,244.00",2,8.30,4.20,4.03,2.00,0.98,-,-,214.30,177.70,11_21_2022
DLBS,42.76,218.50,222.80,218.50,222.80,222.81,30.00,214.30,"6,684.40",4,8.50,4.30,3.97,1.97,-0.01,-,-,222.80,177.70,11_22_2022
DLBS,43.98,227.20,231.70,227.20,231.70,229.45,20.00,222.80,"4,589.00",2,8.90,4.50,3.99,1.98,0.97,-,-,231.70,177.70,11_23_2022
DLBS,46.24,236.30,245.80,236.30,245.80,241.03,30.00,231.70,"7,231.00",3,14.10,9.50,6.09,4.02,1.94,-,-,245.80,177.70,11_27_2022
DLBS,48.90,250.70,250.70,250.70,250.70,246.30,20.00,245.80,"4,926.00",3,4.90,0.00,1.99,0.00,1.76,-,-,250.70,177.70,11_28_2022
DLBS,46.54,255.70,266.00,255.70,266.00,260.83,30.00,250.70,"7,825.00",3,15.30,10.30,6.10,4.03,1.94,-,-,266.00,177.70,11_29_2022
DLBS,44.05,271.30,292.60,271.30,292.60,283.87,60.00,266.00,"17,032.00",7,26.60,21.30,10.00,7.85,2.98,-,-,292.60,177.70,12_01_2022
DLBS,46.33,271.30,292.60,271.30,292.60,283.87,60.00,266.00,"17,032.00",7,26.60,21.30,10.00,7.85,2.98,-,-,292.60,177.70,12_02_2022
DLBS,46.33,271.30,292.60,271.30,292.60,283.87,60.00,266.00,"17,032.00",7,26.60,21.30,10.00,7.85,2.98,-,-,292.60,177.70,12_03_2022
DLBS,47.65,298.40,321.80,298.40,321.80,312.89,90.00,292.60,"28,160.30",11,29.20,23.40,9.98,7.84,2.77,-,-,321.80,177.70,12_04_2022
DLBS,50.43,328.20,348.10,328.20,348.10,340.43,47.00,321.80,"16,000.30",5,26.30,19.90,8.17,6.06,2.20,-,-,348.10,177.70,12_06_2022
DLBS,46.86,355.00,355.00,355.00,355.00,353.49,14.00,348.10,"4,948.80",2,6.90,0.00,1.98,0.00,0.43,-,-,355.00,177.70,12_07_2022
DLBS,38.75,355.00,355.00,355.00,355.00,353.49,14.00,348.10,"4,948.80",2,6.90,0.00,1.98,0.00,0.43,-,-,355.00,177.70,12_08_2022
DLBS,38.75,355.00,355.00,355.00,355.00,353.49,14.00,348.10,"4,948.80",2,6.90,0.00,1.98,0.00,0.43,-,-,355.00,177.70,12_09_2022
DLBS,38.75,355.00,355.00,355.00,355.00,353.49,14.00,348.10,"4,948.80",2,6.90,0.00,1.98,0.00,0.43,-,-,355.00,177.70,12_10_2022
DLBS,40.16,362.10,376.60,362.10,376.60,368.56,36.00,355.00,"13,268.20",4,21.60,14.50,6.08,4.00,2.13,-,-,376.60,177.70,12_11_2022
DLBS,41.18,384.10,399.50,384.10,399.50,391.77,30.00,376.60,"11,753.00",3,22.90,15.40,6.08,4.01,1.94,-,-,399.50,177.70,12_12_2022
DLBS,39.31,407.40,407.40,407.40,407.40,407.40,10.00,399.50,"4,074.00",1,7.90,0.00,1.98,0.00,0.00,-,-,407.40,177.70,12_13_2022
DLBS,33.66,415.50,440.80,415.50,440.80,428.08,40.00,407.40,"17,123.00",4,33.40,25.30,8.20,6.09,2.89,-,-,440.80,177.70,12_14_2022
DLBS,37.75,440.80,458.50,440.80,458.50,449.63,30.00,440.80,"13,489.00",3,17.70,17.70,4.02,4.02,1.93,-,-,458.50,177.70,12_15_2022
DLBS,34.89,440.80,458.50,440.80,458.50,449.63,30.00,440.80,"13,489.00",3,17.70,17.70,4.02,4.02,1.93,-,-,458.50,177.70,12_16_2022
DLBS,34.89,440.80,458.50,440.80,458.50,449.63,30.00,440.80,"13,489.00",3,17.70,17.70,4.02,4.02,1.93,-,-,458.50,177.70,12_17_2022
DLBS,34.67,467.60,496.10,467.60,496.10,479.68,43.00,458.50,"20,626.30",5,37.60,28.50,8.20,6.09,3.31,-,-,496.10,177.70,12_18_2022
DLBS,36.85,506.00,545.70,506.00,545.70,526.22,50.00,496.10,"26,311.00",5,49.60,39.70,10.00,7.85,3.57,-,-,545.70,177.70,12_19_2022
