Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
DOLTI,-,261.00,287.10,250.00,287.10,277.94,"78,315.00",261.00,"21,767,098.60","4,636",26.10,37.10,10.00,14.84,3.19,0.00,0.00,287.10,250.00,06_08_2023
DOLTI,38.77,261.00,287.10,250.00,287.10,277.94,"78,315.00",261.00,"21,767,098.60","4,636",26.10,37.10,10.00,14.84,3.19,0.00,0.00,287.10,250.00,06_09_2023
DOLTI,38.77,261.00,287.10,250.00,287.10,277.94,"78,315.00",261.00,"21,767,098.60","4,636",26.10,37.10,10.00,14.84,3.19,0.00,0.00,287.10,250.00,06_10_2023
DOLTI,-,292.80,311.00,279.30,292.00,291.69,"41,826.00",287.10,"12,200,268.80","3,272",4.90,31.70,1.71,11.35,0.11,0.00,0.00,311.00,250.00,06_11_2023
DOLTI,-,287.00,289.60,274.90,283.50,284.17,"33,479.00",292.00,"9,513,832.60","1,676",-8.50,14.70,-2.91,5.35,-0.24,0.00,0.00,311.00,250.00,06_12_2023
DOLTI,-,283.00,305.50,278.00,295.00,286.81,"32,792.00",283.50,"9,405,001.10","1,553",11.50,27.50,4.06,9.89,2.78,0.00,0.00,311.00,250.00,06_13_2023
DOLTI,-,290.00,303.70,285.00,290.00,295.12,"20,048.00",295.00,"5,916,557.30","1,050",-5.00,18.70,-1.69,6.56,-1.77,0.00,0.00,311.00,250.00,06_14_2023
DOLTI,-,285.00,291.00,283.10,288.90,285.49,"13,645.00",290.00,"3,895,484.40",729,-1.10,7.90,-0.38,2.79,1.18,0.00,0.00,311.00,250.00,06_15_2023
DOLTI,35.58,285.00,291.00,283.10,288.90,285.49,"13,645.00",290.00,"3,895,484.40",729,-1.10,7.90,-0.38,2.79,1.18,0.00,0.00,311.00,250.00,06_16_2023
DOLTI,35.58,285.00,291.00,283.10,288.90,285.49,"13,645.00",290.00,"3,895,484.40",729,-1.10,7.90,-0.38,2.79,1.18,0.00,0.00,311.00,250.00,06_17_2023
DOLTI,-,283.20,294.00,280.00,288.00,289.04,"23,489.00",288.90,"6,789,217.20",900,-0.90,14.00,-0.31,5.00,-0.36,0.00,0.00,311.00,250.00,06_18_2023
DOLTI,-,288.00,292.00,282.30,289.00,286.76,"22,744.00",288.00,"6,522,096.60",614,1.00,9.70,0.35,3.44,0.77,0.00,0.00,311.00,250.00,06_19_2023
DOLTI,-,292.00,292.00,280.00,285.00,283.91,"8,314.00",289.00,"2,360,428.10",365,-4.00,12.00,-1.38,4.29,0.38,0.00,0.00,311.00,250.00,06_20_2023
DOLTI,-,290.00,290.00,270.90,279.00,275.71,"17,871.00",285.00,"4,927,253.70",601,-6.00,19.10,-2.11,7.05,1.18,0.00,0.00,311.00,250.00,06_21_2023
DOLTI,-,273.50,276.00,266.00,270.00,269.98,"10,461.00",279.00,"2,824,246.70",515,-9.00,10.00,-3.23,3.76,0.01,0.00,0.00,311.00,250.00,06_22_2023
DOLTI,35.84,273.50,276.00,266.00,270.00,269.98,"10,461.00",279.00,"2,824,246.70",515,-9.00,10.00,-3.23,3.76,0.01,0.00,0.00,311.00,250.00,06_23_2023
DOLTI,35.84,273.50,276.00,266.00,270.00,269.98,"10,461.00",279.00,"2,824,246.70",515,-9.00,10.00,-3.23,3.76,0.01,0.00,0.00,311.00,250.00,06_24_2023
DOLTI,-,264.60,277.00,261.60,277.00,267.54,"9,820.00",270.00,"2,627,202.20",627,7.00,15.40,2.59,5.89,3.42,0.00,0.00,311.00,250.00,06_25_2023
DOLTI,-,282.00,282.00,264.00,267.00,270.41,"9,980.00",277.00,"2,698,694.70",443,-10.00,18.00,-3.61,6.82,-1.28,0.00,0.00,311.00,250.00,06_26_2023
DOLTI,-,262.70,278.40,262.00,275.00,267.01,"15,335.00",267.00,"4,094,627.00",531,8.00,16.40,3.00,6.26,2.90,0.00,0.00,311.00,250.00,06_27_2023
DOLTI,-,269.50,269.50,260.00,263.00,263.91,"16,091.00",275.00,"4,246,524.50",367,-12.00,9.50,-4.36,3.65,-0.34,0.00,0.00,311.00,250.00,06_28_2023
DOLTI,46.46,269.50,269.50,260.00,263.00,263.91,"16,091.00",275.00,"4,246,524.50",367,-12.00,9.50,-4.36,3.65,-0.34,0.00,0.00,311.00,250.00,06_29_2023
