Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
DORDI,-,307.10,337.80,295.00,315.00,319.63,"127,582.00",307.10,"40,778,668.70","7,251",7.90,42.80,2.57,14.51,-1.47,-,-,337.80,295.00,07_14_2022
DORDI,37.33,320.00,320.00,294.00,309.20,305.12,"27,911.00",315.00,"8,516,335.80","2,014",-5.80,26.00,-1.84,8.84,1.32,-,-,337.80,294.00,07_15_2022
DORDI,28.02,320.00,320.00,294.00,309.20,305.12,"27,911.00",315.00,"8,516,335.80","2,014",-5.80,26.00,-1.84,8.84,1.32,-,-,337.80,294.00,07_16_2022
DORDI,25.24,309.00,309.00,292.10,300.00,300.29,"18,500.00",309.20,"5,555,379.00","1,606",-9.20,16.90,-2.98,5.79,-0.10,-,-,337.80,292.10,07_17_2022
DORDI,24.64,294.00,308.00,290.20,303.00,302.58,"14,521.00",300.00,"4,393,702.50",981,3.00,17.80,1.00,6.13,0.14,-,-,337.80,290.20,07_18_2022
DORDI,24.71,302.00,312.00,297.50,299.10,303.28,"13,090.00",303.00,"3,969,883.00",667,-3.90,14.50,-1.29,4.87,-1.40,-,-,337.80,290.20,07_19_2022
DORDI,25.08,300.00,302.00,291.00,292.00,294.45,"18,846.00",299.10,"5,549,284.10",591,-7.10,11.00,-2.37,3.78,-0.84,-,-,337.80,290.20,07_20_2022
DORDI,29.35,286.40,301.00,286.40,287.20,290.84,"12,830.00",292.00,"3,731,447.60",557,-4.80,14.60,-1.64,5.10,-1.27,-,-,337.80,286.40,07_21_2022
DORDI,32.72,292.00,292.00,276.50,279.00,281.11,"14,372.00",287.20,"4,040,101.60",357,-8.20,15.50,-2.86,5.61,-0.76,-,-,337.80,276.50,07_22_2022
DORDI,30.05,292.00,292.00,276.50,279.00,281.11,"14,372.00",287.20,"4,040,101.60",357,-8.20,15.50,-2.86,5.61,-0.76,-,-,337.80,276.50,07_23_2022
DORDI,27.25,278.00,287.00,271.50,287.00,277.40,"20,599.00",279.00,"5,714,167.40",754,8.00,15.50,2.87,5.71,3.34,-,-,337.80,271.50,07_24_2022
DORDI,34.99,287.00,306.00,286.00,306.00,294.33,"24,559.00",287.00,"7,228,448.10",681,19.00,20.00,6.62,6.99,3.81,-,-,337.80,271.50,07_25_2022
