Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
EBL,46.67,740.00,742.00,730.00,735.00,735.63,"48,073.00",729.50,"35,363,872.20",305,5.50,12.00,0.75,1.64,-0.09,747.61,755.52,864.00,638.00,09_01_2021
EBL,48.70,678.90,678.90,660.00,661.00,664.02,"96,595.00",670.00,"64,140,832.40",595,-9.00,18.90,-1.34,2.86,-0.46,734.89,745.11,864.00,638.00,11_03_2021
EBL,48.56,678.90,678.90,660.00,661.00,664.02,"96,595.00",670.00,"64,140,832.40",595,-9.00,18.90,-1.34,2.86,-0.46,734.89,745.11,864.00,638.00,11_05_2021
EBL,48.56,678.90,678.90,660.00,661.00,664.02,"96,595.00",670.00,"64,140,832.40",595,-9.00,18.90,-1.34,2.86,-0.46,734.89,745.11,864.00,638.00,11_06_2021
EBL,48.56,678.90,678.90,660.00,661.00,664.02,"96,595.00",670.00,"64,140,832.40",595,-9.00,18.90,-1.34,2.86,-0.46,734.89,745.11,864.00,638.00,11_07_2021
EBL,49.34,658.00,665.00,655.10,657.00,659.04,"47,213.00",661.00,"31,115,389.20",326,-4.00,9.90,-0.61,1.51,-0.31,734.33,744.46,864.00,638.00,11_08_2021
EBL,48.94,652.90,659.90,645.10,645.20,650.15,"54,808.00",657.00,"35,633,330.40",368,-11.80,14.80,-1.80,2.29,-0.77,733.66,743.73,864.00,638.00,11_09_2021
EBL,49.21,652.90,659.90,645.10,645.20,650.15,"54,808.00",657.00,"35,633,330.40",368,-11.80,14.80,-1.80,2.29,-0.77,733.66,743.73,864.00,638.00,11_10_2021
EBL,47.16,645.00,645.10,633.00,633.00,636.14,"60,006.00",645.20,"38,172,274.50",392,-12.20,12.10,-1.89,1.91,-0.50,732.89,742.85,864.00,633.00,11_11_2021
EBL,47.92,645.00,645.10,633.00,633.00,636.14,"60,006.00",645.20,"38,172,274.50",392,-12.20,12.10,-1.89,1.91,-0.50,732.89,742.85,864.00,633.00,11_12_2021
EBL,47.92,645.00,645.10,633.00,633.00,636.14,"60,006.00",645.20,"38,172,274.50",392,-12.20,12.10,-1.89,1.91,-0.50,732.89,742.85,864.00,633.00,11_13_2021
EBL,45.87,630.00,630.00,621.00,623.00,623.90,"44,165.00",633.00,"27,554,350.90",368,-10.00,9.00,-1.58,1.45,-0.14,732.03,741.96,864.00,621.00,11_14_2021
EBL,46.43,630.00,630.00,620.00,620.50,623.74,"30,352.00",623.00,"18,931,621.80",281,-2.50,10.00,-0.40,1.61,-0.52,731.15,741.08,864.00,620.00,11_15_2021
EBL,45.09,625.00,640.30,618.00,636.00,623.59,"53,001.00",620.50,"33,050,807.30",352,15.50,22.30,2.50,3.61,1.95,730.43,740.25,864.00,618.00,11_16_2021
