Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
EBLD86,0.00,"1,000.00","1,000.00",941.20,941.20,950.62,145.00,"1,000.00","137,840.00",6,-58.80,58.80,-5.88,6.25,-1.00,-,-,"1,000.00",941.20,09_27_2022
EBLD86,33.65,922.40,922.40,904.00,904.00,909.26,35.00,941.20,"31,824.00",2,-37.20,18.40,-3.95,2.04,-0.58,-,-,"1,000.00",904.00,09_28_2022
EBLD86,25.46,899.00,899.00,899.00,899.00,899.00,10.00,904.00,"8,990.00",1,-5.00,0.00,-0.55,0.00,0.00,-,-,"1,000.00",899.00,10_10_2022
EBLD86,23.85,881.10,881.10,863.50,865.00,865.35,160.00,899.00,"138,456.00",4,-34.00,17.60,-3.78,2.04,-0.04,-,-,"1,000.00",863.50,10_11_2022
EBLD86,30.74,847.70,847.70,778.50,780.00,787.51,220.00,865.00,"173,253.00",10,-85.00,69.20,-9.83,8.89,-0.96,-,-,"1,000.00",778.50,10_12_2022
EBLD86,30.58,764.40,764.40,750.10,750.10,757.90,55.00,780.00,"41,684.50",3,-29.90,14.30,-3.83,1.91,-1.04,-,-,"1,000.00",750.10,10_13_2022
EBLD86,25.52,764.40,764.40,750.10,750.10,757.90,55.00,780.00,"41,684.50",3,-29.90,14.30,-3.83,1.91,-1.04,-,-,"1,000.00",750.10,10_14_2022
EBLD86,25.52,764.40,764.40,750.10,750.10,757.90,55.00,780.00,"41,684.50",3,-29.90,14.30,-3.83,1.91,-1.04,-,-,"1,000.00",750.10,10_15_2022
EBLD86,25.64,737.00,751.70,737.00,751.70,747.43,110.00,750.10,"82,217.00",5,1.60,14.70,0.21,1.99,0.57,-,-,"1,000.00",737.00,10_16_2022
EBLD86,28.66,740.00,740.00,740.00,740.00,740.00,40.00,751.70,"29,600.00",1,-11.70,0.00,-1.56,0.00,0.00,-,-,"1,000.00",737.00,10_17_2022
EBLD86,26.52,740.00,740.00,740.00,740.00,740.00,40.00,751.70,"29,600.00",1,-11.70,0.00,-1.56,0.00,0.00,-,-,"1,000.00",737.00,10_18_2022
EBLD86,25.71,740.00,740.00,740.00,740.00,740.00,140.00,740.00,"103,600.00",4,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00",737.00,10_19_2022
EBLD86,37.01,740.00,740.10,740.00,740.10,740.07,35.00,740.00,"25,902.50",2,0.10,0.10,0.01,0.01,0.00,-,-,"1,000.00",737.00,10_20_2022
EBLD86,34.82,740.00,740.10,740.00,740.10,740.07,35.00,740.00,"25,902.50",2,0.10,0.10,0.01,0.01,0.00,-,-,"1,000.00",737.00,10_21_2022
EBLD86,34.82,740.00,740.10,740.00,740.10,740.07,35.00,740.00,"25,902.50",2,0.10,0.10,0.01,0.01,0.00,-,-,"1,000.00",737.00,10_22_2022
EBLD86,34.82,738.10,738.10,738.10,738.10,738.10,25.00,740.10,"18,452.50",1,-2.00,0.00,-0.27,0.00,0.00,-,-,"1,000.00",737.00,10_23_2022
EBLD86,33.70,738.10,738.10,738.10,738.10,738.10,25.00,740.10,"18,452.50",1,-2.00,0.00,-0.27,0.00,0.00,-,-,"1,000.00",737.00,10_24_2022
EBLD86,33.70,738.10,738.10,738.10,738.10,738.10,25.00,740.10,"18,452.50",1,-2.00,0.00,-0.27,0.00,0.00,-,-,"1,000.00",737.00,10_25_2022
EBLD86,33.70,738.10,738.10,738.10,738.10,738.10,25.00,740.10,"18,452.50",1,-2.00,0.00,-0.27,0.00,0.00,-,-,"1,000.00",737.00,10_26_2022
EBLD86,33.70,738.10,738.10,738.10,738.10,738.10,25.00,740.10,"18,452.50",1,-2.00,0.00,-0.27,0.00,0.00,-,-,"1,000.00",737.00,10_27_2022
EBLD86,33.70,738.10,738.10,738.10,738.10,738.10,25.00,740.10,"18,452.50",1,-2.00,0.00,-0.27,0.00,0.00,-,-,"1,000.00",737.00,10_28_2022
EBLD86,33.70,738.10,738.10,738.10,738.10,738.10,25.00,740.10,"18,452.50",1,-2.00,0.00,-0.27,0.00,0.00,-,-,"1,000.00",737.00,10_29_2022
