Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
EDBL,46.12,"1,045.20","1,056.70","1,009.00","1,009.00","1,030.86","12,393.00","1,036.00","12,775,507.50",116,-27.00,47.70,-2.61,4.73,-2.17,722.31,609.94,"1,195.00",293.00,09_01_2021
EDBL,66.87,650.00,674.90,650.00,663.00,661.22,"15,022.00",661.00,"9,932,777.00",100,2.00,24.90,0.30,3.83,0.27,800.67,688.75,"1,195.00",315.00,11_03_2021
EDBL,63.82,650.00,674.90,650.00,663.00,661.22,"15,022.00",661.00,"9,932,777.00",100,2.00,24.90,0.30,3.83,0.27,800.67,688.75,"1,195.00",315.00,11_05_2021
EDBL,63.82,650.00,674.90,650.00,663.00,661.22,"15,022.00",661.00,"9,932,777.00",100,2.00,24.90,0.30,3.83,0.27,800.67,688.75,"1,195.00",315.00,11_06_2021
EDBL,63.82,650.00,674.90,650.00,663.00,661.22,"15,022.00",661.00,"9,932,777.00",100,2.00,24.90,0.30,3.83,0.27,800.67,688.75,"1,195.00",315.00,11_07_2021
EDBL,64.61,664.00,677.10,655.00,672.00,664.44,"12,281.00",663.00,"8,159,994.20",84,9.00,22.10,1.36,3.37,1.12,801.84,690.32,"1,195.00",318.00,11_08_2021
EDBL,57.54,665.00,668.00,641.00,643.50,655.83,"27,483.00",672.00,"18,024,110.30",96,-28.50,27.00,-4.24,4.21,-1.92,802.81,691.72,"1,195.00",318.00,11_09_2021
EDBL,57.07,665.00,668.00,641.00,643.50,655.83,"27,483.00",672.00,"18,024,110.30",96,-28.50,27.00,-4.24,4.21,-1.92,802.81,691.72,"1,195.00",318.00,11_10_2021
EDBL,55.02,635.00,655.00,623.00,630.00,632.63,"17,520.00",643.50,"11,083,661.40",78,-13.50,32.00,-2.10,5.14,-0.42,803.61,692.98,"1,195.00",320.00,11_11_2021
EDBL,46.61,635.00,655.00,623.00,630.00,632.63,"17,520.00",643.50,"11,083,661.40",78,-13.50,32.00,-2.10,5.14,-0.42,803.61,692.98,"1,195.00",320.00,11_12_2021
