Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
EDBLPO,68.41,579.00,579.00,579.00,579.00,579.00,"50,000.00",590.00,"28,950,000.00",4,-11.00,0.00,-1.86,0.00,0.00,-,-,579.00,194.00,09_01_2021
EDBLPO,53.42,305.00,305.00,305.00,305.00,305.00,"21,500.00",305.00,"6,557,500.00",14,0.00,0.00,0.00,0.00,0.00,-,-,579.00,194.00,12_12_2021
EDBLPO,50.42,251.00,251.00,251.00,251.00,251.00,"10,000.00",251.00,"2,510,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,579.00,251.00,03_13_2022
EDBLPO,52.27,251.00,251.00,251.00,251.00,251.00,"7,500.00",251.00,"1,882,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,579.00,251.00,03_15_2022
EDBLPO,35.35,251.00,251.00,251.00,251.00,251.00,"35,000.00",251.00,"8,785,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,579.00,251.00,03_21_2022
EDBLPO,43.95,251.00,251.00,251.00,251.00,251.00,"17,500.00",251.00,"4,392,500.00",2,0.00,0.00,0.00,0.00,0.00,-,-,579.00,251.00,03_22_2022
EDBLPO,34.74,251.00,251.00,251.00,251.00,251.00,"10,000.00",251.00,"2,510,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,579.00,251.00,03_28_2022
EDBLPO,40.01,250.00,250.00,250.00,250.00,250.00,"10,000.00",251.00,"2,500,000.00",1,-1.00,0.00,-0.40,0.00,0.00,-,-,579.00,250.00,05_25_2022
EDBLPO,36.22,250.00,250.00,250.00,250.00,250.00,"60,000.00",250.00,"15,000,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,579.00,250.00,06_22_2022
EDBLPO,-,172.00,172.00,172.00,172.00,172.00,"27,718.00",172.00,"4,767,496.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,172.00,06_19_2023
