Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
EHPL,0.00,216.00,237.60,216.00,237.60,237.46,"8,512.00",216.00,"2,021,287.20",198,21.60,21.60,10.00,10.00,0.06,-,-,237.60,216.00,12_14_2022
EHPL,37.01,242.00,261.30,242.00,261.30,261.17,"4,995.00",237.60,"1,304,520.50",283,23.70,19.30,9.97,7.98,0.05,-,-,261.30,216.00,12_15_2022
EHPL,43.67,242.00,261.30,242.00,261.30,261.17,"4,995.00",237.60,"1,304,520.50",283,23.70,19.30,9.97,7.98,0.05,-,-,261.30,216.00,12_16_2022
EHPL,43.67,242.00,261.30,242.00,261.30,261.17,"4,995.00",237.60,"1,304,520.50",283,23.70,19.30,9.97,7.98,0.05,-,-,261.30,216.00,12_17_2022
EHPL,43.45,266.50,287.40,266.50,287.40,287.25,"10,491.00",261.30,"3,013,554.40",535,26.10,20.90,9.99,7.84,0.05,-,-,287.40,216.00,12_18_2022
EHPL,46.62,293.10,293.10,258.70,264.50,269.20,"30,972.00",287.40,"8,337,683.30","1,874",-22.90,34.40,-7.97,13.30,-1.78,-,-,293.10,216.00,12_19_2022
EHPL,48.60,259.30,278.00,255.00,271.20,269.62,"4,630.00",264.50,"1,248,363.00",434,6.70,23.00,2.53,9.02,0.58,-,-,293.10,216.00,12_20_2022
EHPL,43.31,265.80,297.90,265.80,297.90,282.98,"5,545.00",271.20,"1,569,114.50",363,26.70,32.10,9.85,12.08,5.01,-,-,297.90,216.00,12_21_2022
EHPL,39.37,303.80,303.80,276.20,286.00,284.26,"9,063.00",297.90,"2,576,286.40",295,-11.90,27.60,-3.99,9.99,0.61,-,-,303.80,216.00,12_22_2022
EHPL,31.08,303.80,303.80,276.20,286.00,284.26,"9,063.00",297.90,"2,576,286.40",295,-11.90,27.60,-3.99,9.99,0.61,-,-,303.80,216.00,12_23_2022
EHPL,31.08,303.80,303.80,276.20,286.00,284.26,"9,063.00",297.90,"2,576,286.40",295,-11.90,27.60,-3.99,9.99,0.61,-,-,303.80,216.00,12_24_2022
EHPL,31.08,303.80,303.80,276.20,286.00,284.26,"9,063.00",297.90,"2,576,286.40",295,-11.90,27.60,-3.99,9.99,0.61,-,-,303.80,216.00,12_25_2022
EHPL,30.92,281.00,309.00,281.00,309.00,294.49,"9,815.00",286.00,"2,890,389.00",289,23.00,28.00,8.04,9.96,4.70,-,-,309.00,216.00,12_26_2022
EHPL,42.97,314.00,329.00,302.10,325.00,314.83,"11,845.00",309.00,"3,729,181.00",277,16.00,26.90,5.18,8.90,3.13,-,-,329.00,216.00,12_27_2022
EHPL,48.05,320.00,333.50,308.20,328.70,321.60,"6,972.00",325.00,"2,242,197.00",236,3.70,25.30,1.14,8.21,2.16,-,-,333.50,216.00,12_28_2022
EHPL,39.78,328.70,334.70,310.40,326.00,329.41,"7,217.00",328.70,"2,377,383.90",245,-2.70,24.30,-0.82,7.83,-1.05,-,-,334.70,216.00,12_29_2022
EHPL,42.60,328.70,334.70,310.40,326.00,329.41,"7,217.00",328.70,"2,377,383.90",245,-2.70,24.30,-0.82,7.83,-1.05,-,-,334.70,216.00,12_30_2022
EHPL,42.60,328.70,334.70,310.40,326.00,329.41,"7,217.00",328.70,"2,377,383.90",245,-2.70,24.30,-0.82,7.83,-1.05,-,-,334.70,216.00,12_31_2022
EHPL,43.77,325.00,340.60,321.10,327.00,327.08,"5,560.00",326.00,"1,818,557.90",192,1.00,19.50,0.31,6.07,-0.02,-,-,340.60,216.00,01_01_2023
EHPL,38.27,321.00,328.90,315.00,328.00,324.07,"10,919.00",327.00,"3,538,541.00",193,1.00,13.90,0.31,4.41,1.20,-,-,340.60,216.00,01_02_2023
EHPL,41.49,322.30,340.60,322.30,340.60,328.07,"5,410.00",328.00,"1,774,865.00",230,12.60,18.30,3.84,5.68,3.68,-,-,340.60,216.00,01_03_2023
EHPL,42.17,333.80,374.00,327.20,374.00,347.19,"10,673.00",340.60,"3,705,525.80",277,33.40,46.80,9.81,14.30,7.17,-,-,374.00,216.00,01_04_2023
EHPL,49.31,366.60,411.40,352.20,411.00,375.77,"7,940.00",374.00,"2,983,643.00",229,37.00,59.20,9.89,16.81,8.57,-,-,411.40,216.00,01_05_2023
EHPL,50.73,366.60,411.40,352.20,411.00,375.77,"7,940.00",374.00,"2,983,643.00",229,37.00,59.20,9.89,16.81,8.57,-,-,411.40,216.00,01_06_2023
EHPL,50.73,366.60,411.40,352.20,411.00,375.77,"7,940.00",374.00,"2,983,643.00",229,37.00,59.20,9.89,16.81,8.57,-,-,411.40,216.00,01_07_2023
EHPL,51.93,402.80,440.00,379.30,418.90,407.40,"9,461.00",411.00,"3,854,409.00",324,7.90,60.70,1.92,16.00,2.75,-,-,440.00,216.00,01_08_2023
EHPL,52.05,410.60,423.00,400.00,423.00,411.77,"9,039.00",418.90,"3,721,950.60",289,4.10,23.00,0.98,5.75,2.66,-,-,440.00,216.00,01_09_2023
EHPL,52.41,430.00,431.20,388.00,424.00,410.97,"10,210.00",423.00,"4,195,974.00",320,1.00,43.20,0.24,11.13,3.07,-,-,440.00,216.00,01_10_2023
EHPL,49.76,430.00,431.20,388.00,424.00,410.97,"10,210.00",423.00,"4,195,974.00",320,1.00,43.20,0.24,11.13,3.07,-,-,440.00,216.00,01_11_2023
