Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ENL,0.00,287.10,287.10,287.10,287.10,288.95,20.00,0.00,"5,779.00",3,287.10,0.00,0.00,0.00,-0.64,-,-,287.10,287.10,03_06_2022
ENL,42.46,292.80,298.60,292.80,298.60,293.17,34.00,287.10,"9,967.90",6,11.50,5.80,4.01,1.98,1.82,-,-,298.60,287.10,03_07_2022
ENL,54.53,292.80,298.60,292.80,298.60,293.17,34.00,287.10,"9,967.90",6,11.50,5.80,4.01,1.98,1.82,-,-,298.60,287.10,03_08_2022
ENL,54.08,304.50,310.50,304.50,310.50,304.72,27.00,298.60,"8,227.50",8,11.90,6.00,3.99,1.97,1.86,-,-,310.50,287.10,03_09_2022
ENL,48.03,316.70,341.50,316.70,341.50,329.71,70.00,310.50,"23,080.00",8,31.00,24.80,9.98,7.83,3.45,-,-,341.50,287.10,03_10_2022
ENL,55.43,316.70,341.50,316.70,341.50,329.71,70.00,310.50,"23,080.00",8,31.00,24.80,9.98,7.83,3.45,-,-,341.50,287.10,03_11_2022
ENL,55.43,316.70,341.50,316.70,341.50,329.71,70.00,310.50,"23,080.00",8,31.00,24.80,9.98,7.83,3.45,-,-,341.50,287.10,03_12_2022
ENL,57.38,348.30,375.60,348.30,375.60,362.32,51.00,341.50,"18,478.50",6,34.10,27.30,9.99,7.84,3.53,-,-,375.60,287.10,03_13_2022
ENL,57.12,383.10,390.70,383.10,390.70,386.90,20.00,375.60,"7,738.00",2,15.10,7.60,4.02,1.98,0.97,-,-,390.70,287.10,03_14_2022
ENL,55.49,398.50,429.70,398.50,429.70,426.37,230.00,390.70,"98,064.00",23,39.00,31.20,9.98,7.83,0.78,-,-,429.70,287.10,03_15_2022
ENL,55.48,438.20,472.60,438.20,472.60,469.47,270.00,429.70,"126,756.00",27,42.90,34.40,9.98,7.85,0.66,-,-,472.60,287.10,03_16_2022
ENL,53.75,438.20,472.60,438.20,472.60,469.47,270.00,429.70,"126,756.00",27,42.90,34.40,9.98,7.85,0.66,-,-,472.60,287.10,03_17_2022
ENL,53.75,438.20,472.60,438.20,472.60,469.47,270.00,429.70,"126,756.00",27,42.90,34.40,9.98,7.85,0.66,-,-,472.60,287.10,03_18_2022
ENL,53.75,438.20,472.60,438.20,472.60,469.47,270.00,429.70,"126,756.00",27,42.90,34.40,9.98,7.85,0.66,-,-,472.60,287.10,03_19_2022
ENL,56.02,482.00,519.80,482.00,519.80,518.82,950.00,472.60,"492,882.00",95,47.20,37.80,9.99,7.84,0.19,-,-,519.80,287.10,03_20_2022
ENL,54.64,530.10,571.70,530.10,571.70,570.67,"1,089.00",519.80,"621,461.30",111,51.90,41.60,9.98,7.85,0.18,-,-,571.70,287.10,03_21_2022
ENL,57.26,583.10,628.80,583.10,628.80,627.58,"1,300.00",571.70,"815,860.00",130,57.10,45.70,9.99,7.84,0.19,-,-,628.80,287.10,03_22_2022
ENL,54.63,641.30,691.60,641.30,691.60,690.76,"1,470.00",628.80,"1,015,417.00",147,62.80,50.30,9.99,7.84,0.12,-,-,691.60,287.10,03_23_2022
ENL,52.96,705.40,760.70,705.40,760.70,760.39,"4,370.00",691.60,"3,322,902.00",403,69.10,55.30,9.99,7.84,0.04,-,-,760.70,287.10,03_24_2022
ENL,52.96,705.40,760.70,705.40,760.70,760.39,"4,370.00",691.60,"3,322,902.00",403,69.10,55.30,9.99,7.84,0.04,-,-,760.70,287.10,03_24_2022
ENL,50.38,705.40,760.70,705.40,760.70,760.39,"4,370.00",691.60,"3,322,902.00",403,69.10,55.30,9.99,7.84,0.04,-,-,760.70,287.10,03_25_2022
ENL,50.38,705.40,760.70,705.40,760.70,760.39,"4,370.00",691.60,"3,322,902.00",403,69.10,55.30,9.99,7.84,0.04,-,-,760.70,287.10,03_26_2022
ENL,49.73,775.90,836.70,775.90,836.70,836.34,"8,392.00",760.70,"7,018,585.40",427,76.00,60.80,9.99,7.84,0.04,-,-,836.70,287.10,03_27_2022
ENL,48.90,853.40,920.30,853.40,920.30,919.93,"8,072.00",836.70,"7,425,682.60",385,83.60,66.90,9.99,7.84,0.04,-,-,920.30,287.10,03_28_2022
ENL,49.78,938.70,"1,012.30",938.70,"1,012.30","1,011.30","3,922.00",920.30,"3,966,329.10",392,92.00,73.60,10.00,7.84,0.10,-,-,"1,012.30",287.10,03_29_2022
ENL,44.69,"1,032.50","1,113.50","1,032.50","1,113.50","1,112.97","12,986.00","1,012.30","14,453,010.80",717,101.20,81.00,10.00,7.85,0.05,-,-,"1,113.50",287.10,03_30_2022
ENL,48.79,"1,135.70","1,224.80","1,056.50","1,224.80","1,163.85","79,378.00","1,113.50","92,384,248.00","5,360",111.30,168.30,10.00,15.93,4.98,-,-,"1,224.80",287.10,03_31_2022
ENL,47.37,"1,135.70","1,224.80","1,056.50","1,224.80","1,163.85","79,378.00","1,113.50","92,384,248.00","5,360",111.30,168.30,10.00,15.93,4.98,-,-,"1,224.80",287.10,04_01_2022
ENL,47.37,"1,135.70","1,224.80","1,056.50","1,224.80","1,163.85","79,378.00","1,113.50","92,384,248.00","5,360",111.30,168.30,10.00,15.93,4.98,-,-,"1,224.80",287.10,04_02_2022
ENL,45.67,"1,249.20","1,347.20","1,224.80","1,347.20","1,307.65","7,631.00","1,224.80","9,978,648.70",682,122.40,122.40,9.99,9.99,2.94,-,-,"1,347.20",287.10,04_03_2022
ENL,38.70,"1,373.00","1,481.90","1,220.00","1,470.00","1,351.51","47,292.00","1,347.20","63,915,583.60","2,615",122.80,261.90,9.12,21.47,8.06,-,-,"1,481.90",287.10,04_04_2022
ENL,45.44,"1,440.60","1,440.60","1,323.00","1,323.00","1,325.28","2,885.00","1,470.00","3,823,442.00",51,-147.00,117.60,-10.00,8.89,-0.17,-,-,"1,481.90",287.10,04_05_2022
ENL,34.61,"1,296.60","1,296.60","1,190.70","1,190.70","1,191.45","3,980.00","1,323.00","4,741,953.00",55,-132.30,105.90,-10.00,8.89,-0.06,-,-,"1,481.90",287.10,04_06_2022
ENL,34.72,"1,166.90","1,166.90","1,071.70","1,112.00","1,118.71","41,032.00","1,190.70","45,902,793.60","2,921",-78.70,95.20,-6.61,8.88,-0.60,-,-,"1,481.90",287.10,04_07_2022
ENL,42.60,"1,166.90","1,166.90","1,071.70","1,112.00","1,118.71","41,032.00","1,190.70","45,902,793.60","2,921",-78.70,95.20,-6.61,8.88,-0.60,-,-,"1,481.90",287.10,04_08_2022
