Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
FOWAD,47.57,"2,917.00","2,917.00","2,822.00","2,840.10","2,851.00","8,289.00","2,860.00","23,631,973.40",211,-19.90,95.00,-0.70,3.37,-0.38,"2,802.72","2,712.08","3,530.00","1,516.00",09_01_2021
FOWAD,54.43,"2,950.00","2,998.00","2,900.00","2,933.00","2,930.53","7,286.00","2,945.00","21,351,829.80",145,-12.00,98.00,-0.41,3.38,0.08,"2,819.88","2,788.87","3,530.00","1,570.00",11_03_2021
FOWAD,52.35,"2,950.00","2,998.00","2,900.00","2,933.00","2,930.53","7,286.00","2,945.00","21,351,829.80",145,-12.00,98.00,-0.41,3.38,0.08,"2,819.88","2,788.87","3,530.00","1,570.00",11_05_2021
FOWAD,52.35,"2,950.00","2,998.00","2,900.00","2,933.00","2,930.53","7,286.00","2,945.00","21,351,829.80",145,-12.00,98.00,-0.41,3.38,0.08,"2,819.88","2,788.87","3,530.00","1,570.00",11_06_2021
FOWAD,52.35,"2,950.00","2,998.00","2,900.00","2,933.00","2,930.53","7,286.00","2,945.00","21,351,829.80",145,-12.00,98.00,-0.41,3.38,0.08,"2,819.88","2,788.87","3,530.00","1,570.00",11_07_2021
FOWAD,53.13,"2,987.00","2,991.00","2,913.00","2,965.00","2,945.30","6,190.00","2,933.00","18,231,384.90",123,32.00,78.00,1.09,2.68,0.66,"2,820.22","2,788.73","3,530.00","1,570.00",11_08_2021
FOWAD,52.20,"2,964.00","2,990.00","2,865.10","2,879.00","2,916.68","11,349.00","2,965.00","33,101,381.40",211,-86.00,124.90,-2.90,4.36,-1.31,"2,820.30","2,786.73","3,530.00","1,590.00",11_09_2021
FOWAD,50.00,"2,964.00","2,990.00","2,865.10","2,879.00","2,916.68","11,349.00","2,965.00","33,101,381.40",211,-86.00,124.90,-2.90,4.36,-1.31,"2,820.30","2,786.73","3,530.00","1,590.00",11_10_2021
FOWAD,47.95,"2,826.00","2,874.90","2,800.00","2,802.00","2,828.49","4,423.00","2,879.00","12,510,428.70",140,-77.00,74.90,-2.67,2.68,-0.95,"2,819.45","2,784.50","3,530.00","1,630.00",11_11_2021
FOWAD,41.94,"2,826.00","2,874.90","2,800.00","2,802.00","2,828.49","4,423.00","2,879.00","12,510,428.70",140,-77.00,74.90,-2.67,2.68,-0.95,"2,819.45","2,784.50","3,530.00","1,630.00",11_12_2021
FOWAD,41.94,"2,826.00","2,874.90","2,800.00","2,802.00","2,828.49","4,423.00","2,879.00","12,510,428.70",140,-77.00,74.90,-2.67,2.68,-0.95,"2,819.45","2,784.50","3,530.00","1,630.00",11_13_2021
