Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GBBD85,0.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",07_22_2022
GBBD85,40.49,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,000.00","25,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,"1,000.00","1,000.00",07_23_2022
GBBD85,36.04,980.00,980.00,901.00,901.00,923.89,278.00,"1,000.00","256,841.50",9,-99.00,79.00,-9.90,8.77,-2.54,-,-,"1,000.00",901.00,09_22_2022
GBBD85,25.14,980.00,980.00,901.00,901.00,923.89,278.00,"1,000.00","256,841.50",9,-99.00,79.00,-9.90,8.77,-2.54,-,-,"1,000.00",901.00,09_23_2022
GBBD85,25.14,980.00,980.00,901.00,901.00,923.89,278.00,"1,000.00","256,841.50",9,-99.00,79.00,-9.90,8.77,-2.54,-,-,"1,000.00",901.00,09_24_2022
GBBD85,22.99,883.00,883.00,810.90,810.90,830.67,95.00,901.00,"78,913.50",9,-90.10,72.10,-10.00,8.89,-2.44,-,-,"1,000.00",810.90,09_27_2022
GBBD85,27.28,794.70,794.70,729.90,745.00,760.90,566.00,810.90,"430,666.60",26,-65.90,64.80,-8.13,8.88,-2.13,-,-,"1,000.00",729.90,10_10_2022
GBBD85,31.31,730.10,735.10,722.50,735.10,730.38,320.00,745.00,"233,720.00",13,-9.90,12.60,-1.33,1.74,0.64,-,-,"1,000.00",722.50,10_11_2022
GBBD85,29.33,729.10,745.00,729.10,745.00,736.27,249.00,735.10,"183,332.00",12,9.90,15.90,1.35,2.18,1.17,-,-,"1,000.00",722.50,10_12_2022
GBBD85,29.02,740.00,754.80,740.00,750.10,743.95,255.00,745.00,"189,708.00",8,5.10,14.80,0.68,2.00,0.82,-,-,"1,000.00",722.50,10_13_2022
GBBD85,35.95,740.00,754.80,740.00,750.10,743.95,255.00,745.00,"189,708.00",8,5.10,14.80,0.68,2.00,0.82,-,-,"1,000.00",722.50,10_14_2022
GBBD85,35.95,740.00,754.80,740.00,750.10,743.95,255.00,745.00,"189,708.00",8,5.10,14.80,0.68,2.00,0.82,-,-,"1,000.00",722.50,10_15_2022
GBBD85,36.07,737.80,762.00,737.70,762.00,741.37,265.00,750.10,"196,462.50",7,11.90,24.30,1.59,3.29,2.71,-,-,"1,000.00",722.50,10_16_2022
GBBD85,41.58,746.80,748.10,740.10,748.10,745.88,125.00,762.00,"93,235.50",7,-13.90,8.00,-1.82,1.08,0.30,-,-,"1,000.00",722.50,10_19_2022
GBBD85,37.56,748.00,762.90,748.00,760.00,758.48,150.00,748.10,"113,772.50",6,11.90,14.90,1.59,1.99,0.20,-,-,"1,000.00",722.50,10_20_2022
