Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GBBL,50.84,650.00,662.00,630.00,638.00,647.10,"203,727.00",640.00,"131,832,744.00","1,272",-2.00,32.00,-0.31,5.08,-1.43,459.24,411.09,750.00,232.00,09_01_2021
GBBL,66.71,655.00,662.00,631.20,635.00,642.30,"87,548.00",644.00,"56,232,119.70",570,-9.00,30.80,-1.40,4.88,-1.15,545.40,471.44,750.00,255.00,11_03_2021
GBBL,60.96,655.00,662.00,631.20,635.00,642.30,"87,548.00",644.00,"56,232,119.70",570,-9.00,30.80,-1.40,4.88,-1.15,545.40,471.44,750.00,255.00,11_05_2021
GBBL,60.96,655.00,662.00,631.20,635.00,642.30,"87,548.00",644.00,"56,232,119.70",570,-9.00,30.80,-1.40,4.88,-1.15,545.40,471.44,750.00,255.00,11_06_2021
GBBL,60.96,655.00,662.00,631.20,635.00,642.30,"87,548.00",644.00,"56,232,119.70",570,-9.00,30.80,-1.40,4.88,-1.15,545.40,471.44,750.00,255.00,11_07_2021
GBBL,61.75,647.70,647.70,621.00,621.00,632.59,"47,827.00",635.00,"30,254,964.10",376,-14.00,26.70,-2.20,4.30,-1.87,547.75,473.23,750.00,255.00,11_08_2021
GBBL,52.57,625.00,625.00,578.00,595.00,600.51,"143,590.00",621.00,"86,226,920.20","1,057",-26.00,47.00,-4.19,8.13,-0.93,549.87,474.87,750.00,255.00,11_09_2021
GBBL,50.72,625.00,625.00,578.00,595.00,600.51,"143,590.00",621.00,"86,226,920.20","1,057",-26.00,47.00,-4.19,8.13,-0.93,549.87,474.87,750.00,255.00,11_10_2021
GBBL,48.67,590.00,600.00,568.10,573.00,581.80,"101,907.00",595.00,"59,289,843.20",794,-22.00,31.90,-3.70,5.62,-1.54,551.79,476.27,750.00,255.00,11_11_2021
GBBL,46.04,590.00,600.00,568.10,573.00,581.80,"101,907.00",595.00,"59,289,843.20",794,-22.00,31.90,-3.70,5.62,-1.54,551.79,476.27,750.00,255.00,11_12_2021
GBBL,46.04,590.00,600.00,568.10,573.00,581.80,"101,907.00",595.00,"59,289,843.20",794,-22.00,31.90,-3.70,5.62,-1.54,551.79,476.27,750.00,255.00,11_13_2021
GBBL,43.99,575.00,597.90,567.00,588.00,584.36,"90,279.00",573.00,"52,755,054.10",664,15.00,30.90,2.62,5.45,0.62,553.82,477.77,750.00,255.00,11_14_2021
GBBL,44.11,598.00,624.00,590.00,616.80,612.92,"166,691.00",588.00,"102,168,137.40",871,28.80,34.00,4.90,5.76,0.63,556.11,479.43,750.00,255.00,11_15_2021
GBBL,51.32,623.00,632.90,616.00,627.90,624.53,"95,313.00",616.80,"59,525,367.50",612,11.10,16.90,1.80,2.74,0.54,558.43,481.14,750.00,255.00,11_16_2021
GBBL,56.62,634.00,660.00,628.00,644.00,648.28,"342,355.00",627.90,"221,940,817.30","1,885",16.10,32.00,2.56,5.10,-0.66,560.77,482.96,750.00,255.00,11_17_2021
GBBL,66.19,644.00,653.00,629.80,635.00,639.57,"218,938.00",644.00,"140,027,109.00","1,107",-9.00,23.20,-1.40,3.68,-0.72,563.07,484.73,750.00,255.00,11_18_2021
GBBL,61.56,644.00,653.00,629.80,635.00,639.57,"218,938.00",644.00,"140,027,109.00","1,107",-9.00,23.20,-1.40,3.68,-0.72,563.07,484.73,750.00,255.00,11_19_2021
GBBL,61.56,644.00,653.00,629.80,635.00,639.57,"218,938.00",644.00,"140,027,109.00","1,107",-9.00,23.20,-1.40,3.68,-0.72,563.07,484.73,750.00,255.00,11_20_2021
GBBL,56.86,625.00,642.00,625.00,626.20,632.54,"97,168.00",635.00,"61,462,771.20",524,-8.80,17.00,-1.39,2.72,-1.01,565.21,486.43,750.00,258.00,11_21_2021
GBBL,46.83,629.00,634.00,614.50,620.00,623.93,"78,118.00",626.20,"48,740,385.30",440,-6.20,19.50,-0.99,3.17,-0.63,567.33,488.09,750.00,258.00,11_22_2021
GBBL,44.27,618.00,620.00,599.00,605.00,606.00,"108,963.00",620.00,"66,032,078.30",688,-15.00,21.00,-2.42,3.51,-0.17,569.26,489.60,750.00,258.00,11_23_2021
GBBL,42.76,600.00,617.00,590.00,612.80,602.26,"94,282.00",605.00,"56,782,744.00",626,7.80,27.00,1.29,4.58,1.72,570.98,491.12,750.00,258.00,11_24_2021
GBBL,42.61,615.00,617.00,600.00,601.20,605.99,"61,346.00",612.80,"37,175,137.80",317,-11.60,17.00,-1.89,2.83,-0.80,572.53,492.64,750.00,258.00,11_25_2021
GBBL,40.82,615.00,617.00,600.00,601.20,605.99,"61,346.00",612.80,"37,175,137.80",317,-11.60,17.00,-1.89,2.83,-0.80,572.53,492.64,750.00,258.00,11_26_2021
GBBL,40.82,615.00,617.00,600.00,601.20,605.99,"61,346.00",612.80,"37,175,137.80",317,-11.60,17.00,-1.89,2.83,-0.80,572.53,492.64,750.00,258.00,11_27_2021
GBBL,37.92,590.00,598.00,570.00,570.00,580.13,"125,954.00",601.20,"73,069,189.90",881,-31.20,28.00,-5.19,4.91,-1.78,573.90,494.00,750.00,259.00,11_28_2021
GBBL,41.26,570.00,590.00,561.59,568.00,573.32,"87,802.00",570.00,"50,338,573.48",582,-2.00,28.41,-0.35,5.06,-0.94,575.05,495.34,750.00,259.00,11_29_2021
GBBL,38.71,579.00,579.00,558.00,568.00,565.02,"77,926.00",568.00,"44,029,509.00",469,0.00,21.00,0.00,3.76,0.53,575.91,496.73,750.00,259.00,11_30_2021
GBBL,37.42,574.00,580.00,570.10,573.00,575.31,"35,279.00",568.00,"20,296,196.90",252,5.00,9.90,0.88,1.74,-0.40,577.00,498.20,750.00,259.00,12_01_2021
GBBL,38.09,575.00,578.00,550.00,555.00,557.71,"61,397.00",573.00,"34,241,879.00",499,-18.00,28.00,-3.14,5.09,-0.49,577.97,499.54,750.00,259.00,12_02_2021
GBBL,44.50,575.00,578.00,550.00,555.00,557.71,"61,397.00",573.00,"34,241,879.00",499,-18.00,28.00,-3.14,5.09,-0.49,577.97,499.54,750.00,259.00,12_03_2021
GBBL,44.50,575.00,578.00,550.00,555.00,557.71,"61,397.00",573.00,"34,241,879.00",499,-18.00,28.00,-3.14,5.09,-0.49,577.97,499.54,750.00,259.00,12_04_2021
