Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GBBLPO,52.30,277.00,277.00,277.00,277.00,277.00,"35,000.00",277.00,"9,695,000.00",29,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,01_04_2022
GBBLPO,55.28,277.00,277.00,277.00,277.00,277.00,"75,000.00",277.00,"20,775,000.00",23,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,01_09_2022
GBBLPO,67.16,277.00,277.00,277.00,277.00,277.00,"16,676.00",277.00,"4,619,252.00",17,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,01_17_2022
GBBLPO,54.80,277.00,277.00,277.00,277.00,277.00,"137,607.00",277.00,"38,117,139.00",65,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,01_18_2022
GBBLPO,62.34,277.00,277.00,277.00,277.00,277.00,"4,000.00",277.00,"1,108,000.00",3,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,01_20_2022
GBBLPO,48.47,277.00,277.00,277.00,277.00,277.00,"4,000.00",277.00,"1,108,000.00",3,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,01_21_2022
GBBLPO,48.47,277.00,277.00,277.00,277.00,277.00,"4,000.00",277.00,"1,108,000.00",3,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,01_22_2022
GBBLPO,29.71,277.00,277.00,277.00,277.00,277.00,"6,500.00",277.00,"1,800,500.00",5,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,03_10_2022
GBBLPO,30.04,277.00,277.00,277.00,277.00,277.00,"6,500.00",277.00,"1,800,500.00",5,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,03_11_2022
GBBLPO,30.04,277.00,277.00,277.00,277.00,277.00,"6,500.00",277.00,"1,800,500.00",5,0.00,0.00,0.00,0.00,0.00,-,-,277.00,173.00,03_12_2022
GBBLPO,30.13,207.00,207.00,207.00,207.00,207.00,"174,000.00",207.00,"36,018,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,11_03_2022
GBBLPO,35.51,207.00,207.00,207.00,207.00,207.00,"174,000.00",207.00,"36,018,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,11_04_2022
GBBLPO,35.51,207.00,207.00,207.00,207.00,207.00,"174,000.00",207.00,"36,018,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,11_05_2022
GBBLPO,36.77,207.00,207.00,207.00,207.00,207.00,"105,582.00",207.00,"21,855,474.00",30,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,11_15_2022
GBBLPO,39.05,207.00,207.00,207.00,207.00,207.00,"62,682.00",207.00,"12,975,174.00",26,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,11_28_2022
GBBLPO,36.81,207.00,207.00,207.00,207.00,207.00,"72,219.00",207.00,"14,949,333.00",29,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,11_29_2022
GBBLPO,35.67,207.00,207.00,207.00,207.00,207.00,"89,400.00",207.00,"18,505,800.00",39,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,11_30_2022
GBBLPO,38.62,207.00,207.00,207.00,207.00,207.00,"43,400.00",207.00,"8,983,800.00",19,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,12_01_2022
GBBLPO,34.60,207.00,207.00,207.00,207.00,207.00,"43,400.00",207.00,"8,983,800.00",19,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,12_02_2022
GBBLPO,34.60,207.00,207.00,207.00,207.00,207.00,"43,400.00",207.00,"8,983,800.00",19,0.00,0.00,0.00,0.00,0.00,-,-,277.00,207.00,12_03_2022
GBBLPO,42.49,198.00,198.00,198.00,198.00,198.00,"64,662.00",198.00,"12,803,076.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.00,198.00,02_09_2023
GBBLPO,39.73,198.00,198.00,198.00,198.00,198.00,"64,662.00",198.00,"12,803,076.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.00,198.00,02_10_2023
GBBLPO,39.73,198.00,198.00,198.00,198.00,198.00,"64,662.00",198.00,"12,803,076.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.00,198.00,02_11_2023
GBBLPO,36.34,198.00,198.00,198.00,198.00,198.00,"82,038.00",198.00,"16,243,524.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.00,198.00,02_14_2023
GBBLPO,37.88,198.00,198.00,198.00,198.00,198.00,"96,500.00",198.00,"19,107,000.00",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.00,198.00,02_15_2023
