Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GBD80/81,49.63,"1,031.00","1,031.00","1,016.00","1,016.00","1,017.72","4,795.00","1,036.10","4,879,978.00",8,-20.10,15.00,-1.94,1.48,-0.17,-,-,"1,085.00","1,016.00",09_01_2021
GBD80/81,48.51,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00",25.00,"1,007.10","25,375.00",1,7.90,0.00,0.78,0.00,0.00,"1,048.75",-,"1,085.00","1,007.10",11_03_2021
GBD80/81,47.95,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00",25.00,"1,007.10","25,375.00",1,7.90,0.00,0.78,0.00,0.00,"1,048.75",-,"1,085.00","1,007.10",11_05_2021
GBD80/81,47.95,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00",25.00,"1,007.10","25,375.00",1,7.90,0.00,0.78,0.00,0.00,"1,048.75",-,"1,085.00","1,007.10",11_06_2021
GBD80/81,47.95,"1,015.00","1,015.00","1,015.00","1,015.00","1,015.00",25.00,"1,007.10","25,375.00",1,7.90,0.00,0.78,0.00,0.00,"1,048.75",-,"1,085.00","1,007.10",11_07_2021
GBD80/81,48.74,"1,005.10","1,005.10","1,005.10","1,005.10","1,005.10",25.00,"1,015.00","25,127.50",1,-9.90,0.00,-0.98,0.00,0.00,"1,048.41",-,"1,085.00","1,005.10",11_08_2021
GBD80/81,41.12,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,"1,005.10","25,000.00",1,-5.10,0.00,-0.51,0.00,0.00,"1,048.12",-,"1,085.00","1,000.00",11_14_2021
GBD80/81,37.85,"1,002.40","1,002.40","1,002.40","1,002.40","1,002.40",25.00,"1,000.00","25,060.00",1,2.40,0.00,0.24,0.00,0.00,"1,047.72",-,"1,085.00","1,000.00",11_21_2021
GBD80/81,45.95,"1,002.40","1,002.40","1,002.40","1,002.40","1,002.40",200.00,"1,002.40","200,480.00",5,0.00,0.00,0.00,0.00,0.00,"1,047.15",-,"1,085.00","1,000.00",11_22_2021
GBD80/81,46.52,"1,005.00","1,005.00","1,002.40","1,002.40","1,002.66","1,000.00","1,002.40","1,002,660.00",4,0.00,2.60,0.00,0.26,-0.03,"1,046.58",-,"1,085.00","1,000.00",11_30_2021
GBD80/81,51.77,"1,005.10","1,005.10","1,005.10","1,005.10","1,005.10",30.00,"1,002.40","30,153.00",1,2.70,0.00,0.27,0.00,0.00,"1,046.21",-,"1,085.00","1,000.00",12_02_2021
GBD80/81,47.05,"1,005.10","1,005.10","1,005.10","1,005.10","1,005.10",30.00,"1,002.40","30,153.00",1,2.70,0.00,0.27,0.00,0.00,"1,046.21",-,"1,085.00","1,000.00",12_03_2021
GBD80/81,47.05,"1,005.10","1,005.10","1,005.10","1,005.10","1,005.10",30.00,"1,002.40","30,153.00",1,2.70,0.00,0.27,0.00,0.00,"1,046.21",-,"1,085.00","1,000.00",12_04_2021
GBD80/81,44.09,"1,003.00","1,003.00","1,003.00","1,003.00","1,003.00",25.00,"1,005.10","25,075.00",1,-2.10,0.00,-0.21,0.00,0.00,"1,045.81",-,"1,085.00","1,000.00",12_06_2021
GBD80/81,40.93,"1,003.00","1,003.00","1,003.00","1,003.00","1,003.00",45.00,"1,003.00","45,135.00",1,0.00,0.00,0.00,0.00,0.00,"1,045.34",-,"1,085.00","1,000.00",12_23_2021
GBD80/81,47.52,"1,003.00","1,003.00","1,003.00","1,003.00","1,003.00",45.00,"1,003.00","45,135.00",1,0.00,0.00,0.00,0.00,0.00,"1,045.34",-,"1,085.00","1,000.00",12_24_2021
GBD80/81,47.52,"1,003.00","1,003.00","1,003.00","1,003.00","1,003.00",45.00,"1,003.00","45,135.00",1,0.00,0.00,0.00,0.00,0.00,"1,045.34",-,"1,085.00","1,000.00",12_25_2021
GBD80/81,49.42,"1,023.00","1,023.00","1,023.00","1,023.00","1,023.00",25.00,"1,003.00","25,575.00",1,20.00,0.00,1.99,0.00,0.00,"1,045.20",-,"1,085.00","1,000.00",01_02_2022
GBD80/81,54.12,"1,020.00","1,020.00","1,020.00","1,020.00","1,020.00",50.00,"1,023.00","51,000.00",1,-3.00,0.00,-0.29,0.00,0.00,"1,045.20",-,"1,085.00","1,000.00",01_04_2022
GBD80/81,54.81,"1,020.00","1,025.00","1,020.00","1,025.00","1,024.50",250.00,"1,020.00","256,125.00",3,5.00,5.00,0.49,0.49,0.05,"1,045.07",-,"1,085.00","1,000.00",01_06_2022
GBD80/81,57.36,"1,020.00","1,025.00","1,020.00","1,025.00","1,024.50",250.00,"1,020.00","256,125.00",3,5.00,5.00,0.49,0.49,0.05,"1,045.07",-,"1,085.00","1,000.00",01_07_2022
GBD80/81,57.36,"1,020.00","1,025.00","1,020.00","1,025.00","1,024.50",250.00,"1,020.00","256,125.00",3,5.00,5.00,0.49,0.49,0.05,"1,045.07",-,"1,085.00","1,000.00",01_08_2022
GBD80/81,59.03,"1,025.00","1,025.00","1,025.00","1,025.00","1,025.00",25.00,"1,025.00","25,625.00",1,0.00,0.00,0.00,0.00,0.00,"1,044.95",-,"1,085.00","1,000.00",01_10_2022
GBD80/81,54.89,"1,025.00","1,027.00","1,025.00","1,027.00","1,026.33",75.00,"1,025.00","76,975.00",2,2.00,2.00,0.20,0.20,0.06,"1,044.80",-,"1,085.00","1,000.00",01_11_2022
GBD80/81,56.04,"1,030.00","1,030.00","1,030.00","1,030.00","1,030.00",25.00,"1,027.00","25,750.00",1,3.00,0.00,0.29,0.00,0.00,"1,044.79",-,"1,085.00","1,000.00",01_13_2022
GBD80/81,58.12,"1,030.00","1,030.00","1,030.00","1,030.00","1,030.00",25.00,"1,027.00","25,750.00",1,3.00,0.00,0.29,0.00,0.00,"1,044.79",-,"1,085.00","1,000.00",01_14_2022
GBD80/81,58.12,"1,030.00","1,030.00","1,030.00","1,030.00","1,030.00",25.00,"1,027.00","25,750.00",1,3.00,0.00,0.29,0.00,0.00,"1,044.79",-,"1,085.00","1,000.00",01_15_2022
GBD80/81,59.32,"1,010.00","1,010.00",993.00,993.00,"1,001.00",30.00,"1,030.00","30,030.00",3,-37.00,17.00,-3.59,1.71,-0.81,"1,044.31",-,"1,085.00",993.00,01_16_2022
GBD80/81,46.46,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,993.00,"25,000.00",1,7.00,0.00,0.70,0.00,0.00,"1,044.06",-,"1,085.00",993.00,01_23_2022
GBD80/81,45.48,"1,001.00","1,001.00",996.00,996.00,999.33,75.00,"1,000.00","74,950.00",2,-4.00,5.00,-0.40,0.50,-0.33,"1,043.81",-,"1,085.00",993.00,01_24_2022
GBD80/81,45.34,977.00,990.00,977.00,990.00,984.09,55.00,996.00,"54,125.00",3,-6.00,13.00,-0.60,1.33,0.60,"1,043.40",-,"1,085.00",977.00,01_27_2022
GBD80/81,43.40,977.00,990.00,977.00,990.00,984.09,55.00,996.00,"54,125.00",3,-6.00,13.00,-0.60,1.33,0.60,"1,043.40",-,"1,085.00",977.00,01_28_2022
GBD80/81,43.40,977.00,990.00,977.00,990.00,984.09,55.00,996.00,"54,125.00",3,-6.00,13.00,-0.60,1.33,0.60,"1,043.40",-,"1,085.00",977.00,01_29_2022
GBD80/81,39.19,970.20,970.20,970.20,970.20,970.20,100.00,990.00,"97,020.00",1,-19.80,0.00,-2.00,0.00,0.00,"1,042.92",-,"1,085.00",970.20,02_14_2022
GBD80/81,36.45,951.00,951.00,951.00,951.00,951.00,10.00,970.20,"9,510.00",1,-19.20,0.00,-1.98,0.00,0.00,"1,042.14",-,"1,085.00",951.00,03_07_2022
GBD80/81,25.07,951.00,951.00,951.00,951.00,951.00,10.00,970.20,"9,510.00",1,-19.20,0.00,-1.98,0.00,0.00,"1,042.14",-,"1,085.00",951.00,03_08_2022
GBD80/81,24.62,946.00,946.00,932.00,932.00,937.29,170.00,951.00,"159,340.00",6,-19.00,14.00,-2.00,1.50,-0.57,"1,041.16",-,"1,085.00",932.00,03_09_2022
GBD80/81,35.17,940.60,940.60,940.60,940.60,940.60,50.00,932.00,"47,030.00",1,8.60,0.00,0.92,0.00,0.00,"1,040.25",-,"1,085.00",932.00,03_13_2022
GBD80/81,33.33,950.00,950.00,950.00,950.00,950.00,425.00,940.60,"403,750.00",2,9.40,0.00,1.00,0.00,0.00,"1,039.24",-,"1,085.00",932.00,03_15_2022
GBD80/81,47.63,969.00,988.30,969.00,988.30,978.65,50.00,950.00,"48,932.50",2,38.30,19.30,4.03,1.99,0.98,"1,038.64",-,"1,085.00",932.00,03_24_2022
GBD80/81,47.63,969.00,988.30,969.00,988.30,978.65,50.00,950.00,"48,932.50",2,38.30,19.30,4.03,1.99,0.98,"1,038.64",-,"1,085.00",932.00,03_24_2022
GBD80/81,49.51,969.00,988.30,969.00,988.30,978.65,50.00,950.00,"48,932.50",2,38.30,19.30,4.03,1.99,0.98,"1,038.64",-,"1,085.00",932.00,03_25_2022
GBD80/81,49.51,969.00,988.30,969.00,988.30,978.65,50.00,950.00,"48,932.50",2,38.30,19.30,4.03,1.99,0.98,"1,038.64",-,"1,085.00",932.00,03_26_2022
GBD80/81,50.08,989.90,989.90,989.90,989.90,989.90,200.00,988.30,"197,980.00",1,1.60,0.00,0.16,0.00,0.00,"1,038.05",-,"1,085.00",932.00,03_29_2022
GBD80/81,55.47,989.00,989.90,989.00,989.90,989.45,200.00,989.90,"197,890.00",2,0.00,0.90,0.00,0.09,0.05,"1,037.42",-,"1,085.00",932.00,03_30_2022
GBD80/81,53.47,987.00,987.00,987.00,987.00,987.00,40.00,989.90,"39,480.00",1,-2.90,0.00,-0.29,0.00,0.00,"1,036.76",-,"1,085.00",932.00,04_03_2022
GBD80/81,48.77,968.00,968.00,968.00,968.00,968.00,50.00,987.00,"48,400.00",1,-19.00,0.00,-1.93,0.00,0.00,"1,035.83",-,"1,085.00",932.00,04_11_2022
GBD80/81,29.38,970.00,970.00,970.00,970.00,970.00,25.00,968.00,"24,250.00",1,2.00,0.00,0.21,0.00,0.00,"1,034.96",-,"1,085.00",932.00,04_28_2022
GBD80/81,31.01,970.00,970.00,970.00,970.00,970.00,25.00,968.00,"24,250.00",1,2.00,0.00,0.21,0.00,0.00,"1,034.96",-,"1,085.00",932.00,04_29_2022
GBD80/81,31.01,970.00,970.00,970.00,970.00,970.00,25.00,968.00,"24,250.00",1,2.00,0.00,0.21,0.00,0.00,"1,034.96",-,"1,085.00",932.00,04_30_2022
GBD80/81,31.01,970.00,970.00,970.00,970.00,970.00,25.00,968.00,"24,250.00",1,2.00,0.00,0.21,0.00,0.00,"1,034.96",-,"1,085.00",932.00,05_01_2022
GBD80/81,32.41,975.00,975.00,975.00,975.00,975.00,25.00,970.00,"24,375.00",1,5.00,0.00,0.52,0.00,0.00,"1,034.25",-,"1,085.00",932.00,05_02_2022
GBD80/81,31.77,975.00,975.00,975.00,975.00,975.00,25.00,970.00,"24,375.00",1,5.00,0.00,0.52,0.00,0.00,"1,034.25",-,"1,085.00",932.00,05_03_2022
GBD80/81,30.43,955.50,955.50,955.50,955.50,955.50,25.00,975.00,"23,887.50",1,-19.50,0.00,-2.00,0.00,0.00,"1,033.46",-,"1,085.00",932.00,05_05_2022
