Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GBIME,47.10,445.00,457.00,444.30,450.00,451.57,"173,017.00",445.00,"78,130,050.60","1,485",5.00,12.70,1.12,2.86,-0.35,448.69,424.37,522.00,258.00,09_01_2021
GBIME,52.22,393.00,393.80,388.00,389.10,389.61,"57,598.00",389.70,"22,440,884.10",515,-0.60,5.80,-0.15,1.49,-0.13,440.57,440.93,522.00,278.00,11_03_2021
GBIME,53.96,393.00,393.80,388.00,389.10,389.61,"57,598.00",389.70,"22,440,884.10",515,-0.60,5.80,-0.15,1.49,-0.13,440.57,440.93,522.00,278.00,11_05_2021
GBIME,53.96,393.00,393.80,388.00,389.10,389.61,"57,598.00",389.70,"22,440,884.10",515,-0.60,5.80,-0.15,1.49,-0.13,440.57,440.93,522.00,278.00,11_06_2021
GBIME,53.96,393.00,393.80,388.00,389.10,389.61,"57,598.00",389.70,"22,440,884.10",515,-0.60,5.80,-0.15,1.49,-0.13,440.57,440.93,522.00,278.00,11_07_2021
GBIME,54.75,395.00,395.00,388.00,388.80,389.17,"32,764.00",389.10,"12,750,686.50",413,-0.30,7.00,-0.08,1.80,-0.09,440.27,440.87,522.00,292.00,11_08_2021
GBIME,57.18,386.00,387.00,378.00,380.00,381.67,"60,254.00",388.80,"22,997,375.40",588,-8.80,9.00,-2.26,2.38,-0.44,439.90,440.76,522.00,292.00,11_09_2021
GBIME,47.18,386.00,387.00,378.00,380.00,381.67,"60,254.00",388.80,"22,997,375.40",588,-8.80,9.00,-2.26,2.38,-0.44,439.90,440.76,522.00,292.00,11_10_2021
GBIME,45.13,380.00,382.00,373.00,375.00,375.42,"77,293.00",380.00,"29,017,408.70",649,-5.00,9.00,-1.32,2.41,-0.11,439.46,440.54,522.00,292.00,11_11_2021
GBIME,48.81,380.00,382.00,373.00,375.00,375.42,"77,293.00",380.00,"29,017,408.70",649,-5.00,9.00,-1.32,2.41,-0.11,439.46,440.54,522.00,292.00,11_12_2021
GBIME,48.81,380.00,382.00,373.00,375.00,375.42,"77,293.00",380.00,"29,017,408.70",649,-5.00,9.00,-1.32,2.41,-0.11,439.46,440.54,522.00,292.00,11_13_2021
