Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GBIMEP,41.68,162.00,162.00,162.00,162.00,162.00,"24,514.00",162.00,"3,971,268.00",2,0.00,0.00,0.00,0.00,0.00,160.73,-,171.00,147.00,11_15_2021
GBIMEP,44.82,162.00,162.00,162.00,162.00,162.00,"6,823.00",162.00,"1,105,326.00",3,0.00,0.00,0.00,0.00,0.00,160.62,-,171.00,147.00,11_23_2021
GBIMEP,35.38,162.00,162.00,162.00,162.00,162.00,"17,269.00",162.00,"2,797,578.00",1,0.00,0.00,0.00,0.00,0.00,160.50,-,171.00,147.00,11_28_2021
GBIMEP,32.15,165.00,165.00,165.00,165.00,165.00,"14,107.00",165.00,"2,327,655.00",1,0.00,0.00,0.00,0.00,0.00,160.41,175.87,171.00,150.00,04_20_2022
GBIMEP,36.32,165.00,165.00,165.00,165.00,165.00,"67,363.00",165.00,"11,114,895.00",2,0.00,0.00,0.00,0.00,0.00,160.32,176.08,171.00,150.00,04_24_2022
GBIMEP,40.39,161.70,161.70,161.70,161.70,161.70,"21,763.00",165.00,"3,519,077.10",1,-3.30,0.00,-2.00,0.00,0.00,160.20,176.27,171.00,150.00,05_02_2022
GBIMEP,30.45,161.70,161.70,161.70,161.70,161.70,"21,763.00",165.00,"3,519,077.10",1,-3.30,0.00,-2.00,0.00,0.00,160.20,176.27,171.00,150.00,05_03_2022
GBIMEP,29.11,161.70,161.70,161.70,161.70,161.70,"9,091.00",161.70,"1,470,014.70",1,0.00,0.00,0.00,0.00,0.00,160.08,176.45,171.00,153.00,05_05_2022
GBIMEP,25.14,161.70,161.70,161.70,161.70,161.70,"9,091.00",161.70,"1,470,014.70",1,0.00,0.00,0.00,0.00,0.00,160.08,176.45,171.00,153.00,05_06_2022
GBIMEP,25.14,161.70,161.70,161.70,161.70,161.70,"9,091.00",161.70,"1,470,014.70",1,0.00,0.00,0.00,0.00,0.00,160.08,176.45,171.00,153.00,05_07_2022
GBIMEP,25.99,161.70,161.70,161.70,161.70,161.70,"61,752.00",161.70,"9,985,298.40",1,0.00,0.00,0.00,0.00,0.00,159.96,176.64,171.00,153.00,05_10_2022
GBIMEP,32.57,161.70,161.70,161.70,161.70,161.70,"10,000.00",161.70,"1,617,000.00",1,0.00,0.00,0.00,0.00,0.00,159.84,176.83,171.00,153.00,05_20_2022
GBIMEP,25.32,161.70,161.70,161.70,161.70,161.70,"10,000.00",161.70,"1,617,000.00",1,0.00,0.00,0.00,0.00,0.00,159.84,176.83,171.00,153.00,05_21_2022
GBIMEP,25.32,161.70,161.70,161.70,161.70,161.70,"10,000.00",161.70,"1,617,000.00",1,0.00,0.00,0.00,0.00,0.00,159.84,176.83,171.00,153.00,05_22_2022
GBIMEP,23.05,161.70,161.70,161.70,161.70,115.00,"7,740.00",161.70,"890,100.00",2,0.00,0.00,0.00,0.00,28.88,159.72,177.01,171.00,153.00,06_07_2022
