Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GBLBS,42.65,"1,200.00","1,205.00","1,165.00","1,187.00","1,187.84","48,081.00","1,200.00","57,112,658.90",411,-13.00,40.00,-1.08,3.43,-0.07,"1,216.11","1,072.97","1,437.00",501.00,09_01_2021
GBLBS,60.75,"1,099.00","1,137.00","1,099.00","1,114.00","1,123.19","24,544.00","1,098.00","27,567,644.10",197,16.00,38.00,1.46,3.46,-0.83,"1,185.83","1,155.36","1,437.00",536.00,11_03_2021
GBLBS,56.60,"1,099.00","1,137.00","1,099.00","1,114.00","1,123.19","24,544.00","1,098.00","27,567,644.10",197,16.00,38.00,1.46,3.46,-0.83,"1,185.83","1,155.36","1,437.00",536.00,11_05_2021
GBLBS,56.60,"1,099.00","1,137.00","1,099.00","1,114.00","1,123.19","24,544.00","1,098.00","27,567,644.10",197,16.00,38.00,1.46,3.46,-0.83,"1,185.83","1,155.36","1,437.00",536.00,11_06_2021
GBLBS,56.60,"1,099.00","1,137.00","1,099.00","1,114.00","1,123.19","24,544.00","1,098.00","27,567,644.10",197,16.00,38.00,1.46,3.46,-0.83,"1,185.83","1,155.36","1,437.00",536.00,11_07_2021
GBLBS,57.39,"1,095.00","1,115.00","1,095.00","1,095.00","1,100.61","6,288.00","1,114.00","6,920,650.80",86,-19.00,20.00,-1.71,1.83,-0.51,"1,184.33","1,156.45","1,437.00",536.00,11_08_2021
GBLBS,48.87,"1,077.00","1,080.20","1,030.00","1,060.00","1,053.86","11,620.00","1,095.00","12,245,813.00",169,-35.00,50.20,-3.20,4.87,0.58,"1,182.54","1,156.85","1,437.00",537.00,11_09_2021
GBLBS,47.39,"1,077.00","1,080.20","1,030.00","1,060.00","1,053.86","11,620.00","1,095.00","12,245,813.00",169,-35.00,50.20,-3.20,4.87,0.58,"1,182.54","1,156.85","1,437.00",537.00,11_10_2021
GBLBS,45.34,"1,058.00","1,058.00","1,010.00","1,011.00","1,018.08","8,667.00","1,060.00","8,823,722.20",133,-49.00,48.00,-4.62,4.75,-0.70,"1,180.23","1,156.43","1,437.00",537.00,11_11_2021
GBLBS,42.74,"1,058.00","1,058.00","1,010.00","1,011.00","1,018.08","8,667.00","1,060.00","8,823,722.20",133,-49.00,48.00,-4.62,4.75,-0.70,"1,180.23","1,156.43","1,437.00",537.00,11_12_2021
GBLBS,42.74,"1,058.00","1,058.00","1,010.00","1,011.00","1,018.08","8,667.00","1,060.00","8,823,722.20",133,-49.00,48.00,-4.62,4.75,-0.70,"1,180.23","1,156.43","1,437.00",537.00,11_13_2021
GBLBS,40.69,"1,031.00","1,040.00","1,000.00","1,035.00","1,021.46","14,361.00","1,011.00","14,669,245.40",170,24.00,40.00,2.37,4.00,1.31,"1,178.07","1,155.94","1,437.00",537.00,11_14_2021
GBLBS,44.13,"1,050.00","1,055.00","1,035.00","1,050.00","1,045.05","4,682.00","1,035.00","4,892,944.90",96,15.00,20.00,1.45,1.93,0.47,"1,176.12","1,155.68","1,437.00",537.00,11_15_2021
GBLBS,40.21,"1,068.00","1,070.00","1,038.00","1,062.00","1,055.15","5,639.00","1,050.00","5,949,979.60",85,12.00,32.00,1.14,3.08,0.65,"1,174.32","1,155.88","1,437.00",537.00,11_16_2021
GBLBS,44.93,"1,065.00","1,086.40","1,062.00","1,062.00","1,069.93","11,359.00","1,062.00","12,153,294.00",105,0.00,24.40,0.00,2.30,-0.75,"1,172.37","1,156.23","1,437.00",537.00,11_17_2021
GBLBS,60.78,"1,041.00","1,070.00","1,039.00","1,039.20","1,053.07","5,849.00","1,062.00","6,159,427.50",86,-22.80,31.00,-2.15,2.98,-1.34,"1,170.14","1,155.89","1,437.00",537.00,11_18_2021
GBLBS,46.42,"1,041.00","1,070.00","1,039.00","1,039.20","1,053.07","5,849.00","1,062.00","6,159,427.50",86,-22.80,31.00,-2.15,2.98,-1.34,"1,170.14","1,155.89","1,437.00",537.00,11_19_2021
GBLBS,46.42,"1,041.00","1,070.00","1,039.00","1,039.20","1,053.07","5,849.00","1,062.00","6,159,427.50",86,-22.80,31.00,-2.15,2.98,-1.34,"1,170.14","1,155.89","1,437.00",537.00,11_20_2021
GBLBS,41.72,"1,030.00","1,044.00","1,026.00","1,027.00","1,031.97","2,064.00","1,039.20","2,129,978.00",61,-12.20,18.00,-1.17,1.75,-0.48,"1,167.50","1,155.26","1,437.00",541.00,11_21_2021
