Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GFCL,64.04,962.00,998.90,925.00,934.00,948.93,"80,582.00",980.00,"76,466,493.60",783,-46.00,73.90,-4.69,7.99,-1.60,514.88,422.64,"1,010.00",150.00,09_01_2021
GFCL,72.36,861.70,875.00,840.00,854.00,850.24,"114,092.00",844.90,"97,005,705.80",462,9.10,35.00,1.08,4.17,0.44,672.93,537.09,"1,010.00",186.00,11_03_2021
GFCL,66.15,861.70,875.00,840.00,854.00,850.24,"114,092.00",844.90,"97,005,705.80",462,9.10,35.00,1.08,4.17,0.44,672.93,537.09,"1,010.00",186.00,11_05_2021
GFCL,66.15,861.70,875.00,840.00,854.00,850.24,"114,092.00",844.90,"97,005,705.80",462,9.10,35.00,1.08,4.17,0.44,672.93,537.09,"1,010.00",186.00,11_06_2021
GFCL,66.15,861.70,875.00,840.00,854.00,850.24,"114,092.00",844.90,"97,005,705.80",462,9.10,35.00,1.08,4.17,0.44,672.93,537.09,"1,010.00",186.00,11_07_2021
GFCL,66.93,860.00,860.00,832.00,847.00,840.75,"27,853.00",854.00,"23,417,472.20",249,-7.00,28.00,-0.82,3.37,0.74,677.64,540.46,"1,010.00",186.00,11_08_2021
GFCL,60.78,851.00,851.00,783.00,789.00,804.89,"72,258.00",847.00,"58,159,477.70",698,-58.00,68.00,-6.85,8.68,-2.01,681.86,543.46,"1,010.00",186.00,11_09_2021
GFCL,58.68,851.00,851.00,783.00,789.00,804.89,"72,258.00",847.00,"58,159,477.70",698,-58.00,68.00,-6.85,8.68,-2.01,681.86,543.46,"1,010.00",186.00,11_10_2021
GFCL,56.63,775.00,820.00,743.00,820.00,764.52,"58,436.00",789.00,"44,675,282.70",543,31.00,77.00,3.93,10.36,6.77,686.31,546.56,"1,010.00",186.00,11_11_2021
GFCL,52.70,775.00,820.00,743.00,820.00,764.52,"58,436.00",789.00,"44,675,282.70",543,31.00,77.00,3.93,10.36,6.77,686.31,546.56,"1,010.00",186.00,11_12_2021
