Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GHL,53.02,434.20,469.20,434.20,453.00,452.54,"15,775.00",443.00,"7,138,787.50",197,10.00,35.00,2.26,8.06,0.10,272.64,222.37,555.90,61.00,09_01_2021
GHL,70.00,400.00,410.00,388.00,388.00,395.19,"8,877.00",397.90,"3,508,107.80",71,-9.90,22.00,-2.49,5.67,-1.85,345.71,280.81,555.90,100.00,11_03_2021
GHL,55.69,400.00,410.00,388.00,388.00,395.19,"8,877.00",397.90,"3,508,107.80",71,-9.90,22.00,-2.49,5.67,-1.85,345.71,280.81,555.90,100.00,11_05_2021
GHL,55.69,400.00,410.00,388.00,388.00,395.19,"8,877.00",397.90,"3,508,107.80",71,-9.90,22.00,-2.49,5.67,-1.85,345.71,280.81,555.90,100.00,11_06_2021
GHL,55.69,400.00,410.00,388.00,388.00,395.19,"8,877.00",397.90,"3,508,107.80",71,-9.90,22.00,-2.49,5.67,-1.85,345.71,280.81,555.90,100.00,11_07_2021
GHL,56.48,381.00,395.00,373.40,384.00,382.78,"9,020.00",388.00,"3,452,717.40",116,-4.00,21.60,-1.03,5.78,0.32,347.33,282.24,555.90,100.00,11_08_2021
GHL,54.44,384.00,384.00,357.70,359.00,362.92,"13,158.00",384.00,"4,775,270.80",133,-25.00,26.30,-6.51,7.35,-1.09,348.81,283.48,555.90,100.00,11_09_2021
GHL,53.31,384.00,384.00,357.70,359.00,362.92,"13,158.00",384.00,"4,775,270.80",133,-25.00,26.30,-6.51,7.35,-1.09,348.81,283.48,555.90,100.00,11_10_2021
GHL,51.26,351.90,358.00,343.00,349.00,349.62,"5,853.00",359.00,"2,046,321.00",93,-10.00,15.00,-2.79,4.37,-0.18,350.20,284.64,555.90,100.00,11_11_2021
GHL,38.59,351.90,358.00,343.00,349.00,349.62,"5,853.00",359.00,"2,046,321.00",93,-10.00,15.00,-2.79,4.37,-0.18,350.20,284.64,555.90,100.00,11_12_2021
GHL,38.59,351.90,358.00,343.00,349.00,349.62,"5,853.00",359.00,"2,046,321.00",93,-10.00,15.00,-2.79,4.37,-0.18,350.20,284.64,555.90,100.00,11_13_2021
GHL,36.54,350.00,357.00,341.00,341.20,348.33,"6,147.00",349.00,"2,141,189.90",76,-7.80,16.00,-2.23,4.69,-2.09,351.51,285.78,555.90,100.00,11_14_2021
GHL,37.57,348.00,369.10,348.00,367.00,363.60,"5,336.00",341.20,"1,940,191.00",82,25.80,21.10,7.56,6.06,0.93,352.93,287.08,555.90,100.00,11_15_2021
GHL,46.11,374.00,397.70,368.00,397.00,379.62,"7,780.00",367.00,"2,953,455.50",93,30.00,29.70,8.17,8.07,4.38,354.48,288.56,555.90,100.00,11_16_2021
GHL,59.73,400.00,420.00,396.00,397.00,405.35,"15,667.00",397.00,"6,350,582.00",189,0.00,24.00,0.00,6.06,-2.10,356.08,290.05,555.90,100.00,11_17_2021
GHL,66.61,390.00,400.00,379.00,386.00,387.25,"11,591.00",397.00,"4,488,632.00",119,-11.00,21.00,-2.77,5.54,-0.32,357.55,291.45,555.90,100.00,11_18_2021
GHL,62.61,390.00,400.00,379.00,386.00,387.25,"11,591.00",397.00,"4,488,632.00",119,-11.00,21.00,-2.77,5.54,-0.32,357.55,291.45,555.90,100.00,11_19_2021
GHL,62.61,390.00,400.00,379.00,386.00,387.25,"11,591.00",397.00,"4,488,632.00",119,-11.00,21.00,-2.77,5.54,-0.32,357.55,291.45,555.90,100.00,11_20_2021
GHL,57.91,386.00,393.70,378.80,379.00,381.73,"4,800.00",386.00,"1,832,293.00",64,-7.00,14.90,-1.81,3.93,-0.72,358.78,292.81,555.90,100.00,11_21_2021
GHL,48.23,386.00,398.00,372.00,392.00,390.85,"13,493.00",379.00,"5,273,741.30",133,13.00,26.00,3.43,6.99,0.29,360.18,294.26,555.90,100.00,11_22_2021
GHL,51.23,384.20,399.00,376.60,377.30,383.49,"7,500.00",392.00,"2,876,180.90",79,-14.70,22.40,-3.75,5.95,-1.64,361.50,295.64,555.90,100.00,11_23_2021
GHL,45.88,376.00,398.40,364.00,390.40,384.44,"11,615.00",377.30,"4,465,300.00",114,13.10,34.40,3.47,9.45,1.53,362.85,297.07,555.90,100.00,11_24_2021
