Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GIBF1,0.00,10.00,10.00,9.00,9.00,9.58,900.00,10.00,"8,619.00",8,-1.00,1.00,-10.00,11.11,-6.41,-,-,10.00,9.00,09_28_2022
GIBF1,34.61,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,09_29_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,09_30_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_01_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_02_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_03_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_04_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_05_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_06_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_07_2022
GIBF1,28.34,8.82,8.82,8.65,8.70,8.66,"8,800.00",9.00,"76,185.00",43,-0.30,0.17,-3.33,1.97,0.49,-,-,10.00,8.65,10_08_2022
GIBF1,31.13,8.53,8.53,8.10,8.31,8.19,"3,200.00",8.70,"26,221.00",26,-0.39,0.43,-4.48,5.31,1.40,-,-,10.00,8.10,10_09_2022
GIBF1,27.43,8.31,8.60,8.31,8.60,8.42,"1,800.00",8.31,"15,158.00",15,0.29,0.29,3.49,3.49,2.08,-,-,10.00,8.10,10_10_2022
GIBF1,25.69,8.44,8.47,8.30,8.47,8.41,"4,854.00",8.60,"40,813.38",21,-0.13,0.17,-1.51,2.05,0.73,-,-,10.00,8.10,10_11_2022
GIBF1,29.31,8.31,8.31,8.15,8.15,8.26,"1,000.00",8.47,"8,263.00",8,-0.32,0.16,-3.78,1.96,-1.39,-,-,10.00,8.10,10_12_2022
GIBF1,25.82,8.15,8.21,8.01,8.08,8.10,"1,200.00",8.15,"9,718.00",12,-0.07,0.20,-0.86,2.50,-0.23,-,-,10.00,8.01,10_13_2022
GIBF1,32.28,8.15,8.21,8.01,8.08,8.10,"1,200.00",8.15,"9,718.00",12,-0.07,0.20,-0.86,2.50,-0.23,-,-,10.00,8.01,10_14_2022
