Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GIMES1,41.88,22.95,22.99,22.51,22.51,22.63,"173,080.00",22.59,"3,917,493.40",48,-0.08,0.48,-0.35,2.13,-0.55,18.63,16.69,25.09,8.75,09_01_2021
GIMES1,55.40,21.50,21.50,20.98,21.29,21.24,"129,487.00",21.50,"2,750,279.67",53,-0.21,0.52,-0.98,2.48,0.24,20.39,18.64,25.09,9.91,11_03_2021
GIMES1,48.84,21.50,21.50,20.98,21.29,21.24,"129,487.00",21.50,"2,750,279.67",53,-0.21,0.52,-0.98,2.48,0.24,20.39,18.64,25.09,9.91,11_05_2021
GIMES1,48.84,21.50,21.50,20.98,21.29,21.24,"129,487.00",21.50,"2,750,279.67",53,-0.21,0.52,-0.98,2.48,0.24,20.39,18.64,25.09,9.91,11_06_2021
GIMES1,48.84,21.50,21.50,20.98,21.29,21.24,"129,487.00",21.50,"2,750,279.67",53,-0.21,0.52,-0.98,2.48,0.24,20.39,18.64,25.09,9.91,11_07_2021
GIMES1,49.62,21.30,21.42,21.20,21.20,21.29,"83,270.00",21.29,"1,773,196.66",37,-0.09,0.22,-0.42,1.04,-0.45,20.43,18.68,25.09,9.91,11_08_2021
GIMES1,46.01,21.40,21.45,21.10,21.10,21.26,"195,885.00",21.20,"4,163,589.00",80,-0.10,0.35,-0.47,1.66,-0.74,20.47,18.72,25.09,9.95,11_09_2021
GIMES1,45.64,21.40,21.45,21.10,21.10,21.26,"195,885.00",21.20,"4,163,589.00",80,-0.10,0.35,-0.47,1.66,-0.74,20.47,18.72,25.09,9.95,11_10_2021
GIMES1,43.59,21.39,21.39,20.91,20.91,21.02,"466,797.00",21.10,"9,812,395.25",99,-0.19,0.48,-0.90,2.30,-0.53,20.51,18.76,25.09,9.96,11_11_2021
GIMES1,44.71,21.39,21.39,20.91,20.91,21.02,"466,797.00",21.10,"9,812,395.25",99,-0.19,0.48,-0.90,2.30,-0.53,20.51,18.76,25.09,9.96,11_12_2021
GIMES1,44.71,21.39,21.39,20.91,20.91,21.02,"466,797.00",21.10,"9,812,395.25",99,-0.19,0.48,-0.90,2.30,-0.53,20.51,18.76,25.09,9.96,11_13_2021
GIMES1,42.66,20.95,21.10,20.91,20.91,20.99,"124,730.00",20.91,"2,617,563.05",62,0.00,0.19,0.00,0.91,-0.36,20.55,18.80,25.09,10.67,11_14_2021
GIMES1,38.45,21.10,21.10,20.91,20.97,20.97,"73,720.00",20.91,"1,546,276.30",43,0.06,0.19,0.29,0.91,-0.02,20.59,18.84,25.09,10.67,11_15_2021
GIMES1,39.06,20.97,21.10,20.97,21.00,21.00,"190,428.00",20.97,"3,998,174.35",46,0.03,0.13,0.14,0.62,0.02,20.63,18.89,25.09,10.67,11_16_2021
GIMES1,49.92,21.15,21.40,21.00,21.22,21.17,"110,080.00",21.00,"2,330,641.94",40,0.22,0.40,1.05,1.90,0.22,20.67,18.93,25.09,10.67,11_17_2021
GIMES1,55.44,20.80,21.37,20.80,21.18,21.18,"174,674.00",21.22,"3,700,379.50",44,-0.04,0.57,-0.19,2.74,-0.02,20.71,18.97,25.09,10.67,11_18_2021
GIMES1,53.42,20.80,21.37,20.80,21.18,21.18,"174,674.00",21.22,"3,700,379.50",44,-0.04,0.57,-0.19,2.74,-0.02,20.71,18.97,25.09,10.67,11_19_2021
GIMES1,53.42,20.80,21.37,20.80,21.18,21.18,"174,674.00",21.22,"3,700,379.50",44,-0.04,0.57,-0.19,2.74,-0.02,20.71,18.97,25.09,10.67,11_20_2021
GIMES1,48.72,21.40,21.48,21.01,21.12,21.12,"175,480.00",21.18,"3,706,987.50",45,-0.06,0.47,-0.28,2.24,-0.02,20.74,19.01,25.09,10.67,11_21_2021
GIMES1,46.79,21.40,21.45,21.00,21.11,21.20,"895,414.00",21.12,"18,987,021.86",85,-0.01,0.45,-0.05,2.14,-0.45,20.78,19.05,25.09,10.67,11_22_2021
GIMES1,54.77,21.30,21.90,21.14,21.42,21.44,"171,366.00",21.11,"3,673,979.34",80,0.31,0.76,1.47,3.60,-0.09,20.82,19.09,25.09,10.67,11_23_2021
GIMES1,49.50,21.00,21.26,20.70,21.21,21.08,"93,100.00",21.42,"1,962,293.00",46,-0.21,0.56,-0.98,2.71,0.63,20.86,19.12,25.09,10.67,11_24_2021
GIMES1,46.73,21.63,21.75,21.35,21.50,21.53,"438,895.00",21.21,"9,447,752.00",94,0.29,0.40,1.37,1.87,-0.12,20.90,19.15,25.09,10.67,11_25_2021
GIMES1,64.14,21.63,21.75,21.35,21.50,21.53,"438,895.00",21.21,"9,447,752.00",94,0.29,0.40,1.37,1.87,-0.12,20.90,19.15,25.09,10.67,11_26_2021
GIMES1,64.14,21.63,21.75,21.35,21.50,21.53,"438,895.00",21.21,"9,447,752.00",94,0.29,0.40,1.37,1.87,-0.12,20.90,19.15,25.09,10.67,11_27_2021
GIMES1,61.24,21.50,21.55,21.00,21.31,21.21,"453,319.00",21.50,"9,614,172.88",92,-0.19,0.55,-0.88,2.62,0.48,20.93,19.19,25.09,10.67,11_28_2021
GIMES1,60.80,20.90,21.40,20.50,21.30,21.04,"229,199.00",21.31,"4,822,091.02",72,-0.01,0.90,-0.05,4.39,1.23,20.97,19.22,25.09,10.67,11_29_2021
GIMES1,39.85,21.60,21.90,20.88,20.99,21.14,"288,610.00",21.30,"6,100,114.92",123,-0.31,1.02,-1.46,4.89,-0.70,20.99,19.25,25.09,10.67,11_30_2021
GIMES1,40.26,21.38,21.39,21.00,21.14,21.12,"261,751.00",20.99,"5,528,712.33",110,0.15,0.39,0.71,1.86,0.09,21.02,19.28,25.09,10.67,12_01_2021
GIMES1,40.14,21.44,21.44,20.98,21.08,21.08,"354,734.00",21.14,"7,476,187.85",106,-0.06,0.46,-0.28,2.19,0.02,21.04,19.31,25.09,10.67,12_02_2021
GIMES1,42.67,21.44,21.44,20.98,21.08,21.08,"354,734.00",21.14,"7,476,187.85",106,-0.06,0.46,-0.28,2.19,0.02,21.04,19.31,25.09,10.67,12_03_2021
