Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GLH,45.79,513.00,555.00,512.00,525.00,527.90,"19,194.00",519.00,"10,132,605.50",439,6.00,43.00,1.16,8.40,-0.55,-,-,657.00,299.00,09_01_2021
GLH,64.14,540.00,550.00,518.70,520.00,527.95,"6,672.00",540.00,"3,522,501.50",163,-20.00,31.30,-3.70,6.03,-1.53,447.51,-,657.00,299.00,11_03_2021
GLH,56.90,540.00,550.00,518.70,520.00,527.95,"6,672.00",540.00,"3,522,501.50",163,-20.00,31.30,-3.70,6.03,-1.53,447.51,-,657.00,299.00,11_05_2021
GLH,56.90,540.00,550.00,518.70,520.00,527.95,"6,672.00",540.00,"3,522,501.50",163,-20.00,31.30,-3.70,6.03,-1.53,447.51,-,657.00,299.00,11_06_2021
GLH,56.90,540.00,550.00,518.70,520.00,527.95,"6,672.00",540.00,"3,522,501.50",163,-20.00,31.30,-3.70,6.03,-1.53,447.51,-,657.00,299.00,11_07_2021
GLH,57.69,530.40,540.00,506.00,506.00,517.41,"17,352.00",520.00,"8,978,169.00",210,-14.00,34.00,-2.69,6.72,-2.26,448.49,-,657.00,299.00,11_08_2021
GLH,54.41,506.00,508.00,470.50,481.00,484.97,"14,060.00",506.00,"6,818,645.10",244,-25.00,37.50,-4.94,7.97,-0.82,449.30,-,657.00,299.00,11_09_2021
GLH,50.04,506.00,508.00,470.50,481.00,484.97,"14,060.00",506.00,"6,818,645.10",244,-25.00,37.50,-4.94,7.97,-0.82,449.30,-,657.00,299.00,11_10_2021
GLH,47.99,471.40,475.40,454.00,460.00,461.56,"8,230.00",481.00,"3,798,628.50",189,-21.00,21.40,-4.37,4.71,-0.34,449.92,-,657.00,299.00,11_11_2021
GLH,45.57,471.40,475.40,454.00,460.00,461.56,"8,230.00",481.00,"3,798,628.50",189,-21.00,21.40,-4.37,4.71,-0.34,449.92,-,657.00,299.00,11_12_2021
GLH,45.57,471.40,475.40,454.00,460.00,461.56,"8,230.00",481.00,"3,798,628.50",189,-21.00,21.40,-4.37,4.71,-0.34,449.92,-,657.00,299.00,11_13_2021
GLH,43.52,460.00,487.00,451.00,468.00,461.19,"6,709.00",460.00,"3,094,145.00",222,8.00,36.00,1.74,7.98,1.45,450.54,-,657.00,299.00,11_14_2021
