Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GMFBS,43.75,"1,650.00","1,665.00","1,600.00","1,601.00","1,618.83","4,372.00","1,640.00","7,077,521.00",67,-39.00,65.00,-2.38,4.06,-1.11,"1,671.42","1,569.70","1,996.00",783.00,09_01_2021
GMFBS,60.38,"1,641.10","1,641.10","1,585.00","1,608.00","1,595.74",945.00,"1,609.00","1,507,972.00",20,-1.00,56.10,-0.06,3.54,0.76,"1,651.59","1,644.37","1,996.00",820.00,11_03_2021
GMFBS,49.39,"1,641.10","1,641.10","1,585.00","1,608.00","1,595.74",945.00,"1,609.00","1,507,972.00",20,-1.00,56.10,-0.06,3.54,0.76,"1,651.59","1,644.37","1,996.00",820.00,11_05_2021
GMFBS,49.39,"1,641.10","1,641.10","1,585.00","1,608.00","1,595.74",945.00,"1,609.00","1,507,972.00",20,-1.00,56.10,-0.06,3.54,0.76,"1,651.59","1,644.37","1,996.00",820.00,11_06_2021
GMFBS,49.39,"1,641.10","1,641.10","1,585.00","1,608.00","1,595.74",945.00,"1,609.00","1,507,972.00",20,-1.00,56.10,-0.06,3.54,0.76,"1,651.59","1,644.37","1,996.00",820.00,11_07_2021
GMFBS,50.18,"1,580.00","1,610.00","1,568.00","1,568.00","1,584.89",659.00,"1,608.00","1,044,445.00",22,-40.00,42.00,-2.49,2.68,-1.08,"1,650.49","1,643.91","1,996.00",820.00,11_08_2021
GMFBS,48.07,"1,568.00","1,568.00","1,508.00","1,511.00","1,526.97",624.00,"1,568.00","952,827.60",23,-57.00,60.00,-3.64,3.98,-1.06,"1,649.09","1,642.22","1,996.00",820.00,11_09_2021
GMFBS,44.31,"1,568.00","1,568.00","1,508.00","1,511.00","1,526.97",624.00,"1,568.00","952,827.60",23,-57.00,60.00,-3.64,3.98,-1.06,"1,649.09","1,642.22","1,996.00",820.00,11_10_2021
GMFBS,42.26,"1,515.00","1,530.00","1,425.00","1,530.00","1,455.93","2,026.00","1,511.00","2,949,723.50",59,19.00,105.00,1.26,7.37,4.84,"1,647.94","1,640.37","1,996.00",820.00,11_11_2021
GMFBS,46.38,"1,515.00","1,530.00","1,425.00","1,530.00","1,455.93","2,026.00","1,511.00","2,949,723.50",59,19.00,105.00,1.26,7.37,4.84,"1,647.94","1,640.37","1,996.00",820.00,11_12_2021
