Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GMFIL,62.08,710.00,730.00,670.00,670.00,698.22,"102,774.00",714.80,"71,758,867.50",583,-44.80,60.00,-6.27,8.96,-4.21,400.95,337.54,773.00,122.00,09_01_2021
GMFIL,66.03,607.00,607.00,577.00,578.20,581.92,"34,382.00",596.00,"20,007,435.00",152,-17.80,30.00,-2.99,5.20,-0.64,507.52,413.66,773.00,179.00,11_03_2021
GMFIL,59.59,607.00,607.00,577.00,578.20,581.92,"34,382.00",596.00,"20,007,435.00",152,-17.80,30.00,-2.99,5.20,-0.64,507.52,413.66,773.00,179.00,11_05_2021
GMFIL,59.59,607.00,607.00,577.00,578.20,581.92,"34,382.00",596.00,"20,007,435.00",152,-17.80,30.00,-2.99,5.20,-0.64,507.52,413.66,773.00,179.00,11_06_2021
GMFIL,59.59,607.00,607.00,577.00,578.20,581.92,"34,382.00",596.00,"20,007,435.00",152,-17.80,30.00,-2.99,5.20,-0.64,507.52,413.66,773.00,179.00,11_07_2021
GMFIL,60.38,589.70,590.00,574.20,580.00,581.34,"7,850.00",578.20,"4,563,487.00",78,1.80,15.80,0.31,2.75,-0.23,510.39,415.71,773.00,179.00,11_08_2021
GMFIL,53.32,580.00,580.00,535.00,550.00,549.39,"38,906.00",580.00,"21,374,519.00",218,-30.00,45.00,-5.17,8.41,0.11,513.00,417.57,773.00,179.00,11_09_2021
GMFIL,55.59,580.00,580.00,535.00,550.00,549.39,"38,906.00",580.00,"21,374,519.00",218,-30.00,45.00,-5.17,8.41,0.11,513.00,417.57,773.00,179.00,11_10_2021
GMFIL,53.54,540.00,548.00,522.00,525.00,530.99,"35,723.00",550.00,"18,968,640.00",201,-25.00,26.00,-4.55,4.98,-1.14,515.27,419.25,773.00,184.00,11_11_2021
GMFIL,51.09,540.00,548.00,522.00,525.00,530.99,"35,723.00",550.00,"18,968,640.00",201,-25.00,26.00,-4.55,4.98,-1.14,515.27,419.25,773.00,184.00,11_12_2021
GMFIL,51.09,540.00,548.00,522.00,525.00,530.99,"35,723.00",550.00,"18,968,640.00",201,-25.00,26.00,-4.55,4.98,-1.14,515.27,419.25,773.00,184.00,11_13_2021
GMFIL,49.04,535.50,546.00,520.00,530.40,531.94,"11,854.00",525.00,"6,305,603.20",110,5.40,26.00,1.03,5.00,-0.29,517.37,421.00,773.00,184.00,11_14_2021
GMFIL,45.07,536.00,555.00,536.00,546.00,545.17,"16,565.00",530.40,"9,030,764.00",99,15.60,19.00,2.94,3.54,0.15,519.60,422.73,773.00,184.00,11_15_2021
GMFIL,46.55,547.00,567.00,546.00,567.00,556.04,"25,514.00",546.00,"14,186,902.50",151,21.00,21.00,3.85,3.85,1.93,521.82,424.59,773.00,184.00,11_16_2021
GMFIL,54.90,571.00,585.00,545.00,545.00,573.17,"31,590.00",567.00,"18,106,476.00",154,-22.00,40.00,-3.88,7.34,-5.17,523.95,426.37,773.00,184.00,11_17_2021
GMFIL,58.71,545.00,570.00,545.00,563.90,560.56,"39,573.00",545.00,"22,182,911.40",247,18.90,25.00,3.47,4.59,0.59,526.23,428.21,773.00,184.00,11_18_2021
GMFIL,59.67,545.00,570.00,545.00,563.90,560.56,"39,573.00",545.00,"22,182,911.40",247,18.90,25.00,3.47,4.59,0.59,526.23,428.21,773.00,184.00,11_19_2021
GMFIL,59.67,545.00,570.00,545.00,563.90,560.56,"39,573.00",545.00,"22,182,911.40",247,18.90,25.00,3.47,4.59,0.59,526.23,428.21,773.00,184.00,11_20_2021
GMFIL,54.97,560.00,572.00,554.00,564.00,561.04,"10,949.00",563.90,"6,142,814.00",82,0.10,18.00,0.02,3.25,0.53,528.31,430.03,773.00,184.00,11_21_2021
GMFIL,47.63,571.00,571.00,547.00,553.00,553.38,"10,828.00",564.00,"5,991,970.00",97,-11.00,24.00,-1.95,4.39,-0.07,530.36,431.81,773.00,184.00,11_22_2021
GMFIL,44.64,553.00,553.00,525.00,530.00,534.24,"30,934.00",553.00,"16,526,155.40",180,-23.00,28.00,-4.16,5.33,-0.80,531.97,433.45,773.00,184.00,11_23_2021
GMFIL,49.10,521.00,561.00,519.40,545.00,534.94,"14,642.00",530.00,"7,832,651.10",130,15.00,41.60,2.83,8.01,1.85,533.57,435.18,773.00,184.00,11_24_2021
GMFIL,41.72,555.00,563.00,532.00,539.00,542.09,"19,423.00",545.00,"10,528,991.00",93,-6.00,31.00,-1.10,5.83,-0.57,535.22,436.91,773.00,184.00,11_25_2021
GMFIL,42.58,555.00,563.00,532.00,539.00,542.09,"19,423.00",545.00,"10,528,991.00",93,-6.00,31.00,-1.10,5.83,-0.57,535.22,436.91,773.00,184.00,11_26_2021
GMFIL,42.58,555.00,563.00,532.00,539.00,542.09,"19,423.00",545.00,"10,528,991.00",93,-6.00,31.00,-1.10,5.83,-0.57,535.22,436.91,773.00,184.00,11_27_2021
GMFIL,39.68,529.00,539.30,517.00,519.00,524.06,"22,942.00",539.00,"12,022,953.80",155,-20.00,22.30,-3.71,4.31,-0.97,536.75,438.56,773.00,184.00,11_28_2021
GMFIL,40.09,525.00,540.00,516.00,516.60,527.05,"10,190.00",519.00,"5,370,634.40",96,-2.40,24.00,-0.46,4.65,-2.02,538.19,440.17,773.00,184.00,11_29_2021
GMFIL,43.74,526.90,526.90,499.10,505.00,506.59,"24,461.00",516.60,"12,391,584.50",170,-11.60,27.80,-2.25,5.57,-0.31,539.36,441.76,773.00,184.00,11_30_2021
GMFIL,42.18,515.10,525.00,505.00,512.60,514.05,"6,713.00",505.00,"3,450,798.50",50,7.60,20.00,1.50,3.96,-0.28,540.55,443.44,773.00,184.00,12_01_2021
GMFIL,41.81,513.00,513.00,486.00,488.10,497.68,"25,066.00",512.60,"12,474,745.50",171,-24.50,27.00,-4.78,5.56,-1.96,541.48,444.92,773.00,184.00,12_02_2021
