Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GRDBL,49.18,474.00,490.00,465.00,473.00,475.47,"34,918.00",474.00,"16,602,388.50",202,-1.00,25.00,-0.21,5.38,-0.52,303.31,257.24,537.90,108.00,09_01_2021
GRDBL,66.62,416.00,449.00,416.00,435.10,437.77,"47,528.00",415.00,"20,806,482.90",299,20.10,33.00,4.84,7.93,-0.61,376.88,312.15,537.90,129.00,11_03_2021
GRDBL,67.77,416.00,449.00,416.00,435.10,437.77,"47,528.00",415.00,"20,806,482.90",299,20.10,33.00,4.84,7.93,-0.61,376.88,312.15,537.90,129.00,11_05_2021
GRDBL,67.77,416.00,449.00,416.00,435.10,437.77,"47,528.00",415.00,"20,806,482.90",299,20.10,33.00,4.84,7.93,-0.61,376.88,312.15,537.90,129.00,11_06_2021
GRDBL,67.77,416.00,449.00,416.00,435.10,437.77,"47,528.00",415.00,"20,806,482.90",299,20.10,33.00,4.84,7.93,-0.61,376.88,312.15,537.90,129.00,11_07_2021
GRDBL,68.56,441.00,452.60,440.00,440.00,445.08,"23,040.00",435.10,"10,254,675.40",166,4.90,12.60,1.13,2.86,-1.15,378.83,313.61,537.90,129.00,11_08_2021
GRDBL,60.24,431.20,434.00,402.00,415.00,413.67,"30,193.00",440.00,"12,489,945.00",259,-25.00,32.00,-5.68,7.96,0.32,380.58,314.95,537.90,129.00,11_09_2021
GRDBL,56.55,431.20,434.00,402.00,415.00,413.67,"30,193.00",440.00,"12,489,945.00",259,-25.00,32.00,-5.68,7.96,0.32,380.58,314.95,537.90,129.00,11_10_2021
GRDBL,54.50,406.70,410.00,393.00,400.00,401.54,"27,681.00",415.00,"11,115,165.00",180,-15.00,17.00,-3.61,4.33,-0.39,382.21,316.20,537.90,129.00,11_11_2021
GRDBL,47.35,406.70,410.00,393.00,400.00,401.54,"27,681.00",415.00,"11,115,165.00",180,-15.00,17.00,-3.61,4.33,-0.39,382.21,316.20,537.90,129.00,11_12_2021
GRDBL,47.35,406.70,410.00,393.00,400.00,401.54,"27,681.00",415.00,"11,115,165.00",180,-15.00,17.00,-3.61,4.33,-0.39,382.21,316.20,537.90,129.00,11_13_2021
GRDBL,45.30,398.90,422.00,393.00,395.00,403.36,"11,109.00",400.00,"4,480,906.80",80,-5.00,29.00,-1.25,7.38,-2.12,383.79,317.42,537.90,129.00,11_14_2021
GRDBL,43.25,387.10,422.90,387.10,412.00,407.75,"15,026.00",395.00,"6,126,877.80",111,17.00,35.80,4.30,9.25,1.03,385.51,318.75,537.90,129.00,11_15_2021
GRDBL,43.75,415.00,440.00,404.00,434.00,419.95,"17,015.00",412.00,"7,145,384.30",140,22.00,36.00,5.34,8.91,3.24,387.31,320.19,537.90,129.00,11_16_2021
GRDBL,52.93,439.90,442.00,420.00,428.40,432.01,"21,534.00",434.00,"9,302,857.50",131,-5.60,22.00,-1.29,5.24,-0.84,389.00,321.61,537.90,129.00,11_17_2021
GRDBL,57.34,419.90,421.00,410.00,415.00,414.46,"17,978.00",428.40,"7,451,175.30",139,-13.40,11.00,-3.13,2.68,0.13,390.48,322.94,537.90,129.00,11_18_2021
