Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GRDBLP,51.95,177.00,177.00,177.00,177.00,177.00,"7,500.00",177.00,"1,327,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,100.00,01_06_2022
GRDBLP,54.46,177.00,177.00,177.00,177.00,177.00,"7,500.00",177.00,"1,327,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,100.00,01_07_2022
GRDBLP,54.46,177.00,177.00,177.00,177.00,177.00,"7,500.00",177.00,"1,327,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,100.00,01_08_2022
GRDBLP,49.07,177.00,177.00,177.00,177.00,177.00,"2,500.00",177.00,"442,500.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,100.00,02_27_2022
GRDBLP,37.07,135.00,135.00,135.00,135.00,135.00,"5,000.00",135.00,"675,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,187.00,100.00,06_08_2022
GRDBLP,28.09,135.00,135.00,135.00,135.00,135.00,"1,000.00",135.00,"135,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,135.00,07_22_2022
GRDBLP,23.64,135.00,135.00,135.00,135.00,135.00,"1,000.00",135.00,"135,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,135.00,07_23_2022
GRDBLP,18.49,135.00,135.00,135.00,135.00,135.00,"1,000.00",135.00,"135,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,135.00,09_02_2022
GRDBLP,17.43,135.00,135.00,135.00,135.00,135.00,"1,000.00",135.00,"135,000.00",1,0.00,0.00,0.00,0.00,0.00,-,-,187.00,135.00,09_03_2022
GRDBLP,33.93,153.00,153.00,153.00,153.00,153.00,"5,000.00",153.00,"765,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,177.00,135.00,01_12_2023
GRDBLP,41.08,153.00,153.00,153.00,153.00,153.00,"5,000.00",153.00,"765,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,177.00,135.00,01_13_2023
GRDBLP,41.08,153.00,153.00,153.00,153.00,153.00,"5,000.00",153.00,"765,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,177.00,135.00,01_14_2023
GRDBLP,41.08,153.00,153.00,153.00,153.00,153.00,"5,000.00",153.00,"765,000.00",2,0.00,0.00,0.00,0.00,0.00,-,-,177.00,135.00,01_15_2023
GRDBLP,41.08,153.00,153.00,153.00,153.00,153.00,"5,000.00",153.00,"765,000.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,135.00,01_16_2023
