Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GUFL,46.75,"1,242.70","1,310.00","1,240.00","1,240.00","1,258.11","30,814.00","1,268.00","38,767,308.20",235,-28.00,70.00,-2.21,5.65,-1.46,859.63,680.78,"1,500.00",120.00,09_01_2021
GUFL,53.48,945.00,958.00,930.00,937.00,943.94,"12,575.00",960.00,"11,869,993.00",107,-23.00,28.00,-2.40,3.01,-0.74,"1,031.99",835.17,"1,500.00",150.00,11_03_2021
GUFL,51.44,945.00,958.00,930.00,937.00,943.94,"12,575.00",960.00,"11,869,993.00",107,-23.00,28.00,-2.40,3.01,-0.74,"1,031.99",835.17,"1,500.00",150.00,11_05_2021
GUFL,51.44,945.00,958.00,930.00,937.00,943.94,"12,575.00",960.00,"11,869,993.00",107,-23.00,28.00,-2.40,3.01,-0.74,"1,031.99",835.17,"1,500.00",150.00,11_06_2021
GUFL,51.44,945.00,958.00,930.00,937.00,943.94,"12,575.00",960.00,"11,869,993.00",107,-23.00,28.00,-2.40,3.01,-0.74,"1,031.99",835.17,"1,500.00",150.00,11_07_2021
GUFL,52.23,948.00,955.00,901.00,925.00,926.59,"6,690.00",937.00,"6,198,896.80",96,-12.00,54.00,-1.28,5.99,-0.17,"1,035.74",838.14,"1,500.00",164.00,11_08_2021
GUFL,51.24,911.00,943.50,870.00,877.10,884.45,"37,197.00",925.00,"32,898,817.50",252,-47.90,73.50,-5.18,8.45,-0.84,"1,039.17",840.85,"1,500.00",165.00,11_09_2021
GUFL,55.62,911.00,943.50,870.00,877.10,884.45,"37,197.00",925.00,"32,898,817.50",252,-47.90,73.50,-5.18,8.45,-0.84,"1,039.17",840.85,"1,500.00",165.00,11_10_2021
GUFL,53.57,865.00,872.10,819.30,830.00,841.72,"14,336.00",877.10,"12,066,911.40",203,-47.10,52.80,-5.37,6.44,-1.41,"1,042.17",843.25,"1,500.00",166.00,11_11_2021
GUFL,40.79,865.00,872.10,819.30,830.00,841.72,"14,336.00",877.10,"12,066,911.40",203,-47.10,52.80,-5.37,6.44,-1.41,"1,042.17",843.25,"1,500.00",166.00,11_12_2021
GUFL,40.79,865.00,872.10,819.30,830.00,841.72,"14,336.00",877.10,"12,066,911.40",203,-47.10,52.80,-5.37,6.44,-1.41,"1,042.17",843.25,"1,500.00",166.00,11_13_2021
GUFL,38.74,820.00,850.00,820.00,834.00,836.90,"5,475.00",830.00,"4,582,029.50",54,4.00,30.00,0.48,3.66,-0.35,"1,045.19",845.66,"1,500.00",175.00,11_14_2021
GUFL,36.46,850.60,867.00,840.00,840.00,848.92,"6,564.00",834.00,"5,572,331.50",81,6.00,27.00,0.72,3.21,-1.06,"1,048.29",847.88,"1,500.00",175.00,11_15_2021
GUFL,37.41,840.00,885.00,840.00,870.10,870.81,"7,710.00",840.00,"6,713,946.10",96,30.10,45.00,3.58,5.36,-0.08,"1,051.45",850.19,"1,500.00",175.00,11_16_2021
GUFL,37.21,887.50,957.10,882.00,928.00,925.14,"16,084.00",870.10,"14,879,937.50",156,57.90,75.10,6.65,8.51,0.31,"1,055.00",852.93,"1,500.00",175.00,11_17_2021
GUFL,65.94,930.00,945.00,890.00,895.00,899.44,"6,525.00",928.00,"5,868,865.00",110,-33.00,55.00,-3.56,6.18,-0.50,"1,058.32",855.38,"1,500.00",175.00,11_18_2021
GUFL,61.75,930.00,945.00,890.00,895.00,899.44,"6,525.00",928.00,"5,868,865.00",110,-33.00,55.00,-3.56,6.18,-0.50,"1,058.32",855.38,"1,500.00",175.00,11_19_2021
GUFL,61.75,930.00,945.00,890.00,895.00,899.44,"6,525.00",928.00,"5,868,865.00",110,-33.00,55.00,-3.56,6.18,-0.50,"1,058.32",855.38,"1,500.00",175.00,11_20_2021
GUFL,57.05,895.00,895.00,871.00,880.00,879.27,"4,855.00",895.00,"4,268,870.50",70,-15.00,24.00,-1.68,2.76,0.08,"1,061.20",857.85,"1,500.00",180.00,11_21_2021
