Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
GVL,0.00,271.10,298.20,271.10,298.20,285.08,292.00,271.10,"83,244.00",49,27.10,27.10,10.00,10.00,4.40,-,-,298.20,271.10,04_19_2022
GVL,33.59,304.10,328.00,304.10,328.00,323.05,329.00,298.20,"106,284.50",41,29.80,23.90,9.99,7.86,1.51,-,-,328.00,271.10,04_20_2022
GVL,45.76,334.50,360.80,334.50,360.80,360.31,"2,937.00",328.00,"1,058,227.10",68,32.80,26.30,10.00,7.86,0.14,-,-,360.80,271.10,04_21_2022
GVL,49.11,334.50,360.80,334.50,360.80,360.31,"2,937.00",328.00,"1,058,227.10",68,32.80,26.30,10.00,7.86,0.14,-,-,360.80,271.10,04_22_2022
GVL,49.11,334.50,360.80,334.50,360.80,360.31,"2,937.00",328.00,"1,058,227.10",68,32.80,26.30,10.00,7.86,0.14,-,-,360.80,271.10,04_23_2022
GVL,49.63,368.00,396.80,368.00,396.80,396.77,"23,368.00",360.80,"9,271,630.90",680,36.00,28.80,9.98,7.83,0.01,-,-,396.80,271.10,04_24_2022
GVL,49.07,404.70,436.40,373.00,399.00,399.36,"117,936.00",396.80,"47,099,315.90","7,100",2.20,63.40,0.55,17.00,-0.09,-,-,436.40,271.10,04_25_2022
GVL,49.12,400.00,406.00,375.00,390.00,392.45,"31,191.00",399.00,"12,240,866.90","2,831",-9.00,31.00,-2.26,8.27,-0.63,-,-,436.40,271.10,04_26_2022
GVL,45.19,390.00,390.00,376.00,385.00,381.72,"19,815.00",390.00,"7,563,877.00","1,694",-5.00,14.00,-1.28,3.72,0.85,-,-,436.40,271.10,04_27_2022
GVL,36.32,390.00,392.00,376.60,377.40,380.43,"17,660.00",385.00,"6,718,459.50","1,267",-7.60,15.40,-1.97,4.09,-0.80,-,-,436.40,271.10,04_28_2022
GVL,29.25,390.00,392.00,376.60,377.40,380.43,"17,660.00",385.00,"6,718,459.50","1,267",-7.60,15.40,-1.97,4.09,-0.80,-,-,436.40,271.10,04_29_2022
GVL,29.25,390.00,392.00,376.60,377.40,380.43,"17,660.00",385.00,"6,718,459.50","1,267",-7.60,15.40,-1.97,4.09,-0.80,-,-,436.40,271.10,04_30_2022
GVL,29.25,390.00,392.00,376.60,377.40,380.43,"17,660.00",385.00,"6,718,459.50","1,267",-7.60,15.40,-1.97,4.09,-0.80,-,-,436.40,271.10,05_01_2022
GVL,30.65,370.00,371.00,339.70,358.00,354.19,"33,774.00",377.40,"11,962,451.30","1,328",-19.40,31.30,-5.14,9.21,1.06,-,-,436.40,271.10,05_02_2022
GVL,31.44,370.00,371.00,339.70,358.00,354.19,"33,774.00",377.40,"11,962,451.30","1,328",-19.40,31.30,-5.14,9.21,1.06,-,-,436.40,271.10,05_03_2022
GVL,30.53,359.00,359.00,322.20,324.50,329.61,"39,443.00",358.00,"13,000,972.00","1,046",-33.50,36.80,-9.36,11.42,-1.58,-,-,436.40,271.10,05_04_2022
GVL,34.90,318.20,323.00,303.00,304.00,309.76,"17,917.00",324.50,"5,549,899.10",684,-20.50,20.00,-6.32,6.60,-1.89,-,-,436.40,271.10,05_05_2022
