Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
HBLD83,62.12,"1,105.50","1,105.50","1,105.50","1,105.50","1,105.50",100.00,"1,128.00","110,550.00",3,-22.50,0.00,-1.99,0.00,0.00,-,-,"1,128.00","1,020.00",09_01_2021
HBLD83,61.43,"1,061.80","1,061.80","1,061.80","1,061.80","1,061.80",100.00,"1,083.40","106,180.00",1,-21.60,0.00,-1.99,0.00,0.00,-,-,"1,128.00","1,040.00",01_06_2022
HBLD83,44.65,"1,061.80","1,061.80","1,061.80","1,061.80","1,061.80",100.00,"1,083.40","106,180.00",1,-21.60,0.00,-1.99,0.00,0.00,-,-,"1,128.00","1,040.00",01_07_2022
HBLD83,44.65,"1,061.80","1,061.80","1,061.80","1,061.80","1,061.80",100.00,"1,083.40","106,180.00",1,-21.60,0.00,-1.99,0.00,0.00,-,-,"1,128.00","1,040.00",01_08_2022
HBLD83,45.13,"1,050.00","1,083.00","1,050.00","1,083.00","1,061.98",255.00,"1,061.80","270,805.00",6,21.20,33.00,2.00,3.14,1.94,-,-,"1,128.00","1,040.00",01_09_2022
HBLD83,34.33,"1,061.40","1,061.40","1,061.40","1,061.40","1,061.40",50.00,"1,083.00","53,070.00",1,-21.60,0.00,-1.99,0.00,0.00,0.00,0.00,"1,061.40","1,061.40",05_18_2023
HBLD83,30.95,"1,061.40","1,061.40","1,061.40","1,061.40","1,061.40",50.00,"1,083.00","53,070.00",1,-21.60,0.00,-1.99,0.00,0.00,0.00,0.00,"1,061.40","1,061.40",05_19_2023
HBLD83,30.95,"1,061.40","1,061.40","1,061.40","1,061.40","1,061.40",50.00,"1,083.00","53,070.00",1,-21.60,0.00,-1.99,0.00,0.00,0.00,0.00,"1,061.40","1,061.40",05_20_2023
HBLD83,-,"1,040.20","1,040.20","1,040.20","1,040.20","1,040.20",160.00,"1,061.40","166,432.00",3,-21.20,0.00,-2.00,0.00,0.00,0.00,0.00,"1,061.40","1,040.20",06_12_2023
HBLD83,-,"1,019.40","1,039.70","1,019.40","1,039.70","1,028.42",45.00,"1,040.20","46,279.00",2,-0.50,20.30,-0.05,1.99,1.08,0.00,0.00,"1,061.40","1,019.40",06_18_2023
