Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
HDHPC,52.24,385.00,393.00,369.00,378.00,381.57,"199,011.00",378.00,"75,936,827.80","1,018",0.00,24.00,0.00,6.50,-0.94,247.79,209.15,478.90,89.00,09_01_2021
HDHPC,69.69,370.00,377.00,355.80,356.00,364.02,"67,941.00",363.00,"24,731,735.60",418,-7.00,21.20,-1.93,5.96,-2.25,310.61,254.46,478.90,114.00,11_03_2021
HDHPC,60.33,370.00,377.00,355.80,356.00,364.02,"67,941.00",363.00,"24,731,735.60",418,-7.00,21.20,-1.93,5.96,-2.25,310.61,254.46,478.90,114.00,11_05_2021
HDHPC,60.33,370.00,377.00,355.80,356.00,364.02,"67,941.00",363.00,"24,731,735.60",418,-7.00,21.20,-1.93,5.96,-2.25,310.61,254.46,478.90,114.00,11_06_2021
HDHPC,60.33,370.00,377.00,355.80,356.00,364.02,"67,941.00",363.00,"24,731,735.60",418,-7.00,21.20,-1.93,5.96,-2.25,310.61,254.46,478.90,114.00,11_07_2021
HDHPC,61.12,363.00,370.00,351.90,360.00,358.81,"48,407.00",356.00,"17,369,030.80",274,4.00,18.10,1.12,5.14,0.33,312.14,255.67,478.90,114.00,11_08_2021
HDHPC,53.77,353.00,359.00,330.00,341.00,341.08,"103,822.00",360.00,"35,411,352.30",681,-19.00,29.00,-5.28,8.79,-0.02,313.55,256.76,478.90,114.00,11_09_2021
HDHPC,52.97,353.00,359.00,330.00,341.00,341.08,"103,822.00",360.00,"35,411,352.30",681,-19.00,29.00,-5.28,8.79,-0.02,313.55,256.76,478.90,114.00,11_10_2021
HDHPC,50.92,334.20,340.00,322.10,324.00,327.77,"79,548.00",341.00,"26,073,793.40",557,-17.00,17.90,-4.99,5.56,-1.16,314.81,257.79,478.90,114.00,11_11_2021
HDHPC,49.05,334.20,340.00,322.10,324.00,327.77,"79,548.00",341.00,"26,073,793.40",557,-17.00,17.90,-4.99,5.56,-1.16,314.81,257.79,478.90,114.00,11_12_2021
